checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,60,all paid,business,3772,no known savings,1<=X<4,4,male mar/wid,co applicant,1,real estate,22,none,for free,1,high qualif/self emp/mgmt,1,yes,no,good
0<=X<200,29,all paid,used car,2003,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,car,22,stores,for free,2,skilled,2,yes,yes,good
>=200,13,critical/other existing credit,business,4034,100<=X<500,>=7,2,female div/dep/mar,none,3,real estate,43,none,rent,1,unskilled resident,2,yes,no,good
>=200,5,all paid,radio/tv,1572,no known savings,1<=X<4,4,female div/dep/mar,guarantor,2,life insurance,39,none,own,1,skilled,2,none,yes,bad
<0,71,delayed previously,retraining,3699,500<=X<1000,4<=X<7,1,female div/dep/mar,guarantor,4,car,22,stores,rent,1,high qualif/self emp/mgmt,2,none,no,good
<0,19,critical/other existing credit,radio/tv,4924,500<=X<1000,1<=X<4,4,female div/dep/mar,guarantor,2,car,30,none,own,4,skilled,2,none,yes,good
>=200,10,critical/other existing credit,business,4058,no known savings,>=7,2,female div/dep/mar,none,3,life insurance,45,none,own,1,unskilled resident,2,yes,no,good
<0,15,existing paid,radio/tv,254,no known savings,<1,4,female div/dep/mar,guarantor,2,real estate,42,none,for free,4,skilled,2,none,yes,bad
<0,6,no credits/all paid,radio/tv,359,no known savings,4<=X<7,1,female div/dep/mar,guarantor,3,life insurance,21,none,rent,1,unemp/unskilled non res,2,yes,yes,good
<0,5,all paid,domestic appliance,3857,no known savings,1<=X<4,2,male mar/wid,co applicant,2,real estate,70,none,for free,2,high qualif/self emp/mgmt,1,yes,no,bad
<0,14,existing paid,radio/tv,420,no known savings,<1,4,female div/dep/mar,none,2,real estate,42,none,for free,4,skilled,2,none,yes,bad
>=200,9,critical/other existing credit,business,1400,no known savings,1<=X<4,2,female div/dep/mar,none,2,life insurance,41,none,own,2,high qualif/self emp/mgmt,2,none,yes,good
