checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,14,all paid,used car,3302,500<=X<1000,>=7,2,female div/dep/mar,co applicant,4,life insurance,34,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
<0,16,no credits/all paid,domestic appliance,14076,no known savings,4<=X<7,2,female div/dep/mar,none,2,car,30,stores,own,2,skilled,1,none,no,good
>=200,9,existing paid,used car,4129,no known savings,>=7,2,female div/dep/mar,none,2,life insurance,41,none,for free,1,unskilled resident,2,none,no,good
<0,55,delayed previously,business,2541,100<=X<500,4<=X<7,4,female div/dep/mar,guarantor,2,car,22,none,rent,2,skilled,2,none,no,good
>=200,18,existing paid,radio/tv,2947,no known savings,<1,4,female div/dep/mar,none,2,real estate,32,none,for free,2,unskilled resident,2,yes,no,good
no checking,5,delayed previously,domestic appliance,1270,500<=X<1000,4<=X<7,1,female div/dep/mar,co applicant,2,real estate,30,stores,rent,2,skilled,2,none,yes,bad
>=200,10,all paid,radio/tv,1290,no known savings,<1,2,male div/sep,none,2,car,46,stores,rent,3,skilled,1,yes,yes,bad
0<=X<200,22,all paid,repairs,662,500<=X<1000,4<=X<7,1,female div/dep/mar,none,3,real estate,22,none,rent,3,skilled,2,none,no,bad
0<=X<200,6,existing paid,business,704,no known savings,<1,3,female div/dep/mar,guarantor,4,real estate,22,none,rent,1,skilled,1,none,yes,good
0<=X<200,15,existing paid,retraining,1781,500<=X<1000,<1,1,male div/sep,none,1,real estate,37,bank,rent,4,unskilled resident,1,none,no,good
<0,68,delayed previously,business,318,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,51,none,rent,3,unemp/unskilled non res,1,none,no,good
0<=X<200,7,all paid,domestic appliance,1092,500<=X<1000,<1,1,female div/dep/mar,co applicant,3,real estate,47,none,rent,1,unskilled resident,1,none,yes,good
<0,26,existing paid,radio/tv,2858,no known savings,>=7,4,female div/dep/mar,guarantor,3,no known property,37,stores,for free,1,unskilled resident,1,yes,no,bad
<0,24,all paid,other,6163,500<=X<1000,4<=X<7,1,female div/dep/mar,co applicant,4,real estate,22,stores,rent,1,high qualif/self emp/mgmt,2,none,no,good
no checking,62,existing paid,used car,1349,500<=X<1000,1<=X<4,1,male mar/wid,none,1,real estate,24,stores,for free,1,unemp/unskilled non res,1,none,no,good
0<=X<200,65,existing paid,used car,2659,no known savings,4<=X<7,2,female div/dep/mar,guarantor,4,real estate,20,stores,rent,1,skilled,2,yes,no,good
