school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,20,R,GT3,A,1,4,other,teacher,reputation,father,4,2,0,yes,yes,no,yes,no,yes,no,no,4,3,1,1,4,1,1,5,1,1
MS,F,16,U,GT3,T,1,3,services,health,home,other,4,2,0,yes,yes,yes,no,yes,no,yes,no,5,3,2,5,1,1,21,5,14,18
GP,M,18,U,GT3,T,3,0,teacher,health,course,father,4,2,0,yes,yes,no,no,yes,yes,yes,yes,4,1,5,1,1,1,0,6,4,4
MS,F,15,U,GT3,A,3,2,teacher,teacher,other,other,1,1,1,no,yes,no,no,yes,yes,yes,no,2,5,2,1,2,3,3,5,10,9
MS,F,16,R,GT3,T,0,0,services,health,course,other,2,2,0,no,yes,no,yes,yes,no,yes,no,3,1,5,1,5,5,4,6,17,17
MS,F,20,R,GT3,T,1,0,at_home,teacher,home,father,4,2,0,no,no,no,no,no,no,yes,no,4,4,2,2,1,1,3,12,11,16
GP,F,16,U,GT3,T,0,3,health,teacher,reputation,father,4,2,0,no,yes,no,yes,yes,no,yes,no,4,5,3,5,1,1,4,13,12,19
MS,M,16,R,GT3,T,1,2,services,at_home,home,other,1,1,0,no,no,no,yes,yes,no,yes,no,4,1,4,1,5,5,3,4,14,19
MS,F,16,U,GT3,T,1,1,services,services,course,other,4,1,0,yes,no,yes,yes,yes,no,yes,no,4,5,5,4,2,1,30,6,14,18
GP,F,20,R,GT3,T,0,4,at_home,health,reputation,other,4,2,1,yes,yes,no,no,yes,yes,no,no,1,1,5,1,4,1,4,10,5,3
MS,F,16,U,GT3,T,2,1,health,other,home,father,4,4,0,no,yes,no,no,no,yes,yes,no,4,3,3,2,1,5,5,11,10,16
GP,F,21,U,GT3,T,0,0,other,teacher,reputation,mother,4,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,1,1,0,5,12,19
MS,M,15,U,GT3,A,0,3,teacher,teacher,other,father,1,1,0,yes,yes,no,no,yes,yes,yes,yes,5,1,5,1,1,5,30,5,1,11
MS,F,15,U,GT3,T,1,4,health,services,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,5,1,2,1,2,0,12,13,12
MS,F,20,U,GT3,A,2,0,at_home,teacher,course,father,4,4,0,no,no,no,no,yes,yes,yes,no,4,4,3,2,4,1,3,12,10,17
MS,F,16,U,GT3,T,0,2,teacher,services,reputation,other,4,2,0,yes,yes,yes,no,yes,no,yes,no,5,3,5,4,1,1,20,6,14,18
GP,F,17,U,GT3,T,1,3,other,teacher,home,father,3,2,0,no,yes,no,yes,yes,no,yes,no,4,4,4,1,3,5,2,14,12,3
GP,F,15,U,GT3,A,1,3,other,teacher,reputation,father,4,2,0,yes,yes,no,no,no,yes,yes,no,3,4,5,5,4,3,1,5,14,11
GP,M,15,R,GT3,A,4,4,services,teacher,course,other,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,1,1,1,1,5,1,5,0,11
GP,F,16,U,GT3,T,0,3,services,teacher,reputation,father,4,2,0,no,yes,no,yes,yes,no,yes,no,4,4,4,4,1,1,4,13,12,16
GP,F,17,U,GT3,A,2,1,other,teacher,course,mother,4,1,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,1,2,5,3,11,3,1
MS,F,15,U,GT3,T,2,4,health,health,course,mother,4,2,0,yes,yes,no,no,yes,yes,yes,no,1,4,5,5,1,3,16,10,6,10
MS,F,16,U,GT3,T,0,0,teacher,at_home,reputation,other,4,1,0,yes,no,yes,yes,yes,no,yes,no,5,3,4,5,1,1,22,4,14,18
GP,M,16,U,GT3,T,3,2,teacher,services,reputation,other,4,1,1,yes,no,yes,yes,yes,no,yes,no,3,3,4,1,1,4,18,6,14,18
GP,F,21,U,GT3,T,1,0,other,teacher,reputation,mother,4,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,2,1,1,0,6,10,18
MS,F,16,U,GT3,T,1,2,services,at_home,home,other,4,1,0,yes,no,yes,yes,yes,no,yes,no,3,5,5,4,2,1,23,6,14,19
GP,M,17,U,GT3,T,1,1,services,health,reputation,other,1,1,0,no,yes,no,no,yes,no,yes,no,4,2,4,1,3,5,5,13,16,1
GP,F,16,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,3,5,4,13,15,1
MS,F,20,R,GT3,T,0,1,at_home,teacher,course,father,4,4,0,no,yes,no,no,no,no,yes,no,4,4,2,1,1,1,3,13,11,19
GP,F,20,U,GT3,T,1,0,at_home,health,reputation,mother,1,2,0,yes,yes,no,no,yes,no,no,no,2,2,4,1,1,5,0,6,16,1
GP,M,20,U,GT3,T,3,4,teacher,health,course,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,5,5,2,1,1,3,1,12,0,12
GP,M,18,U,GT3,T,3,0,services,health,course,other,4,2,0,yes,yes,no,no,yes,yes,yes,yes,4,1,5,1,1,1,0,6,2,4
GP,M,20,U,GT3,T,4,2,at_home,other,course,mother,2,4,0,no,yes,yes,no,yes,yes,no,no,2,3,5,2,1,5,0,13,1,17
GP,F,19,U,GT3,T,1,3,health,teacher,reputation,mother,1,3,0,no,yes,no,no,yes,no,yes,yes,4,2,2,1,3,2,6,11,12,16
GP,M,15,R,GT3,A,4,3,services,teacher,course,other,1,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,5,1,6,1,11
MS,M,17,U,GT3,T,4,3,other,teacher,course,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,5,17,14,1,19
MS,F,20,R,GT3,T,1,0,other,teacher,home,mother,4,4,0,no,yes,no,no,no,no,yes,no,4,3,1,1,1,1,0,11,13,17
MS,F,16,U,GT3,T,1,1,services,at_home,reputation,other,4,1,1,yes,no,yes,yes,yes,no,yes,no,2,3,5,4,1,1,3,5,14,18
MS,F,16,U,GT3,T,1,3,teacher,at_home,reputation,other,4,1,0,yes,no,yes,yes,yes,no,yes,no,3,3,3,4,1,1,25,4,14,17
MS,F,16,U,GT3,T,0,3,services,services,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,4,3,1,1,3,0,12,11,14
MS,F,16,R,GT3,T,1,1,other,services,home,other,4,3,1,no,yes,yes,no,no,yes,yes,no,2,4,1,1,1,4,2,12,11,18
GP,F,16,U,GT3,T,1,3,other,teacher,reputation,father,3,2,0,no,yes,no,yes,yes,no,yes,no,4,3,3,5,1,5,10,14,12,0
MS,F,16,U,GT3,T,1,3,services,at_home,reputation,other,4,1,0,yes,no,yes,yes,no,no,yes,no,5,3,4,5,1,5,5,5,18,18
GP,F,21,U,GT3,T,0,0,health,health,reputation,father,4,2,0,yes,yes,no,no,no,no,no,yes,3,5,3,5,1,3,0,5,15,2
GP,F,20,R,GT3,T,0,0,other,health,reputation,father,4,2,2,yes,yes,no,no,yes,yes,no,no,2,3,1,4,1,1,0,12,1,3
MS,F,15,R,GT3,T,0,1,other,services,home,other,4,4,1,no,yes,yes,no,no,yes,yes,no,2,5,1,2,1,3,2,12,11,16
MS,F,15,R,GT3,T,2,4,health,health,course,other,4,2,3,yes,yes,no,no,yes,yes,yes,no,1,4,4,4,1,3,6,10,5,12
GP,F,20,R,GT3,T,0,0,other,health,reputation,father,4,4,1,yes,yes,no,no,yes,yes,no,no,1,3,5,2,1,1,0,10,4,5
GP,F,21,R,GT3,T,0,2,health,health,reputation,father,4,2,0,yes,yes,no,yes,no,no,yes,yes,3,2,5,5,5,3,31,4,18,3
MS,F,15,R,GT3,A,3,3,other,teacher,reputation,father,4,3,2,no,yes,no,no,yes,yes,yes,no,1,5,1,5,1,2,2,11,10,15
MS,F,20,U,GT3,T,0,0,other,health,reputation,mother,4,2,3,yes,no,no,no,no,yes,no,no,1,3,4,1,1,1,0,4,1,3
MS,F,15,U,GT3,T,0,4,services,health,reputation,other,4,2,0,yes,yes,no,no,yes,yes,yes,no,1,4,5,1,1,1,16,5,9,10
GP,F,21,U,GT3,A,0,2,at_home,health,reputation,other,4,2,1,yes,yes,yes,no,yes,no,yes,no,1,1,1,1,4,1,9,5,5,4
GP,M,18,U,GT3,T,3,0,teacher,health,course,father,4,2,0,yes,yes,no,no,yes,yes,yes,yes,4,1,4,1,1,1,0,5,5,4
MS,M,17,U,GT3,T,4,3,other,teacher,home,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,4,5,27,14,14,16
GP,F,20,R,GT3,T,2,2,teacher,health,reputation,father,4,4,3,no,no,no,no,yes,yes,no,yes,1,4,1,1,1,1,3,11,7,3
GP,F,20,R,GT3,T,0,4,other,health,reputation,other,4,2,2,yes,yes,yes,no,yes,no,no,no,1,1,5,5,4,1,3,10,7,2
GP,M,15,R,GT3,A,4,3,services,teacher,course,other,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,4,1,5,1,11
GP,F,20,U,GT3,A,1,2,other,health,reputation,other,4,2,2,yes,yes,yes,no,yes,no,yes,no,1,1,1,4,4,1,10,5,6,4
GP,F,20,R,GT3,T,0,4,at_home,health,reputation,other,4,3,3,yes,yes,no,no,yes,no,no,no,1,3,4,1,4,1,1,10,2,2
MS,F,20,R,GT3,T,1,4,other,health,reputation,father,4,2,2,yes,yes,no,no,yes,yes,yes,no,1,4,4,1,3,2,27,10,3,6
GP,F,21,U,GT3,T,1,0,other,health,reputation,other,4,2,0,yes,yes,no,no,yes,yes,no,no,1,1,4,5,1,1,0,6,7,2
GP,F,20,U,LE3,T,1,0,at_home,health,home,mother,2,2,2,no,yes,no,no,yes,no,yes,no,1,1,3,4,1,5,0,6,4,3
MS,F,15,U,GT3,T,4,0,services,at_home,reputation,mother,3,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,4,1,3,2,12,18,18
GP,F,16,U,GT3,T,1,3,services,teacher,reputation,father,4,2,0,no,yes,no,yes,yes,no,yes,no,4,4,4,5,1,1,4,13,12,18
GP,M,15,R,GT3,A,4,3,teacher,teacher,course,father,1,2,0,yes,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,4,6,4,1,11
GP,F,15,R,GT3,T,4,2,services,services,reputation,mother,4,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,4,5,5,1,25,16,14,17
MS,F,16,R,GT3,T,4,2,services,services,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,5,3,2,1,5,5,3,10,14,17
MS,F,16,R,GT3,T,1,1,services,services,home,other,1,1,0,no,no,no,yes,yes,no,yes,no,5,5,2,1,5,5,5,4,15,18
GP,F,20,R,LE3,T,0,4,at_home,health,reputation,other,4,3,2,yes,yes,no,no,yes,no,yes,no,1,1,1,2,4,1,1,12,8,3
MS,F,16,U,GT3,T,1,0,services,services,reputation,other,4,1,1,yes,no,yes,yes,yes,no,yes,no,3,3,4,4,1,1,16,6,14,18
GP,F,16,U,GT3,T,0,3,health,teacher,reputation,father,4,1,0,no,no,no,yes,yes,no,yes,no,3,4,1,4,4,1,14,13,13,18
GP,F,16,U,GT3,A,1,3,health,teacher,reputation,father,3,2,0,yes,yes,no,no,no,no,no,yes,5,4,1,5,1,4,25,4,13,16
GP,F,20,U,GT3,T,0,4,services,teacher,course,mother,1,1,0,no,no,no,yes,yes,no,yes,yes,1,3,3,3,1,5,20,5,19,1
GP,F,17,R,GT3,T,1,1,services,health,reputation,other,1,3,0,no,yes,no,yes,yes,no,yes,no,4,2,4,1,5,5,5,4,16,1
MS,F,20,U,GT3,A,2,0,at_home,teacher,course,father,4,4,0,no,yes,no,no,no,yes,yes,no,4,5,3,1,1,1,3,11,4,16
GP,F,17,R,GT3,T,1,4,other,services,reputation,father,4,1,0,no,no,yes,yes,yes,no,yes,no,1,3,3,5,5,5,22,13,18,2
GP,M,16,U,GT3,A,3,1,other,teacher,reputation,other,2,1,1,no,yes,no,no,yes,yes,yes,no,5,5,2,1,2,5,0,5,8,3
GP,M,16,U,GT3,T,4,4,other,teacher,course,father,4,1,1,no,no,no,yes,yes,yes,yes,no,2,5,3,1,4,5,25,13,17,3
GP,F,21,U,GT3,T,0,0,teacher,health,reputation,father,4,2,0,yes,yes,no,no,no,no,no,yes,3,5,5,5,1,5,0,8,18,1
GP,F,20,U,GT3,T,1,0,at_home,health,reputation,other,4,2,2,yes,yes,no,no,yes,yes,no,no,1,1,1,1,1,1,0,7,0,1
MS,F,21,U,GT3,A,0,0,other,health,reputation,mother,4,2,1,yes,yes,no,no,yes,yes,no,no,3,3,2,2,1,2,15,4,5,10
MS,F,16,U,GT3,A,1,1,teacher,teacher,reputation,mother,2,2,0,no,yes,no,no,yes,no,yes,no,2,1,3,1,3,4,0,11,17,4
MS,M,15,R,GT3,A,1,0,health,other,reputation,father,1,2,2,yes,no,yes,no,yes,yes,no,no,1,4,3,1,1,5,0,11,2,4
GP,F,20,R,GT3,T,2,2,services,health,home,other,4,3,2,no,no,no,no,yes,no,yes,yes,3,4,1,3,4,1,0,11,1,4
GP,M,16,U,LE3,T,0,1,at_home,teacher,reputation,father,2,1,0,no,no,no,no,yes,yes,yes,no,2,5,5,1,1,5,10,5,11,3
GP,F,20,U,GT3,T,0,4,at_home,services,reputation,mother,4,1,0,yes,no,no,yes,yes,no,no,no,1,3,4,2,1,5,4,5,13,0
GP,F,17,U,GT3,T,1,3,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,no,yes,no,4,5,3,1,1,5,3,13,11,16
GP,F,15,U,GT3,T,0,3,services,teacher,reputation,father,4,2,0,no,yes,no,yes,yes,no,yes,no,4,4,4,4,1,1,4,13,12,17
GP,F,17,U,GT3,T,1,3,services,teacher,reputation,father,4,2,0,no,yes,no,yes,yes,no,yes,no,4,3,4,5,1,1,4,13,12,17
