school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,15,R,GT3,A,1,3,services,teacher,reputation,father,4,3,3,yes,yes,no,no,yes,yes,no,yes,3,1,1,4,3,2,12,12,2,18
GP,F,16,U,GT3,T,1,0,teacher,services,reputation,other,1,1,0,yes,yes,no,yes,yes,no,no,yes,4,5,3,5,1,4,0,5,12,18
GP,F,16,U,GT3,T,0,0,services,services,reputation,other,1,2,0,yes,yes,yes,yes,yes,no,yes,yes,4,3,3,4,1,4,0,6,12,18
GP,M,20,R,GT3,A,2,3,services,teacher,home,father,1,2,1,yes,no,yes,no,yes,yes,no,no,2,3,2,1,4,5,4,11,2,19
GP,F,16,U,GT3,T,1,2,teacher,services,home,mother,4,3,0,no,yes,yes,no,yes,no,yes,yes,4,3,3,2,3,2,1,17,14,2
GP,F,20,R,GT3,A,0,2,at_home,health,reputation,father,1,4,2,yes,yes,no,no,yes,yes,no,no,5,3,1,2,1,4,3,16,14,2
GP,F,17,U,GT3,T,3,4,health,health,home,other,1,4,0,no,no,no,yes,yes,yes,yes,no,1,1,1,5,1,5,4,6,13,3
GP,F,21,U,LE3,A,3,4,services,services,course,mother,4,4,0,no,no,yes,yes,no,yes,yes,no,5,4,4,4,1,1,27,17,18,18
GP,F,17,R,GT3,T,0,4,teacher,health,home,father,4,2,2,yes,yes,no,yes,yes,no,yes,no,1,4,2,5,3,1,6,17,11,3
GP,F,20,R,GT3,T,4,2,other,health,reputation,father,2,1,0,no,no,no,yes,yes,yes,yes,no,2,2,2,2,5,5,0,5,10,2
GP,F,20,R,GT3,T,0,4,services,health,course,father,4,1,2,no,no,no,no,yes,yes,no,no,1,3,4,4,1,1,3,10,9,1
GP,M,20,U,GT3,T,1,0,services,services,reputation,mother,4,1,0,yes,yes,no,yes,yes,yes,yes,no,1,1,5,4,1,3,0,18,13,1
GP,F,21,R,GT3,A,4,2,services,services,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,3,4,5,5,10,12,12,1
GP,M,20,U,GT3,A,3,4,teacher,other,course,mother,2,1,0,yes,yes,no,yes,yes,yes,no,no,5,3,4,1,1,3,0,17,10,4
GP,M,20,U,GT3,T,1,0,at_home,services,reputation,father,4,2,0,yes,yes,no,no,yes,yes,yes,no,1,4,1,1,1,5,0,12,2,14
GP,F,21,R,GT3,A,1,0,other,teacher,reputation,father,1,1,0,yes,yes,no,no,no,no,no,no,2,3,1,1,1,5,0,5,14,10
GP,F,20,U,GT3,T,3,2,teacher,services,reputation,mother,1,1,0,no,no,no,yes,yes,no,no,no,4,2,4,4,1,5,4,17,13,12
GP,F,20,U,LE3,A,3,2,at_home,health,course,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,2,1,5,3,6,16,17
GP,M,16,U,GT3,A,1,3,services,teacher,home,other,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,3,1,1,5,11,6,0,1
