checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
>=200,4,existing paid,education,270,>=1000,unemployed,1,male mar/wid,guarantor,2,car,20,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,education,361,>=1000,unemployed,1,male single,guarantor,1,car,21,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
>=200,4,existing paid,repairs,364,>=1000,unemployed,1,male div/sep,guarantor,2,car,21,none,own,1,unemp/unskilled non res,1,yes,no,good
>=200,4,existing paid,education,333,500<=X<1000,1<=X<4,1,male single,guarantor,1,car,21,none,own,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,no credits/all paid,domestic appliance,391,>=1000,unemployed,1,male mar/wid,guarantor,2,car,22,none,own,1,unskilled resident,1,yes,no,good
>=200,4,existing paid,education,271,>=1000,1<=X<4,1,male mar/wid,guarantor,2,car,21,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
>=200,4,existing paid,domestic appliance,359,500<=X<1000,unemployed,1,male div/sep,guarantor,2,car,22,none,own,1,unemp/unskilled non res,1,yes,no,good
>=200,4,no credits/all paid,education,316,>=1000,unemployed,1,male single,guarantor,2,car,21,none,for free,2,unskilled resident,1,yes,no,good
>=200,4,existing paid,education,353,500<=X<1000,unemployed,1,male mar/wid,guarantor,2,car,20,none,own,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,existing paid,education,287,500<=X<1000,unemployed,1,male single,guarantor,1,car,21,none,own,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,existing paid,repairs,337,>=1000,unemployed,1,male div/sep,guarantor,1,car,21,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,education,293,>=1000,unemployed,1,male mar/wid,guarantor,1,car,21,none,for free,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,all paid,repairs,333,>=1000,unemployed,1,male div/sep,guarantor,2,car,22,none,for free,2,unskilled resident,1,yes,no,good
>=200,4,existing paid,domestic appliance,255,>=1000,unemployed,1,male mar/wid,guarantor,1,car,23,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,education,295,>=1000,1<=X<4,1,male single,guarantor,2,car,22,none,for free,1,high qualif/self emp/mgmt,1,yes,no,bad
>=200,4,all paid,education,314,>=1000,1<=X<4,1,male mar/wid,guarantor,2,car,22,none,for free,1,unskilled resident,1,yes,no,good
>=200,4,existing paid,domestic appliance,275,500<=X<1000,unemployed,1,male div/sep,guarantor,1,car,22,none,for free,1,unemp/unskilled non res,1,yes,no,good
>=200,4,existing paid,education,364,>=1000,unemployed,1,male div/sep,guarantor,1,car,23,none,for free,1,unemp/unskilled non res,1,yes,no,good
>=200,4,existing paid,education,342,500<=X<1000,1<=X<4,1,male mar/wid,guarantor,2,car,22,none,own,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,existing paid,other,335,>=1000,unemployed,1,male div/sep,guarantor,1,car,21,none,for free,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,repairs,282,>=1000,unemployed,1,male div/sep,guarantor,2,car,21,none,for free,1,unemp/unskilled non res,1,yes,no,good
>=200,4,existing paid,other,258,>=1000,unemployed,1,male mar/wid,guarantor,2,car,22,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,education,367,>=1000,1<=X<4,1,male single,guarantor,1,car,21,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
>=200,4,existing paid,education,276,>=1000,unemployed,1,male single,guarantor,1,car,23,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
>=200,4,existing paid,other,359,>=1000,unemployed,1,male div/sep,guarantor,2,car,20,none,own,1,unemp/unskilled non res,1,yes,no,good
>=200,4,existing paid,education,252,>=1000,unemployed,1,male mar/wid,guarantor,2,car,23,none,own,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,existing paid,education,266,>=1000,unemployed,1,male mar/wid,guarantor,2,car,21,none,for free,1,unemp/unskilled non res,1,yes,no,bad
>=200,4,no credits/all paid,education,251,>=1000,1<=X<4,1,male single,guarantor,1,car,21,none,for free,1,unskilled resident,1,yes,no,good
>=200,4,no credits/all paid,education,287,>=1000,unemployed,1,male single,guarantor,1,car,22,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,existing paid,other,363,>=1000,unemployed,1,male mar/wid,guarantor,2,car,22,none,for free,1,high qualif/self emp/mgmt,1,yes,no,good
>=200,4,no credits/all paid,education,311,>=1000,unemployed,1,male single,guarantor,1,car,23,none,own,2,unskilled resident,1,yes,no,good
