checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,17,delayed previously,retraining,1120,<100,1<=X<4,3,male single,none,1,car,20,bank,for free,2,skilled,2,yes,no,good
0<=X<200,6,delayed previously,retraining,1795,<100,1<=X<4,4,male single,none,1,car,20,bank,for free,2,skilled,2,yes,no,bad
0<=X<200,14,delayed previously,retraining,1302,no known savings,1<=X<4,3,male single,none,1,car,20,bank,for free,1,skilled,1,yes,no,bad
0<=X<200,35,existing paid,retraining,14627,no known savings,1<=X<4,4,male single,none,1,real estate,20,none,rent,3,unemp/unskilled non res,2,yes,no,bad
0<=X<200,13,delayed previously,retraining,937,<100,1<=X<4,1,male single,none,1,real estate,20,bank,for free,1,skilled,1,yes,no,bad
0<=X<200,35,delayed previously,retraining,12680,no known savings,1<=X<4,2,male single,none,1,real estate,20,none,rent,2,unemp/unskilled non res,2,yes,no,good
0<=X<200,35,no credits/all paid,retraining,14781,<100,1<=X<4,2,male single,none,1,real estate,20,none,rent,2,high qualif/self emp/mgmt,2,yes,no,good
0<=X<200,37,delayed previously,retraining,14552,<100,1<=X<4,2,male single,none,1,car,20,none,rent,3,unemp/unskilled non res,2,yes,no,good
0<=X<200,37,existing paid,retraining,14381,no known savings,1<=X<4,3,male single,none,1,car,20,none,rent,1,high qualif/self emp/mgmt,1,yes,no,good
0<=X<200,6,delayed previously,retraining,553,<100,1<=X<4,3,male single,none,1,car,20,bank,for free,3,skilled,2,yes,no,good
0<=X<200,35,delayed previously,retraining,14275,<100,1<=X<4,1,male single,none,1,car,20,none,rent,2,unemp/unskilled non res,2,yes,no,good
0<=X<200,37,no credits/all paid,retraining,13557,<100,1<=X<4,4,male single,none,1,life insurance,20,none,rent,1,unskilled resident,1,yes,no,bad
0<=X<200,18,existing paid,retraining,1717,no known savings,1<=X<4,4,male single,none,1,car,20,bank,for free,2,skilled,2,yes,no,bad
0<=X<200,12,existing paid,retraining,680,no known savings,1<=X<4,2,male single,none,1,car,20,bank,for free,1,skilled,1,yes,no,bad
0<=X<200,7,no credits/all paid,retraining,1696,<100,1<=X<4,3,male single,none,1,car,20,bank,for free,3,skilled,2,yes,no,good
0<=X<200,9,no credits/all paid,retraining,340,no known savings,1<=X<4,1,male single,none,1,real estate,20,bank,for free,1,skilled,1,yes,no,bad
0<=X<200,19,no credits/all paid,retraining,848,<100,1<=X<4,2,male single,none,1,car,20,bank,for free,1,skilled,1,yes,no,bad
no checking,36,existing paid,retraining,15601,<100,1<=X<4,4,male single,none,1,life insurance,20,none,rent,1,skilled,1,yes,no,bad
0<=X<200,35,delayed previously,retraining,13749,<100,1<=X<4,3,male single,none,1,real estate,20,none,rent,3,unemp/unskilled non res,2,yes,no,good
0<=X<200,36,delayed previously,retraining,14649,<100,1<=X<4,2,male single,none,1,real estate,20,none,rent,3,high qualif/self emp/mgmt,2,yes,no,good
0<=X<200,12,delayed previously,retraining,1767,<100,1<=X<4,2,male single,none,1,car,20,bank,for free,3,skilled,2,yes,no,good
0<=X<200,15,delayed previously,retraining,1427,no known savings,1<=X<4,1,male single,none,1,real estate,20,bank,for free,1,skilled,1,yes,no,bad
