school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,20,R,LE3,A,0,0,health,teacher,other,other,1,1,1,no,yes,no,no,yes,no,no,no,1,1,1,2,1,1,6,6,0,1
MS,M,18,R,LE3,A,0,0,health,teacher,course,other,2,1,1,no,yes,no,no,yes,no,no,no,2,1,1,2,1,2,9,7,5,3
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,1,1,7,1,5
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,2,1,5,2,5
MS,M,16,R,LE3,A,0,0,services,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,3,2,7,3,6
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,3,2,5,4,4
MS,M,17,R,LE3,A,0,0,services,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,1,2,5,3,6
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,2,1,4,1,1
MS,M,16,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,1,1,5,1,5
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,3,1,6,5,5
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,2,2,5,5,2
MS,M,16,R,LE3,A,0,0,services,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,3,2,7,2,5
MS,M,16,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,1,0,5,3,2
MS,M,17,R,LE3,A,0,0,services,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,1,2,5,1,2
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,2,2,4,2,2
MS,M,19,R,LE3,A,0,0,services,teacher,reputation,other,1,1,1,no,yes,no,no,yes,no,no,no,2,1,1,4,1,2,8,7,2,2
MS,M,19,R,LE3,A,0,0,health,teacher,course,other,3,1,1,no,yes,no,no,yes,no,no,no,3,1,1,4,1,3,6,4,2,2
MS,M,18,R,LE3,A,0,0,services,teacher,other,other,1,1,1,no,yes,no,no,yes,no,no,no,3,1,1,2,1,3,8,4,5,3
MS,M,16,R,LE3,A,0,0,services,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,1,2,6,1,4
MS,M,20,R,LE3,A,0,0,services,teacher,course,other,3,1,1,no,yes,no,no,yes,no,no,no,3,1,1,4,1,3,11,6,0,1
MS,M,16,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,2,1,6,4,6
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,1,2,6,1,5
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,1,1,6,5,2
MS,M,16,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,1,0,6,3,1
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,3,1,7,4,5
MS,M,17,R,LE3,A,0,0,health,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,3,1,1,1,1,2,1,5,4,0
MS,M,17,R,LE3,A,0,0,services,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,1,1,5,2,1
MS,M,17,R,LE3,A,0,0,services,teacher,course,other,1,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,3,2,4,5,3
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,2,1,1,1,1,3,0,6,2,6
MS,M,19,R,LE3,A,0,0,services,teacher,course,other,3,1,1,no,yes,no,no,yes,no,no,no,1,1,1,3,1,3,10,4,5,3
MS,M,15,R,LE3,A,0,0,health,teacher,course,other,2,1,0,no,yes,no,no,yes,no,no,no,1,1,1,1,1,1,0,5,3,3
