checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,37,existing paid,radio/tv,6967,<100,1<=X<4,2,female div/dep/mar,none,2,car,28,none,own,1,skilled,1,none,yes,good
no checking,10,existing paid,radio/tv,2031,<100,1<=X<4,2,male single,none,2,real estate,40,none,own,1,skilled,1,none,yes,good
no checking,33,critical/other existing credit,new car,7472,<100,>=7,2,male single,none,4,no known property,40,none,for free,2,skilled,1,yes,yes,good
no checking,14,existing paid,furniture/equipment,2577,500<=X<1000,>=7,3,male single,none,4,car,44,none,own,1,skilled,1,none,yes,good
0<=X<200,27,existing paid,furniture/equipment,5197,<100,1<=X<4,2,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,bad
no checking,23,existing paid,radio/tv,2375,no known savings,>=7,4,male single,none,4,real estate,47,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,new car,1867,<100,1<=X<4,2,male single,none,4,real estate,47,none,own,1,skilled,1,none,yes,good
<0,9,critical/other existing credit,new car,2376,<100,1<=X<4,3,male single,none,2,real estate,38,none,own,1,unskilled resident,2,none,yes,good
no checking,14,critical/other existing credit,radio/tv,1844,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,28,none,own,2,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,1029,no known savings,>=7,4,female div/dep/mar,none,4,real estate,43,none,own,1,skilled,1,none,yes,good
<0,50,critical/other existing credit,used car,8179,<100,>=7,4,male single,none,4,no known property,45,none,for free,1,skilled,1,yes,yes,bad
no checking,16,critical/other existing credit,used car,1974,500<=X<1000,1<=X<4,4,male single,none,4,real estate,37,none,own,1,skilled,1,yes,yes,good
0<=X<200,39,existing paid,new car,9351,<100,>=7,4,male single,none,4,no known property,35,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,17,existing paid,radio/tv,1698,<100,>=7,4,male single,none,1,life insurance,34,none,own,2,skilled,1,none,yes,good
0<=X<200,11,existing paid,radio/tv,863,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
<0,24,existing paid,furniture/equipment,4823,<100,1<=X<4,1,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
no checking,24,critical/other existing credit,radio/tv,2404,no known savings,>=7,4,male single,none,2,car,41,none,own,1,skilled,1,none,yes,good
no checking,16,existing paid,furniture/equipment,4235,<100,1<=X<4,2,male single,none,2,life insurance,36,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1471,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,good
>=200,16,existing paid,furniture/equipment,2284,<100,<1,2,female div/dep/mar,none,1,life insurance,30,none,own,1,skilled,1,none,yes,good
<0,35,critical/other existing credit,furniture/equipment,6506,<100,4<=X<7,4,male single,none,4,no known property,34,none,own,2,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,1222,no known savings,>=7,4,male single,none,4,real estate,47,none,own,1,skilled,1,none,yes,good
no checking,30,critical/other existing credit,used car,4173,no known savings,>=7,4,male single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
0<=X<200,28,existing paid,radio/tv,2671,<100,>=7,4,male single,none,4,no known property,47,none,for free,1,skilled,1,none,yes,good
no checking,12,critical/other existing credit,new car,1237,<100,>=7,4,male single,none,4,no known property,53,none,own,1,skilled,1,none,yes,good
0<=X<200,32,critical/other existing credit,used car,6360,<100,1<=X<4,2,male single,none,4,car,39,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,31,existing paid,radio/tv,4519,<100,1<=X<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
0<=X<200,23,existing paid,radio/tv,3433,<100,<1,2,female div/dep/mar,none,2,car,27,none,own,1,skilled,1,none,yes,good
0<=X<200,26,existing paid,furniture/equipment,4708,<100,1<=X<4,2,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,1973,<100,>=7,2,male single,none,4,real estate,46,none,own,1,skilled,1,none,yes,good
no checking,33,existing paid,new car,8901,<100,>=7,4,male single,none,4,no known property,39,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,15,existing paid,new car,1261,<100,1<=X<4,4,male single,none,2,life insurance,33,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,796,<100,>=7,4,male single,none,4,real estate,49,none,own,2,skilled,1,none,yes,good
no checking,14,critical/other existing credit,new car,1176,<100,>=7,4,male single,none,4,real estate,36,none,own,2,unskilled resident,1,none,yes,good
no checking,34,critical/other existing credit,used car,7366,<100,1<=X<4,3,male single,none,4,car,36,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,28,existing paid,radio/tv,2841,<100,1<=X<4,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,new car,1502,<100,>=7,4,male single,none,4,car,37,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,18,existing paid,furniture/equipment,3962,<100,1<=X<4,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
<0,21,existing paid,furniture/equipment,4109,<100,1<=X<4,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
no checking,29,critical/other existing credit,radio/tv,3097,<100,>=7,4,male single,none,2,car,38,none,own,1,skilled,1,yes,yes,good
no checking,11,existing paid,furniture/equipment,2234,<100,<1,2,female div/dep/mar,none,4,real estate,26,none,rent,1,skilled,1,none,yes,good
no checking,20,existing paid,radio/tv,2310,<100,<1,4,female div/dep/mar,none,2,life insurance,29,none,own,1,skilled,1,none,yes,bad
0<=X<200,30,critical/other existing credit,used car,5297,<100,1<=X<4,3,male single,none,4,car,36,none,own,2,skilled,1,yes,yes,good
no checking,12,existing paid,radio/tv,882,<100,1<=X<4,4,male single,none,3,real estate,36,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,furniture/equipment,2316,<100,1<=X<4,2,male single,none,2,real estate,30,none,own,1,skilled,1,none,yes,good
0<=X<200,37,existing paid,radio/tv,6806,<100,1<=X<4,2,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,yes,good
no checking,19,critical/other existing credit,new car,2179,<100,>=7,4,male single,none,4,no known property,52,none,for free,1,skilled,1,none,yes,good
<0,32,existing paid,radio/tv,5954,<100,1<=X<4,2,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1096,no known savings,1<=X<4,4,male single,none,3,life insurance,42,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1762,<100,>=7,4,male single,none,4,car,42,none,own,1,unskilled resident,1,none,yes,good
no checking,7,existing paid,radio/tv,1141,<100,1<=X<4,1,female div/dep/mar,none,2,real estate,37,none,own,1,skilled,1,none,yes,good
0<=X<200,29,existing paid,radio/tv,4143,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,28,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,32,critical/other existing credit,used car,4677,<100,1<=X<4,4,male single,none,4,car,31,none,own,2,skilled,1,yes,yes,good
no checking,13,critical/other existing credit,new car,993,<100,>=7,4,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,none,yes,good
<0,31,existing paid,furniture/equipment,5657,<100,1<=X<4,4,male single,none,4,life insurance,31,none,own,1,skilled,1,none,yes,good
no checking,10,critical/other existing credit,new car,1349,<100,>=7,2,male single,none,4,no known property,54,none,own,3,unskilled resident,1,none,yes,good
no checking,11,existing paid,new car,1861,<100,>=7,2,female div/dep/mar,none,4,real estate,44,none,own,1,skilled,1,none,yes,good
no checking,22,existing paid,furniture/equipment,4005,<100,1<=X<4,2,male single,none,4,car,37,none,own,1,skilled,1,none,yes,good
no checking,8,critical/other existing credit,new car,1597,<100,1<=X<4,3,male single,none,2,real estate,40,none,own,1,unskilled resident,2,none,yes,good
no checking,21,existing paid,radio/tv,1783,no known savings,>=7,4,male single,none,4,car,47,none,own,1,skilled,1,none,yes,good
0<=X<200,20,existing paid,used car,3428,<100,1<=X<4,2,female div/dep/mar,none,4,car,25,none,rent,1,skilled,1,none,yes,good
<0,26,critical/other existing credit,business,2620,<100,>=7,4,male single,none,4,life insurance,41,none,own,2,skilled,1,yes,yes,good
0<=X<200,16,critical/other existing credit,radio/tv,1754,<100,>=7,4,male single,none,1,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,43,no credits/all paid,business,7454,<100,>=7,4,male single,none,4,no known property,44,none,own,1,skilled,1,yes,yes,bad
<0,14,existing paid,furniture/equipment,2566,<100,1<=X<4,2,female div/dep/mar,none,4,car,36,none,own,1,skilled,1,none,yes,good
0<=X<200,33,critical/other existing credit,used car,7339,<100,1<=X<4,3,male single,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,17,existing paid,new car,1672,<100,>=7,4,male single,none,4,life insurance,41,bank,own,1,skilled,1,none,yes,bad
no checking,9,existing paid,radio/tv,1453,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,new car,1537,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,30,none,own,1,skilled,1,none,yes,bad
no checking,25,critical/other existing credit,used car,3897,<100,>=7,4,male single,none,4,no known property,46,none,for free,2,skilled,1,yes,yes,good
0<=X<200,33,critical/other existing credit,radio/tv,6634,<100,>=7,4,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,14,existing paid,radio/tv,1166,<100,1<=X<4,4,male single,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
no checking,32,critical/other existing credit,used car,7490,<100,>=7,2,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good
no checking,14,critical/other existing credit,new car,1685,<100,>=7,4,male single,none,4,car,48,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1446,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,31,none,own,2,skilled,1,none,yes,good
no checking,13,critical/other existing credit,furniture/equipment,1488,>=1000,1<=X<4,4,female div/dep/mar,none,4,real estate,43,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,new car,2661,<100,1<=X<4,1,male single,none,2,real estate,38,none,own,1,skilled,1,none,yes,good
<0,28,critical/other existing credit,used car,4047,<100,>=7,4,male single,none,4,no known property,53,none,own,1,skilled,1,yes,yes,good
<0,25,existing paid,business,4314,<100,1<=X<4,2,male single,none,2,life insurance,32,none,own,1,skilled,1,none,yes,good
<0,29,existing paid,used car,6083,<100,>=7,3,male single,none,4,no known property,45,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,14,existing paid,new car,2153,no known savings,>=7,3,male single,none,4,real estate,51,none,own,1,skilled,1,none,yes,good
no checking,14,critical/other existing credit,radio/tv,1133,<100,1<=X<4,4,male single,none,2,real estate,32,none,own,2,skilled,1,none,yes,good
<0,20,existing paid,furniture/equipment,3154,<100,1<=X<4,2,male single,none,4,life insurance,37,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,new car,1381,<100,>=7,2,male single,none,4,real estate,44,none,own,1,unskilled resident,1,none,yes,good
<0,41,existing paid,used car,6942,<100,>=7,4,male single,none,4,no known property,41,none,for free,2,skilled,1,none,yes,bad
no checking,16,existing paid,used car,1620,<100,1<=X<4,4,male single,none,2,real estate,32,none,own,2,skilled,1,none,yes,good
no checking,9,existing paid,radio/tv,1370,<100,>=7,2,male single,none,2,real estate,41,none,own,1,skilled,1,none,yes,good
<0,16,existing paid,furniture/equipment,2328,<100,1<=X<4,2,male single,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
no checking,22,critical/other existing credit,radio/tv,2236,<100,>=7,4,male single,none,4,real estate,41,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,used car,3756,<100,1<=X<4,2,female div/dep/mar,none,4,car,29,none,rent,1,skilled,1,yes,yes,good
no checking,10,critical/other existing credit,new car,866,<100,>=7,4,male single,none,4,real estate,48,none,own,2,skilled,1,none,yes,good
no checking,19,existing paid,radio/tv,1495,<100,>=7,4,male single,none,4,real estate,40,none,own,1,skilled,1,none,yes,good
no checking,25,existing paid,used car,4839,<100,>=7,3,male single,none,4,no known property,42,none,for free,1,skilled,1,none,yes,good
<0,25,critical/other existing credit,used car,5793,<100,>=7,2,male single,none,4,car,44,none,own,1,skilled,1,yes,yes,good
<0,37,critical/other existing credit,radio/tv,8228,<100,4<=X<7,2,male single,none,4,car,35,none,own,2,skilled,1,yes,yes,good
no checking,11,existing paid,furniture/equipment,2522,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,28,none,rent,1,skilled,1,none,yes,good
no checking,18,existing paid,new car,1667,no known savings,>=7,4,male single,none,4,real estate,47,none,own,2,skilled,1,none,yes,good
no checking,28,critical/other existing credit,radio/tv,3042,<100,1<=X<4,4,male single,none,2,car,35,none,own,1,skilled,1,yes,yes,good
no checking,13,existing paid,radio/tv,1029,<100,>=7,4,female div/dep/mar,none,3,real estate,43,none,own,1,skilled,1,none,yes,good
no checking,30,existing paid,used car,6995,<100,unemployed,2,male single,none,4,no known property,47,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,43,critical/other existing credit,used car,7207,<100,>=7,4,male single,none,4,no known property,47,none,for free,2,skilled,1,none,yes,bad
<0,19,existing paid,furniture/equipment,3326,<100,1<=X<4,2,female div/dep/mar,none,4,car,25,none,rent,1,skilled,1,none,yes,good
no checking,16,critical/other existing credit,radio/tv,1294,<100,>=7,4,male single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,934,<100,1<=X<4,4,male single,none,4,real estate,40,none,own,2,unskilled resident,1,none,yes,good
<0,39,critical/other existing credit,new car,7892,<100,>=7,4,male single,none,4,no known property,44,none,for free,2,skilled,1,yes,yes,good
0<=X<200,20,existing paid,used car,4701,<100,1<=X<4,2,male single,none,4,car,29,none,own,1,skilled,1,none,yes,good
no checking,28,existing paid,radio/tv,4349,<100,1<=X<4,4,male single,none,2,car,29,none,own,1,skilled,1,none,yes,good
<0,22,existing paid,furniture/equipment,4066,<100,1<=X<4,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
no checking,9,critical/other existing credit,new car,1360,<100,>=7,3,male single,none,4,real estate,41,none,own,1,unskilled resident,1,none,yes,good
<0,19,existing paid,new car,1842,<100,<1,4,female div/dep/mar,none,2,car,32,none,own,1,skilled,1,none,yes,bad
no checking,9,existing paid,new car,2227,<100,1<=X<4,1,male single,none,2,real estate,37,none,own,1,unskilled resident,2,none,yes,good
no checking,11,critical/other existing credit,radio/tv,1104,<100,1<=X<4,4,male single,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,34,existing paid,radio/tv,5882,<100,1<=X<4,4,male single,none,2,car,27,none,own,1,skilled,1,none,yes,bad
0<=X<200,30,existing paid,used car,8113,<100,1<=X<4,2,male single,none,4,car,33,none,own,2,skilled,1,none,yes,good
