checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,37,existing paid,new car,4666,<100,1<=X<4,2,male single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
no checking,12,existing paid,new car,2030,<100,<1,2,male single,none,3,real estate,36,none,own,1,unskilled resident,2,none,yes,good
<0,35,existing paid,used car,4889,<100,>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,bad
no checking,34,existing paid,used car,6005,<100,1<=X<4,2,male single,none,4,no known property,41,none,for free,1,skilled,1,yes,yes,good
no checking,20,existing paid,radio/tv,2465,no known savings,>=7,4,male single,none,4,car,44,none,own,1,skilled,1,none,yes,good
0<=X<200,31,existing paid,used car,5759,<100,1<=X<4,2,male single,none,2,car,36,none,own,1,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,2216,<100,4<=X<7,3,female div/dep/mar,none,4,real estate,49,none,own,1,unskilled resident,1,none,yes,good
<0,21,existing paid,radio/tv,2038,<100,>=7,4,male single,none,4,car,46,none,own,1,skilled,1,none,yes,good
<0,18,existing paid,radio/tv,1375,<100,1<=X<4,4,female div/dep/mar,none,4,car,30,none,own,1,unskilled resident,1,none,yes,bad
no checking,29,existing paid,business,4499,<100,1<=X<4,2,male single,none,2,car,29,none,own,2,skilled,1,none,yes,good
no checking,23,existing paid,radio/tv,2801,no known savings,>=7,4,male single,none,4,car,38,none,own,1,skilled,1,yes,yes,good
no checking,16,critical/other existing credit,radio/tv,1802,<100,4<=X<7,4,male single,none,3,car,39,none,own,1,skilled,1,yes,yes,good
no checking,17,critical/other existing credit,new car,2167,<100,1<=X<4,2,male single,none,3,car,34,none,own,1,skilled,1,none,yes,good
<0,11,existing paid,furniture/equipment,1259,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,35,none,own,1,unskilled resident,1,none,yes,good
no checking,9,existing paid,radio/tv,883,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,34,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,14,existing paid,radio/tv,1644,<100,1<=X<4,4,male single,none,2,real estate,35,none,own,1,skilled,1,none,yes,good
0<=X<200,23,existing paid,new car,3589,<100,1<=X<4,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
0<=X<200,14,existing paid,furniture/equipment,2183,<100,<1,4,female div/dep/mar,none,1,real estate,34,none,own,1,skilled,1,none,yes,good
0<=X<200,41,existing paid,used car,5862,<100,<1,2,male single,none,2,no known property,34,none,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,new car,1519,<100,1<=X<4,2,female div/dep/mar,none,2,car,28,none,own,1,skilled,1,none,yes,good
no checking,28,existing paid,business,4374,<100,1<=X<4,3,male single,none,2,car,28,none,own,2,skilled,1,yes,yes,good
<0,34,critical/other existing credit,used car,5354,<100,>=7,4,male single,none,4,no known property,52,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,12,critical/other existing credit,new car,1498,<100,1<=X<4,4,female div/dep/mar,none,3,car,40,none,own,2,skilled,1,none,yes,good
no checking,20,existing paid,radio/tv,1819,no known savings,>=7,4,male single,none,4,car,45,none,own,1,skilled,1,none,yes,good
no checking,15,existing paid,furniture/equipment,1807,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,30,none,own,1,skilled,1,none,yes,good
no checking,32,existing paid,business,5344,<100,<1,2,male single,none,2,car,33,none,own,2,skilled,1,yes,yes,good
no checking,12,existing paid,new car,1684,<100,1<=X<4,4,male single,none,4,real estate,34,none,own,1,unskilled resident,2,none,yes,good
no checking,18,critical/other existing credit,radio/tv,1803,no known savings,>=7,4,male single,none,4,real estate,50,none,own,2,skilled,1,yes,yes,good
<0,19,existing paid,radio/tv,2304,<100,<1,4,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,good
0<=X<200,13,existing paid,radio/tv,1239,<100,<1,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
<0,29,existing paid,radio/tv,2955,<100,>=7,4,male single,none,4,no known property,42,none,own,1,skilled,1,yes,yes,bad
no checking,13,critical/other existing credit,radio/tv,1240,<100,>=7,4,male single,none,4,real estate,47,none,own,1,skilled,1,none,yes,good
<0,24,critical/other existing credit,used car,3911,<100,>=7,4,male single,none,4,no known property,48,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,19,existing paid,new car,3331,<100,4<=X<7,2,male single,none,2,car,38,none,own,1,skilled,1,yes,yes,good
0<=X<200,23,existing paid,radio/tv,3065,<100,<1,2,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,none,yes,good
no checking,30,existing paid,new car,4566,<100,<1,2,female div/dep/mar,none,2,car,34,none,own,1,skilled,1,yes,yes,good
no checking,18,existing paid,radio/tv,1701,<100,<1,4,male single,none,4,car,33,none,own,1,skilled,2,yes,yes,good
no checking,13,existing paid,radio/tv,1024,<100,1<=X<4,4,male single,none,2,real estate,29,none,own,2,skilled,1,none,yes,good
no checking,15,critical/other existing credit,radio/tv,1745,<100,>=7,4,male single,none,4,real estate,49,none,own,1,skilled,1,yes,yes,good
no checking,16,existing paid,radio/tv,1340,<100,>=7,4,male single,none,4,car,41,none,own,1,skilled,2,none,yes,bad
<0,19,critical/other existing credit,new car,2556,<100,<1,4,male single,none,4,car,31,none,own,1,skilled,1,none,yes,good
0<=X<200,50,existing paid,new car,12475,<100,>=7,1,male single,none,4,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,28,critical/other existing credit,radio/tv,2759,<100,>=7,4,male single,none,4,real estate,42,none,own,1,skilled,1,none,yes,good
0<=X<200,34,existing paid,used car,8852,<100,1<=X<4,1,female div/dep/mar,none,4,car,33,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,31,existing paid,new car,4546,<100,<1,2,female div/dep/mar,none,2,car,32,none,own,1,skilled,1,none,yes,bad
no checking,17,existing paid,new car,2250,<100,<1,2,male single,none,3,car,33,none,own,1,skilled,1,yes,yes,good
no checking,16,existing paid,new car,2047,<100,<1,4,male single,none,3,car,35,none,own,1,skilled,1,none,yes,good
0<=X<200,22,existing paid,new car,3022,<100,1<=X<4,3,male single,none,2,car,29,none,own,1,skilled,1,none,yes,good
<0,38,existing paid,business,5298,<100,1<=X<4,3,male single,none,2,car,29,none,own,2,skilled,1,none,yes,bad
no checking,15,existing paid,new car,1670,<100,>=7,4,male single,none,3,real estate,34,none,own,1,skilled,1,none,yes,good
<0,36,existing paid,new car,4817,<100,<1,4,male single,none,4,car,30,none,own,1,skilled,1,yes,yes,bad
<0,15,existing paid,furniture/equipment,1776,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,new car,1672,<100,<1,4,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,17,critical/other existing credit,new car,2015,<100,4<=X<7,4,male single,none,3,car,35,none,own,2,skilled,1,none,yes,good
<0,15,critical/other existing credit,furniture/equipment,2051,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,28,none,own,2,skilled,1,none,yes,good
no checking,16,existing paid,new car,1969,<100,<1,2,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
<0,23,existing paid,radio/tv,2453,<100,1<=X<4,4,male single,none,4,no known property,44,none,for free,2,skilled,1,none,yes,good
no checking,29,delayed previously,business,4609,<100,1<=X<4,2,male single,none,2,car,28,none,own,2,skilled,1,yes,yes,good
0<=X<200,19,critical/other existing credit,radio/tv,2291,<100,1<=X<4,4,male single,none,4,real estate,37,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,furniture/equipment,1892,<100,1<=X<4,3,female div/dep/mar,none,2,car,38,none,own,1,unskilled resident,1,none,yes,good
<0,19,existing paid,new car,2590,<100,1<=X<4,2,female div/dep/mar,none,2,car,27,none,own,1,skilled,1,none,yes,good
0<=X<200,33,existing paid,business,3842,<100,1<=X<4,4,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
no checking,11,critical/other existing credit,radio/tv,1140,<100,>=7,4,female div/dep/mar,none,4,real estate,42,none,own,2,skilled,1,none,yes,good
no checking,15,existing paid,radio/tv,1623,<100,>=7,4,male single,none,4,car,40,none,own,1,skilled,1,yes,yes,good
0<=X<200,30,critical/other existing credit,new car,5429,<100,<1,2,male single,none,2,car,35,none,own,1,skilled,1,yes,yes,good
<0,15,existing paid,furniture/equipment,1831,<100,1<=X<4,4,female div/dep/mar,none,4,car,23,none,rent,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,new car,1725,<100,>=7,4,male single,none,4,real estate,41,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1049,<100,>=7,4,male single,none,4,car,39,none,own,2,skilled,1,none,yes,good
no checking,14,critical/other existing credit,furniture/equipment,1488,<100,1<=X<4,4,female div/dep/mar,none,1,life insurance,29,none,own,2,skilled,1,none,yes,good
<0,14,existing paid,furniture/equipment,1344,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,30,none,own,1,skilled,1,none,yes,bad
no checking,13,existing paid,furniture/equipment,1452,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,28,none,own,1,skilled,1,none,yes,good
0<=X<200,21,existing paid,new car,2940,<100,<1,4,female div/dep/mar,none,2,car,35,none,own,1,skilled,1,none,yes,good
<0,21,existing paid,radio/tv,2910,<100,<1,4,female div/dep/mar,none,1,car,28,none,own,1,skilled,1,none,yes,good
no checking,28,existing paid,business,4127,<100,<1,4,male single,none,2,real estate,40,none,own,1,skilled,1,yes,yes,good
no checking,15,critical/other existing credit,radio/tv,1497,<100,>=7,4,male single,none,4,real estate,49,none,own,1,skilled,1,none,yes,good
no checking,16,existing paid,radio/tv,1499,<100,>=7,4,male single,none,4,car,41,none,own,1,skilled,2,none,yes,good
no checking,14,critical/other existing credit,furniture/equipment,1629,<100,1<=X<4,4,male single,none,2,life insurance,31,none,own,2,skilled,1,none,yes,good
no checking,21,critical/other existing credit,new car,3130,<100,<1,2,female div/dep/mar,none,3,car,32,none,own,2,skilled,1,none,yes,good
0<=X<200,25,existing paid,business,3664,<100,4<=X<7,4,male single,none,4,car,37,none,own,1,skilled,2,yes,yes,good
no checking,14,critical/other existing credit,new car,1898,<100,>=7,3,male single,none,4,life insurance,39,none,own,2,skilled,1,yes,yes,good
no checking,14,existing paid,furniture/equipment,1668,<100,1<=X<4,2,female div/dep/mar,none,2,car,28,none,own,2,skilled,1,none,yes,good
<0,25,existing paid,new car,3869,<100,<1,4,male single,none,4,life insurance,42,none,own,1,skilled,1,yes,yes,good
<0,11,existing paid,radio/tv,908,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,33,none,own,1,unskilled resident,1,none,yes,good
no checking,26,existing paid,business,3490,<100,1<=X<4,2,male single,none,2,car,29,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
<0,24,critical/other existing credit,new car,3755,<100,>=7,4,male single,none,4,car,39,none,own,2,skilled,1,yes,yes,bad
no checking,20,critical/other existing credit,new car,2716,<100,1<=X<4,4,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
<0,17,existing paid,new car,2165,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,27,none,own,1,skilled,1,none,yes,bad
no checking,12,existing paid,new car,1976,<100,1<=X<4,2,female div/dep/mar,none,4,car,43,none,own,1,skilled,1,none,yes,good
no checking,23,existing paid,new car,4097,<100,1<=X<4,2,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
<0,13,existing paid,furniture/equipment,1420,<100,<1,4,female div/dep/mar,none,1,life insurance,24,none,own,1,skilled,1,none,yes,good
<0,15,existing paid,radio/tv,2023,<100,<1,4,female div/dep/mar,none,1,car,27,none,own,1,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1919,<100,>=7,4,male single,none,4,real estate,50,none,own,1,unskilled resident,1,none,yes,good
no checking,16,existing paid,radio/tv,2026,<100,<1,4,male single,none,3,real estate,34,none,own,1,skilled,1,none,yes,good
<0,22,existing paid,radio/tv,2132,<100,<1,4,male single,none,3,car,33,none,own,1,skilled,1,none,yes,bad
no checking,13,critical/other existing credit,furniture/equipment,1276,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,34,none,own,2,skilled,1,none,yes,good
<0,22,existing paid,new car,2621,<100,>=7,4,male single,none,4,life insurance,39,none,own,1,skilled,2,none,yes,good
no checking,14,existing paid,radio/tv,1818,<100,4<=X<7,4,male single,none,3,car,35,none,own,1,skilled,2,none,yes,good
no checking,13,existing paid,new car,2148,<100,1<=X<4,4,male single,none,4,real estate,35,none,own,1,unskilled resident,2,none,yes,good
no checking,21,existing paid,radio/tv,1737,<100,4<=X<7,4,male single,none,3,real estate,29,none,own,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,radio/tv,1167,<100,>=7,4,male single,none,4,real estate,48,none,own,2,skilled,1,none,yes,good
<0,20,existing paid,radio/tv,2058,<100,1<=X<4,4,male single,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,1804,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,none,yes,good
0<=X<200,43,existing paid,business,6195,<100,1<=X<4,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
no checking,20,critical/other existing credit,radio/tv,2342,<100,1<=X<4,4,male single,none,2,real estate,38,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1473,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
<0,20,critical/other existing credit,used car,4122,<100,>=7,2,female div/dep/mar,none,4,no known property,52,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,17,existing paid,radio/tv,1501,<100,>=7,4,male single,none,4,car,39,none,own,1,skilled,2,none,yes,good
no checking,32,critical/other existing credit,radio/tv,4615,no known savings,>=7,4,male single,none,4,car,43,none,own,2,skilled,1,yes,yes,good
