"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"1",4,4,"sep","wed",92.1,103.8,752.3,8.2,21,37,3.5,0,3.64
"2",4,6,"oct","sun",84,27.8,59.8,2.3,14.3,57,5.6,0,3.35
"3",5,3,"sep","fri",90.7,114.3,731.3,7,18.5,43,3.9,0,0.43
"4",6,5,"aug","wed",93.1,141.3,669.2,13.5,24.2,30,2.4,0,0
"5",4,5,"nov","wed",93.6,147.1,668.9,13.8,24.4,33,2.9,0,0
"6",4,4,"sep","mon",92.1,97.5,736.9,7.3,19.1,40,3,0,0
"7",5,4,"sep","fri",91.4,134.6,809.3,6.7,18.8,70,3.1,0.1,0.41
"8",8,5,"aug","mon",89.7,158.6,722.6,6.8,14.4,62,7,0,16.33
"9",6,5,"oct","thu",85.4,2.6,57.6,2.3,8.2,55,6.3,0.1,11.19
"10",4,4,"sep","mon",92.1,91.3,740.8,5.8,18.9,40,3.1,0,0
"11",4,5,"may","thu",84,6.1,71.8,5,5,50,6.5,0,4.61
"12",6,4,"sep","fri",92.2,104.5,741.7,9.7,21.4,34,3,0,1.47
"13",5,3,"sep","fri",92,111.7,741.3,9.5,20.4,40,2.6,0.1,2.57
"14",4,4,"sep","fri",92.6,113.9,719.7,10,21.4,32,2.9,0.1,3.94
"15",6,4,"may","fri",84.8,11.2,51.3,3,10,43,2.4,0,0
"16",2,4,"aug","sun",94.5,141.5,606.8,14.9,23.5,40,5,0,0
"17",6,5,"jul","thu",94.1,143.8,605.4,18.9,26.2,31,3.9,0,2.47
"18",7,4,"nov","tue",88.7,157.8,674.6,7.6,14.8,59,5,0.1,0
"19",7,4,"sep","fri",92.1,98.8,774.9,9.2,20.5,38,4.2,0,0
"20",4,5,"feb","mon",85.5,5,57.4,2.7,13.7,56,5.5,0.1,0
"21",4,4,"oct","mon",85.8,18.4,57.8,2.8,14.8,47,5.2,0.1,0
"22",5,4,"sep","fri",92.2,91.2,741.3,9.5,19.6,40,2.7,0.1,0
"23",4,4,"oct","thu",84.9,2.7,56.8,2.4,12.8,65,9,0.5,0
"24",5,3,"sep","fri",91.8,106.8,776.2,7.4,20.3,40,3.5,0.1,34.36
"25",4,5,"feb","thu",84.7,10.4,60.9,2.7,11.5,56,9,0,13.05
"26",6,4,"sep","fri",92.1,107.1,775.5,9.6,19.7,38,3.5,0,15.34
"27",2,5,"aug","sun",94.6,132.3,585.4,14.2,28.2,33,6.2,0,3.09
"28",5,4,"aug","tue",94.9,197.5,607.5,16.1,28.7,30,5.2,0.1,0
"29",5,5,"oct","thu",85.7,18.1,55.3,3,12.6,46,3.5,0,0
"30",4,4,"feb","fri",84.9,2.6,57.6,2.9,8.6,43,2.4,0,3.35
"31",4,4,"aug","thu",93,137.1,622.2,10.2,23.4,28,3.1,0,196.48
"32",2,4,"aug","tue",94.9,135.3,585.3,10.8,24.9,30,4,0,4.69
"33",4,4,"sep","fri",91.4,111.5,766.9,8.6,20.7,40,2.6,0.1,1.95
"34",6,4,"sep","fri",92.2,112.8,737.8,10,21.3,39,3,0.1,0.24
"35",4,4,"feb","mon",85.4,2.4,56.4,4.2,9.8,35,2.4,0.1,0
"36",6,4,"oct","mon",84.9,18.5,57.5,2.7,13.8,48,4.9,0.4,0
"37",5,4,"sep","fri",91.8,112.7,766,7.8,18.6,40,3,0.1,0
"38",5,7,"aug","thu",96.1,131.4,582.4,13.5,27.8,30,3.9,0,2
"39",6,4,"oct","wed",87.2,30.4,62.3,3.3,15.1,40,5.5,0.1,0
