"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"1",4,4,"mar","fri",92.7,125.7,775.2,7.7,19.2,40,2.9,0.1,56.04
"2",6,4,"feb","fri",85.7,22.2,60,2.9,8.2,44,5.6,0,0.36
"3",3,2,"mar","fri",91.7,99.9,758.9,8,20.4,43,3.8,0,0
"4",2,2,"nov","wed",93.6,104.3,635.1,10.3,23.3,32,4.7,0,13.06
"5",6,4,"jul","wed",94.9,132.3,582.9,15.3,29.1,28,2.8,0,0
"6",6,2,"mar","fri",91.1,118,766.3,6.9,18.5,46,3.4,0.5,0
"7",2,4,"mar","fri",91,103.4,747.9,7.2,17,58,3.4,0,0
"8",6,4,"mar","sun",90.2,125.2,715.7,6.8,15.9,69,3.4,0,29.48
"9",4,4,"feb","sun",86,15.2,65.6,2.7,6,43,2,0.1,0
"10",3,2,"mar","wed",91.9,96.5,751.5,7.6,18.6,34,2,0,0
"11",4,6,"feb","sat",86.6,3.4,51.1,2.8,5.2,36,2.5,0.1,0
"12",2,4,"mar","wed",92.2,115.1,751.9,7.7,21.1,32,1.6,0,1.69
"13",2,2,"mar","wed",91.6,117.8,765.3,8.9,19.2,40,2,0,10.02
"14",4,4,"mar","fri",92.7,125.6,736.2,8.6,22.6,34,3.4,0,0
"15",6,4,"feb","wed",84.3,3.4,61.4,2.6,14.2,36,3,0.1,0
"16",2,4,"mar","fri",92.4,117.7,751.8,8.9,22.5,36,2.5,0,10.34
"17",6,4,"nov","fri",95.3,133,471.1,14.7,25.4,28,3.8,0.1,0
"18",6,4,"nov","sun",91,159.2,595.7,8.3,16.2,66,5.2,0.1,0
"19",6,4,"mar","sat",92.1,114.9,757.7,9.6,20.5,37,4.8,0,3.52
"20",6,4,"feb","fri",84.3,15.2,68.9,2.5,2.3,30,2.3,0,4.62
"21",4,4,"feb","fri",85.8,9.2,72.6,3.9,12.6,36,1.6,0.1,0.41
"22",2,4,"mar","mon",91.7,103.4,749,8.9,18.7,44,2.9,0,4.53
"23",4,4,"feb","sun",86.5,15.4,51,2.8,9.7,41,2.5,0,13.05
"24",2,4,"mar","wed",91.7,111.1,756.7,6.9,18.6,44,2,0,1.47
"25",4,4,"feb","wed",86.2,3.4,50.8,3.8,6,32,2.4,0.1,0
"26",4,2,"mar","wed",91.7,99.9,758.9,8.2,18.3,48,3.4,0,0
"27",6,4,"nov","sun",95.1,143.7,526.8,14.5,23.4,38,4.7,0,0
"28",8,6,"nov","sun",95.1,180.8,590.4,13.3,24.5,37,4.7,0.1,16.4
"29",4,4,"jan","sun",84,23.1,331.5,2.7,10.6,72,5.6,0,0
"30",6,4,"feb","fri",84.8,16.5,61,2.5,15.7,38,3.4,0,11.16
"31",4,4,"nov","fri",94.2,134.6,636.9,11.8,23.4,33,3.8,0.1,0
"32",2,4,"nov","fri",95.1,132.1,635.5,13.9,23.9,24,3.8,0.1,0
"33",2,4,"mar","wed",91.6,110.8,750.9,7.3,18.9,40,2.5,0,17.2
"34",4,4,"mar","mon",92,97.7,759.3,9.1,20.8,36,2.9,0,0
"35",6,4,"feb","wed",88.7,27.2,69.2,6,14,32,3.8,0.1,0
"36",6,6,"oct","fri",88.4,18.6,56.2,2.9,14.4,36,2,0.1,1.1
"37",4,4,"mar","fri",92.3,119.1,752,8.9,18.8,41,2,0.1,6.44
"38",6,4,"nov","fri",95.1,144.2,624.2,14.2,26.5,23,3.8,0,2.07
"39",4,6,"mar","fri",91.3,35.6,46.6,6,15.8,26,4.5,0,0
"40",6,4,"nov","fri",94.2,142.8,586.6,12.7,23.6,34,4.8,0,1.69
"41",1,4,"mar","fri",91.6,125.1,796.8,7.3,19.1,50,2.5,0,0
"42",4,2,"oct","wed",91.7,36.7,99.7,7.6,17.8,30,3.4,0,0
"43",6,4,"mar","fri",86.6,11.3,59.9,2.5,5.4,58,4.7,0.1,11.19
"44",6,4,"nov","wed",93.6,137.9,586.7,17.3,29.2,28,4.2,0.3,2.55
"45",4,4,"mar","mon",92.2,112,759.6,8.9,19.9,34,2.9,0.1,5.18
"46",4,4,"mar","fri",92.4,119.2,770.5,9,22.9,34,2.5,0.1,0
"47",4,4,"mar","sat",91.4,28.4,92.1,7.7,17,28,3.8,0,0
"48",6,4,"mar","fri",84.8,17.2,60.2,2.4,3,50,5.6,0,0
"49",6,4,"feb","wed",86.3,16.5,72.6,4.4,14,32,3.8,0.1,6.38
"50",4,4,"feb","fri",84.8,16.5,56.2,2.8,14.2,46,3.7,0,0
"51",6,4,"mar","wed",91.9,111.8,748,7.3,20,34,2.5,0,2.03
"52",4,4,"apr","fri",83,21.5,153.7,2,9.5,77,7.1,0.1,0
"53",4,4,"mar","fri",92.2,111.8,752,7.7,19.7,34,2.9,0.1,1.56
"54",6,4,"nov","sun",94.9,180.8,635.1,15.7,27.4,32,4.7,0.1,0
"55",2,4,"mar","fri",91.8,111.2,758.7,7.8,20.3,40,2.9,0.1,0
"56",6,4,"jul","fri",95.3,127.7,363.7,14,28.4,28,4.2,0.1,1090.84
"57",4,2,"mar","fri",92,120.4,750.6,8.8,20,38,3.8,0.1,0
"58",2,4,"jul","wed",95.6,102.9,512.7,16.1,31.9,28,4.7,0,16.4
"59",2,4,"nov","fri",94.2,141.9,621.6,11.8,22.1,34,4.7,0.1,0
"60",6,4,"feb","wed",84.3,7.6,44.4,3.8,5.5,52,5.6,0.1,1.1
"61",4,4,"feb","fri",84.3,16,56.2,2.5,8.2,43,2.3,0.1,0
"62",4,6,"mar","wed",87.8,13.2,72,2.8,3.8,60,4.9,0,9.27
"63",6,4,"nov","sun",88.2,96.8,631.6,3.1,15.1,68,2,0,11.16
"64",1,2,"mar","wed",92.1,117.3,746.4,7.7,20.4,35,2,0,0
"65",1,2,"mar","wed",92.1,116.6,746.3,7.7,20.4,35,2,0,0
"66",6,4,"feb","fri",86.4,13.8,53.9,2.8,5.1,74,2.5,0.1,0
"67",4,4,"mar","wed",92.2,117.5,759.9,7.7,20.4,34,2.5,0,3.94
"68",4,4,"mar","wed",91.8,100,746.8,7.3,20.7,38,2.9,0.1,4.4
"69",4,4,"mar","wed",91.9,120.4,736.9,8.4,20.4,34,2,0,1.56
"70",2,4,"mar","wed",92.1,119.8,727,9.3,20.5,36,4.7,0,0
"71",2,2,"mar","mon",92.3,89.7,762,7.2,16.8,51,1.8,0.1,0
"72",2,4,"mar","fri",90.9,115.8,748.8,6.2,17,62,3.4,0.1,9.96
"73",4,4,"mar","mon",91.6,101.9,729.1,7,17.5,59,2.9,0,10.34
"74",2,4,"mar","wed",91,107.1,717.2,7,17,60,3.4,0.1,11.24
"75",6,4,"mar","wed",91.3,121.3,797.7,6.7,17.5,58,2,0.1,11.24
"76",2,4,"mar","wed",91.6,111.1,758.9,7,20.4,40,2.9,0,0
"77",6,4,"nov","fri",91,271.8,602,6.2,16.2,66,3.8,0,0
"78",2,4,"mar","fri",89.9,150.5,730.9,6.8,16.1,61,2.5,1,9.27
"79",7,4,"nov","sun",89.7,275,710.3,6.2,16.2,64,3.4,0.1,2.93
"80",2,4,"mar","fri",90.8,101.3,737.2,6.9,17,65,3.4,0.1,2.17
"81",2,4,"nov","sun",95.1,180.8,586.6,15.4,26.2,34,4.7,0.1,0.9
"82",4,4,"feb","fri",84,8.9,72.6,3.8,10.9,33,2.4,0,0
"83",4,4,"feb","wed",82.3,3.4,50.8,2.6,5.3,58,4.2,0,0
"84",4,4,"feb","fri",86.4,16.6,72.6,3.8,13.3,42,3.2,0.1,6.38
"85",4,4,"mar","wed",85.6,15.5,53.9,3.1,14.1,26,5.5,0.1,0
"86",6,4,"feb","fri",86,11.3,47.5,2.8,5.5,61,4.6,0.1,2.14
"87",3,4,"nov","fri",90.9,239.6,729.7,7.3,17,59,2.5,0.1,5.23
"88",6,4,"jan","sun",89.9,95.9,708.3,5.4,16.6,64,2,0.1,0
"89",8,4,"nov","sun",95.1,132,596.9,10.4,26.7,37,5.2,0,0
"90",6,4,"nov","fri",94.9,140.5,633.9,14.8,25.2,24,4.2,0.1,26.13
"91",2,2,"mar","fri",91.6,110.4,751.1,8.2,18.4,48,4.7,0.1,0
"92",2,4,"nov","sun",94.9,153.1,650.6,15.1,28.5,22,6,0.1,0.24
"93",4,4,"nov","fri",94.2,180.9,642.3,15.2,26.7,28,5.2,0.1,8.16
