"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.3,18.6,185,4281,"male",2008
"2","Adelie","Torgersen",36.1,18.8,185,4032,"male",2007
"3","Adelie","Torgersen",35,19.1,191,3851,"male",2009
"4","Adelie","Torgersen",37.8,18.2,185,3697,"male",2007
"5","Adelie","Torgersen",36.5,19.1,181,3509,"male",2008
"6","Adelie","Torgersen",37.3,18.8,185,3933,"male",2007
"7","Adelie","Torgersen",37.1,17.9,189,4282,"male",2007
"8","Adelie","Biscoe",39,17.8,185,4263,"male",2008
"9","Adelie","Dream",37.8,18.1,186,3537,"male",2007
"10","Adelie","Biscoe",42.4,17.9,185,3535,"male",2007
"11","Adelie","Torgersen",39.6,18.2,185,3731,"male",2009
"12","Adelie","Torgersen",34.8,18.8,185,3510,"male",2007
"13","Adelie","Torgersen",37.7,18.8,185,3968,"male",2009
"14","Adelie","Biscoe",42.9,18.2,184,3728,"male",2007
"15","Adelie","Torgersen",36.2,18.8,172,3964,"male",2008
"16","Adelie","Torgersen",37.4,19.1,183,3509,"male",2007
"17","Adelie","Biscoe",41.5,18,186,3981,"male",2007
"18","Adelie","Torgersen",36,18.8,185,3519,"male",2007
"19","Adelie","Biscoe",34.5,17.3,200,3466,"male",2009
"20","Adelie","Torgersen",38,18.8,194,3988,"male",2007
"21","Adelie","Torgersen",34.8,18.7,173,4285,"male",2007
"22","Adelie","Dream",38,18.6,184,4099,"male",2007
"23","Adelie","Torgersen",37.8,18.2,191,4286,"male",2007
"24","Adelie","Torgersen",38,18.2,196,4284,"male",2009
"25","Adelie","Torgersen",35.9,18.7,185,4287,"male",2008
"26","Adelie","Torgersen",37.8,18.8,185,3960,"male",2009
"27","Adelie","Torgersen",38,19,195,4284,"male",2008
"28","Adelie","Torgersen",39.1,19,182,3458,"male",2008
"29","Adelie","Torgersen",38.1,18.2,196,3520,"male",2009
"30","Adelie","Torgersen",37.7,19,181,3458,"male",2008
"31","Adelie","Torgersen",37.8,18.7,191,4282,"male",2009
"32","Gentoo","Biscoe",47.1,16,220,4835,"female",2008
"33","Gentoo","Biscoe",48.6,16,221,4853,"female",2007
"34","Gentoo","Biscoe",45.1,15.4,230,4934,"female",2007
"35","Gentoo","Biscoe",48.6,15.6,225,5554,"male",2008
"36","Gentoo","Biscoe",47.6,14.2,217,4728,"female",2008
"37","Gentoo","Biscoe",48.6,16,221,4857,"female",2008
"38","Gentoo","Biscoe",49,14.3,218,4583,"female",2009
"39","Gentoo","Biscoe",48.7,15.6,226,5632,"male",2008
"40","Gentoo","Biscoe",49.2,15.6,226,4857,"male",2009
"41","Gentoo","Biscoe",46.5,14.2,217,4979,"female",2009
"42","Gentoo","Biscoe",45.4,14.9,226,4902,"male",2007
"43","Gentoo","Biscoe",48.9,13.9,218,4718,"female",2007
"44","Gentoo","Biscoe",48.7,15.2,216,4768,"female",2007
"45","Gentoo","Biscoe",44.1,15.2,217,4980,"female",2007
"46","Gentoo","Biscoe",48.6,15.6,218,4988,"female",2008
"47","Gentoo","Biscoe",47.8,14.2,218,5155,"female",2008
"48","Gentoo","Biscoe",48.6,15.6,216,4747,"female",2007
"49","Gentoo","Biscoe",44.2,15.4,217,5000,"female",2007
"50","Gentoo","Biscoe",48.6,15.5,221,4860,"female",2008
"51","Gentoo","Biscoe",48.6,14.2,226,4853,"male",2007
"52","Gentoo","Biscoe",50.7,15.1,224,4832,"male",2007
"53","Gentoo","Biscoe",44.1,15.3,219,4992,"female",2008
"54","Gentoo","Biscoe",50.8,15,226,4862,"male",2009
"55","Gentoo","Biscoe",50.7,15.4,222,4856,"male",2009
"56","Gentoo","Biscoe",45.1,15.3,217,5159,"female",2008
"57","Chinstrap","Dream",49.9,19.1,193,3831,"male",2007
"58","Chinstrap","Dream",49,19,192,3680,"male",2008
"59","Chinstrap","Dream",51.4,18.9,197,4041,"male",2007
"60","Chinstrap","Dream",48.9,19.6,192,3734,"male",2007
"61","Chinstrap","Dream",50.4,19.2,196,3965,"male",2009
"62","Chinstrap","Dream",49.8,18.1,196,3855,"male",2008
"63","Chinstrap","Dream",51.3,19,196,3845,"male",2007
"64","Chinstrap","Dream",50.4,18.8,200,3593,"male",2009
"65","Chinstrap","Dream",51.2,19.2,197,3872,"male",2007
"66","Chinstrap","Dream",50,19,192,3805,"male",2007
"67","Chinstrap","Dream",50.9,19.1,196,3830,"male",2007
