"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Gentoo","Biscoe",40.6,18.8,180,3538,"male","2007"
"2","Gentoo","Biscoe",41.5,18.3,184,4170,"male","2008"
"3","Gentoo","Biscoe",35.2,17.1,186,3438,"female","2007"
"4","Gentoo","Dream",36.8,17.4,190,4025,"female","2008"
"5","Gentoo","Dream",35.2,19.1,175,3338,"female","2007"
"6","Gentoo","Biscoe",40.4,18.8,184,3988,"male","2007"
"7","Gentoo","Biscoe",40.4,18.8,182,4025,"male","2008"
"8","Gentoo","Dream",36.3,19.4,190,3838,"male","2008"
"9","Gentoo","Dream",37.2,17.4,188,4025,"female","2007"
"10","Gentoo","Biscoe",40.4,17.7,186,3650,"male","2008"
"11","Gentoo","Biscoe",34.5,18.2,184,3475,"male","2007"
"12","Gentoo","Biscoe",36.9,17.5,189,3338,"female","2009"
"13","Gentoo","Biscoe",34.5,18.2,184,3475,"male","2008"
"14","Gentoo","Biscoe",36.9,18.5,202,3738,"male","2007"
"15","Gentoo","Biscoe",35.8,19.1,179,3462,"female","2009"
"16","Gentoo","Biscoe",42.1,19,182,3650,"male","2008"
"17","Gentoo","Biscoe",40,18.8,182,4025,"male","2009"
"18","Gentoo","Dream",41.5,18,186,2875,"male","2007"
"19","Gentoo","Biscoe",40.6,18.4,198,3688,"male","2009"
"20","Gentoo","Biscoe",40.8,18.8,190,3512,"male","2007"
"21","Gentoo","Biscoe",41.5,18.3,202,4163,"male","2009"
"22","Gentoo","Biscoe",40.4,18.6,184,4260,"female","2009"
"23","Gentoo","Dream",36.3,18.6,192,3375,"female","2009"
"24","Gentoo","Biscoe",35.2,17.4,190,4239,"female","2009"
"25","Gentoo","Dream",35.2,19,188,3525,"female","2007"
"26","Gentoo","Biscoe",41.5,18,184,3625,"male","2007"
"27","Gentoo","Dream",35.2,19.1,188,3375,"female","2007"
"28","Gentoo","Dream",36.1,19.1,178,3475,"male","2007"
"29","Gentoo","Dream",36.7,18.2,194,3375,"female","2008"
"30","Gentoo","Biscoe",40.5,18,194,3650,"male","2007"
"31","Gentoo","Biscoe",39.9,19,188,3338,"female","2008"
"32","Gentoo","Biscoe",44.3,14.4,216,5450,"female","2008"
"33","Gentoo","Biscoe",51.8,16,219,5900,"male","2008"
"34","Gentoo","Biscoe",44.9,14.2,220,4675,"female","2007"
"35","Gentoo","Biscoe",44.8,13.6,222,5450,"female","2008"
"36","Gentoo","Biscoe",48.5,14.4,216,5075,"female","2008"
"37","Gentoo","Biscoe",46.9,14.4,218,5075,"female","2008"
"38","Gentoo","Biscoe",44.3,14.2,218,4949,"female","2007"
"39","Gentoo","Biscoe",44.6,15.2,220,4624,"female","2007"
"40","Gentoo","Biscoe",46.9,14.1,216,5183,"female","2009"
"41","Gentoo","Biscoe",46.8,14.1,208,5154,"female","2009"
"42","Gentoo","Biscoe",51.8,15.8,224,5897,"male","2009"
"43","Gentoo","Biscoe",46.9,14.1,208,5181,"female","2009"
"44","Gentoo","Biscoe",47.5,14.8,220,5275,"female","2007"
"45","Gentoo","Biscoe",46.8,14.1,208,4674,"female","2008"
"46","Gentoo","Biscoe",47.1,14.1,216,4638,"female","2007"
"47","Gentoo","Biscoe",46.9,14.1,208,5180,"female","2008"
"48","Gentoo","Biscoe",49.2,14.4,227,5450,"female","2007"
"49","Gentoo","Biscoe",47.1,14.4,216,4756,"female","2007"
"50","Gentoo","Biscoe",44.3,14.1,220,4862,"female","2007"
"51","Gentoo","Biscoe",51.2,16,220,5553,"male","2008"
"52","Gentoo","Biscoe",43.9,14.1,220,4887,"female","2008"
"53","Gentoo","Biscoe",46.9,14.1,208,5197,"female","2007"
"54","Gentoo","Biscoe",44.8,13.6,222,5450,"female","2008"
"55","Gentoo","Biscoe",46.8,14.4,218,5198,"female","2007"
"56","Gentoo","Biscoe",46.9,14.4,208,4675,"female","2009"
"57","Chinstrap","Dream",50.8,18.8,196,3625,"male","2009"
"58","Chinstrap","Dream",51.3,18.8,196,3888,"male","2009"
"59","Chinstrap","Dream",50.8,18.8,196,3625,"male","2007"
"60","Chinstrap","Dream",50.7,18.8,192,3838,"male","2008"
"61","Chinstrap","Dream",51.3,18.8,196,3688,"male","2008"
"62","Chinstrap","Dream",50.7,18.4,192,3687,"male","2009"
"63","Chinstrap","Dream",51.3,19.1,196,3625,"male","2008"
"64","Chinstrap","Dream",50.9,18.6,196,3575,"male","2007"
"65","Chinstrap","Dream",51.1,19,198,3700,"male","2009"
"66","Chinstrap","Dream",50.9,18.9,190,3575,"male","2007"
"67","Chinstrap","Dream",53.4,18,194,3662,"male","2007"
