"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1","GP","F",17,"U","GT3","T",2,2,"at_home","other","course","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",4,3,3,1,1,3,6,11,12,12
"2","GP","M",15,"U","GT3","A",4,4,"health","teacher","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,2,1,1,4,3,12,12,12
"3","GP","F",16,"U","GT3","T",4,3,"other","services","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,1,2,2,4,14,14,16
"4","GP","M",15,"U","GT3","T",4,4,"teacher","other","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,4,0,14,14,14
"5","GP","F",18,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",4,2,3,1,1,4,1,11,12,14
"6","GP","F",18,"U","GT3","T",3,3,"at_home","other","home","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",4,3,3,1,2,3,12,10,12,10
"7","MS","F",16,"R","GT3","T",2,2,"at_home","other","course","mother",2,2,0,"no","yes","no","yes","yes","yes","no","no",5,3,2,1,1,5,3,11,10,13
"8","GP","M",16,"U","GT3","T",4,4,"health","teacher","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,3,1,2,4,2,16,17,12
"9","MS","M",16,"U","LE3","T",1,2,"other","services","course","mother",3,1,0,"no","yes","no","yes","yes","yes","yes","no",4,5,5,2,4,5,4,9,9,11
"10","GP","M",15,"U","GT3","T",4,4,"teacher","teacher","reputation","other",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,3,1,1,4,0,16,15,17
"11","GP","M",16,"U","LE3","T",3,3,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",5,3,3,1,1,3,1,14,14,11
"12","GP","F",17,"U","GT3","T",2,1,"other","services","course","father",1,3,0,"yes","yes","no","no","yes","yes","yes","no",4,2,3,1,2,4,0,11,12,13
"13","GP","M",16,"U","GT3","T",3,3,"other","other","course","mother",1,3,0,"no","yes","no","no","yes","yes","yes","no",4,3,2,1,1,5,2,12,12,12
"14","GP","M",18,"U","GT3","T",3,3,"other","other","home","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",4,3,4,2,4,5,10,11,12,10
"15","GP","M",15,"U","LE3","A",4,4,"health","teacher","other","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,3,5,4,12,12,14
"16","GP","M",15,"U","GT3","T",4,4,"other","teacher","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,1,5,2,11,12,11
"17","GP","F",15,"U","GT3","T",3,3,"at_home","other","course","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,2,1,1,5,3,12,11,13
"18","GP","F",17,"U","GT3","T",2,3,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",5,3,3,1,1,3,1,12,12,13
"19","GP","F",17,"U","GT3","T",3,3,"other","other","home","mother",1,2,0,"yes","yes","no","no","yes","yes","yes","no",4,3,3,1,2,3,4,11,12,13
"20","GP","M",15,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,4,2,1,1,5,2,11,11,13
"21","GP","M",16,"U","LE3","T",4,4,"health","teacher","course","father",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,2,5,1,15,18,12
"22","GP","F",17,"U","GT3","T",3,3,"other","services","course","other",1,3,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,1,4,5,11,11,11
"23","GP","M",18,"U","GT3","A",3,2,"services","services","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",1,3,4,2,4,4,25,11,9,10
"24","GP","F",17,"R","GT3","T",2,2,"at_home","other","course","other",2,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,3,5,15,15,16
"25","GP","M",16,"U","LE3","T",3,3,"teacher","other","home","mother",1,2,0,"yes","no","no","no","yes","yes","yes","no",5,3,3,1,2,5,1,12,12,9
"26","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,2,2,1,1,4,3,15,15,15
"27","GP","F",15,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,3,0,"yes","yes","no","no","yes","yes","yes","yes",4,3,2,1,1,4,3,11,12,12
"28","MS","M",17,"U","GT3","T",2,1,"other","other","course","mother",2,1,2,"no","no","no","yes","yes","no","yes","yes",3,1,4,2,4,1,8,9,8,11
"29","MS","F",17,"R","GT3","T",2,0,"services","services","course","mother",2,2,2,"yes","no","no","no","yes","yes","yes","no",4,3,3,1,1,4,5,9,9,10
"30","MS","F",17,"R","GT3","T",1,0,"at_home","services","course","mother",2,3,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,3,2,15,16,15
"31","MS","M",17,"R","LE3","T",3,2,"services","services","course","mother",2,1,0,"no","no","yes","yes","yes","yes","yes","no",4,5,5,2,5,5,2,9,9,11
"32","MS","F",17,"R","GT3","T",2,1,"at_home","other","course","mother",3,1,1,"no","no","no","yes","no","no","yes","no",4,5,5,1,2,4,1,6,9,10
"33","MS","M",17,"U","GT3","T",2,2,"other","services","other","mother",1,2,3,"no","no","no","no","yes","no","yes","yes",4,2,3,3,5,3,19,6,8,11
"34","GP","M",15,"U","GT3","A",4,4,"health","teacher","course","mother",1,3,0,"no","yes","no","no","yes","yes","yes","no",5,4,2,2,1,5,3,12,12,17
"35","MS","M",17,"U","GT3","T",1,2,"at_home","services","other","other",3,1,0,"no","yes","no","no","yes","yes","yes","no",4,5,4,3,5,5,6,10,11,11
"36","MS","M",18,"R","GT3","T",1,0,"other","services","course","mother",3,1,2,"no","no","no","yes","yes","no","yes","no",4,4,4,3,4,5,6,7,8,10
"37","GP","F",17,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",3,3,3,2,1,1,2,16,18,16
"38","MS","M",17,"U","LE3","T",1,2,"other","services","course","mother",3,1,1,"no","no","no","no","yes","yes","yes","no",4,5,5,3,5,5,6,9,7,10
"39","GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,3,5,3,12,12,11
"40","GP","F",16,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"no","yes","no","no","yes","yes","yes","yes",4,3,2,1,2,1,5,15,15,15
"41","GP","F",17,"U","GT3","T",3,3,"services","other","home","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,4,2,4,4,10,12,12,0
"42","MS","F",16,"R","GT3","T",1,0,"at_home","services","course","mother",2,1,0,"no","yes","no","no","no","yes","no","no",4,3,3,1,2,4,2,10,10,11
"43","GP","F",16,"U","GT3","T",2,2,"at_home","other","course","mother",1,3,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,3,0,15,15,15
"44","GP","M",16,"R","LE3","T",1,3,"other","services","reputation","mother",1,1,0,"no","no","no","yes","yes","yes","no","no",4,5,5,2,4,5,2,9,10,10
"45","GP","M",18,"U","GT3","T",3,3,"services","services","home","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","no",1,3,4,2,4,4,15,11,11,10
"46","GP","M",17,"U","GT3","T",4,3,"health","services","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,3,2,3,4,1,16,16,18
"47","GP","F",17,"U","LE3","T",4,2,"teacher","teacher","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,3,1,15,19,15
"48","GP","F",16,"U","GT3","T",2,3,"other","other","home","mother",1,2,0,"no","no","no","no","no","yes","yes","yes",5,3,3,1,1,3,0,12,12,13
"49","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,4,6,12,11,11
"50","MS","F",16,"R","GT3","T",1,2,"at_home","other","course","other",2,2,2,"no","yes","no","no","yes","yes","no","yes",2,3,3,1,1,4,3,8,8,7
"51","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,5,1,14,14,12
"52","GP","F",17,"U","GT3","T",4,2,"other","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,2,2,3,0,17,16,16
"53","GP","F",18,"U","GT3","T",2,0,"other","other","home","mother",1,2,1,"yes","yes","no","no","yes","yes","no","no",3,3,1,1,1,4,4,9,9,8
"54","MS","F",18,"U","GT3","T",3,1,"other","services","course","mother",1,2,1,"no","yes","no","no","yes","yes","yes","yes",4,3,2,1,2,3,12,6,7,7
"55","MS","M",19,"U","GT3","T",2,2,"other","at_home","course","mother",1,2,3,"no","no","no","yes","yes","no","yes","yes",2,3,3,1,3,4,12,4,7,9
"56","GP","M",15,"U","LE3","T",4,4,"health","teacher","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,1,5,1,12,12,15
"57","GP","F",16,"R","GT3","T",2,2,"at_home","other","reputation","father",2,3,0,"no","yes","no","no","yes","yes","yes","no",4,2,3,1,2,2,3,15,15,15
"58","MS","M",18,"U","GT3","T",3,3,"services","other","home","mother",1,1,3,"no","no","no","no","yes","no","yes","yes",4,3,4,2,5,4,11,7,7,0
"59","MS","F",18,"U","GT3","T",2,2,"at_home","other","other","other",2,2,2,"no","no","no","yes","yes","no","yes","no",2,3,3,1,2,3,12,0,8,10
"60","GP","F",18,"U","GT3","T",2,2,"other","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",4,3,3,1,2,3,1,14,15,17
