"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1","GP","F",16,"U","GT3","T","1","2","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","2","2","2","4",6,12,12,11
"2","GP","M",15,"U","GT3","T","3","3","teacher","teacher","home","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","2","1","2","4",0,12,12,16
"3","GP","F",16,"U","LE3","T","2","1","services","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",0,16,16,15
"4","GP","M",15,"U","GT3","T","3","3","teacher","teacher","reputation","other","1","1","0","no","yes","no","yes","yes","yes","yes","no","5","4","4","1","2","4",1,14,14,17
"5","GP","F",16,"U","LE3","T","1","3","at_home","services","home","other","1","2","0","yes","no","no","no","yes","yes","yes","no","2","2","2","2","2","4",20,10,10,13
"6","GP","F",16,"U","GT3","T","1","2","other","teacher","course","other","2","2","0","yes","yes","no","no","yes","yes","yes","yes","2","2","1","1","2","2",2,10,10,10
"7","GP","F",15,"U","GT3","T","1","3","at_home","teacher","course","other","1","4","0","yes","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",2,10,10,9
"8","GP","F",17,"U","LE3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",2,16,16,17
"9","MS","M",16,"R","LE3","T","3","2","at_home","teacher","course","other","1","1","0","no","no","no","yes","no","yes","yes","no","2","4","4","3","4","4",4,10,10,14
"10","GP","M",16,"U","GT3","T","3","3","teacher","services","course","other","1","2","0","no","yes","no","no","yes","yes","yes","no","4","4","2","1","1","4",1,13,17,16
"11","GP","F",15,"U","GT3","T","3","3","services","teacher","home","other","1","2","0","yes","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",0,12,12,13
"12","GP","F",16,"U","GT3","T","1","0","at_home","teacher","home","other","1","2","0","yes","yes","no","no","yes","yes","yes","no","4","2","4","1","1","2",1,12,12,18
"13","GP","F",15,"U","GT3","T","1","3","services","services","home","other","1","2","0","yes","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",0,12,14,13
"14","GP","M",16,"U","LE3","T","3","3","services","services","course","other","1","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","2","4","4",19,8,10,8
"15","GP","M",16,"U","GT3","T","3","3","teacher","teacher","home","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","4","2","4","4",5,12,12,19
"16","GP","M",15,"U","GT3","T","3","3","teacher","teacher","course","mother","1","2","0","no","yes","yes","yes","yes","yes","yes","yes","4","2","2","1","1","4",1,10,11,11
"17","GP","M",15,"U","GT3","T","3","3","at_home","teacher","home","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",1,10,12,11
"18","GP","F",16,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","2","1","1","4",6,12,12,12
"19","GP","F",16,"U","LE3","A","1","1","other","services","home","other","1","2","0","yes","no","no","no","yes","yes","yes","no","2","2","2","1","1","4",17,10,10,0
"20","GP","F",15,"U","GT3","A","3","1","services","teacher","course","other","1","4","0","yes","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",3,10,10,9
"21","GP","F",16,"U","GT3","T","3","3","teacher","services","course","other","2","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",1,15,16,13
"22","GP","F",15,"U","GT3","T","1","1","at_home","teacher","course","other","1","2","0","yes","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",0,10,10,12
"23","GP","M",16,"U","GT3","T","3","3","at_home","services","course","other","1","1","0","no","yes","no","yes","yes","yes","yes","no","4","2","4","4","4","4",28,4,10,14
"24","GP","F",18,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","yes","no","no","yes","yes","yes","yes","4","2","2","1","2","1",1,12,14,16
"25","GP","M",16,"U","GT3","T","3","3","services","health","home","other","1","2","0","no","no","no","no","yes","yes","yes","no","4","2","2","1","1","4",0,14,13,14
"26","GP","F",15,"U","GT3","T","3","3","services","teacher","reputation","other","1","2","0","yes","yes","no","yes","yes","yes","yes","no","4","2","1","1","1","4",2,12,13,12
"27","GP","F",15,"U","GT3","T","3","3","services","teacher","course","other","1","2","0","yes","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",3,10,10,13
"28","MS","M",18,"U","GT3","T","1","1","at_home","services","course","other","2","1","1","yes","yes","no","yes","no","no","yes","yes","4","2","2","2","4","4",4,6,6,9
"29","MS","F",15,"U","GT3","T","1","1","at_home","services","course","other","2","2","0","no","yes","no","no","yes","yes","no","yes","4","2","2","1","1","2",0,10,10,8
"30","GP","F",16,"U","GT3","T","1","1","at_home","teacher","reputation","other","2","2","0","no","yes","yes","no","yes","yes","yes","no","4","2","2","1","2","4",0,14,15,13
"31","GP","M",16,"U","LE3","T","1","1","services","teacher","home","other","1","1","0","no","no","yes","no","no","yes","yes","no","4","4","4","2","4","4",11,10,10,10
"32","MS","F",16,"R","GT3","T","1","1","services","teacher","course","other","2","1","1","no","yes","no","no","yes","no","no","yes","4","4","4","1","1","4",1,6,8,10
"33","GP","M",18,"U","GT3","A","1","1","services","teacher","course","other","1","2","2","no","yes","no","no","yes","no","yes","yes","1","2","2","2","4","4",16,6,8,6
"34","GP","F",15,"U","GT3","T","1","3","at_home","services","course","other","1","4","0","yes","yes","no","no","yes","yes","yes","no","4","2","2","1","2","4",2,10,10,11
"35","MS","M",18,"R","LE3","T","1","1","at_home","teacher","course","father","2","1","1","no","no","yes","no","yes","no","yes","no","4","4","4","4","4","4",8,8,8,11
"36","MS","M",16,"R","GT3","T","1","1","at_home","services","course","father","2","1","1","no","no","no","no","yes","no","yes","no","4","4","4","2","4","4",1,6,7,7
"37","GP","F",16,"U","GT3","T","3","3","teacher","teacher","home","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","2","2","2","1","2","2",3,16,16,14
"38","GP","M",16,"U","GT3","T","3","3","at_home","teacher","course","other","2","2","0","no","no","no","no","yes","yes","yes","no","4","4","4","4","4","4",8,8,8,10
"39","GP","M",16,"U","GT3","T","3","3","teacher","teacher","course","mother","1","2","0","no","yes","no","yes","yes","yes","yes","yes","4","4","2","2","4","4",0,10,11,8
"40","GP","F",16,"U","GT3","T","3","1","at_home","teacher","home","other","1","2","0","no","yes","no","no","yes","yes","yes","yes","4","2","2","1","2","2",8,14,14,14
"41","GP","F",16,"U","GT3","T","3","3","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","2","2","4","2","2","2",19,12,12,13
"42","GP","F",16,"U","GT3","T","1","1","at_home","teacher","course","other","2","2","0","yes","yes","no","no","yes","yes","yes","no","2","2","2","1","1","4",2,10,10,10
"43","GP","F",16,"U","GT3","T","1","1","at_home","services","reputation","other","1","2","0","no","yes","no","no","yes","yes","yes","yes","4","2","2","1","1","3",0,14,14,7
"44","GP","M",16,"U","GT3","T","1","2","at_home","services","home","other","1","1","0","no","no","no","yes","yes","yes","yes","no","4","4","4","4","4","4",4,10,10,7
"45","GP","M",16,"U","LE3","A","3","3","services","services","course","other","1","1","0","no","no","no","no","yes","yes","no","no","2","4","4","2","4","4",8,8,8,11
"46","GP","F",18,"U","GT3","T","3","3","teacher","teacher","course","other","1","2","0","no","yes","yes","yes","yes","yes","yes","no","4","4","4","1","2","2",1,14,16,16
