"","buying","maint","doors","persons","lug_boot","safety","class"
"1","high","high","4","4","med","high","acc"
"2","high","high","3","more","small","low","unacc"
"3","vhigh","med","2","more","med","low","unacc"
"4","low","med","4","4","small","low","unacc"
"5","low","med","3","4","med","med","acc"
"6","high","high","4","4","med","med","acc"
"7","low","low","5more","more","med","low","unacc"
"8","med","vhigh","3","more","big","med","acc"
"9","med","low","5more","4","med","high","vgood"
"10","med","vhigh","4","more","big","high","acc"
"11","vhigh","high","5more","more","small","med","unacc"
"12","low","low","4","more","small","med","acc"
"13","low","vhigh","2","more","small","med","unacc"
"14","med","high","5more","more","small","med","unacc"
"15","low","vhigh","5more","more","big","low","unacc"
"16","med","med","4","more","big","med","acc"
"17","med","vhigh","4","4","small","med","unacc"
"18","vhigh","med","2","2","med","high","unacc"
"19","vhigh","med","3","4","small","med","unacc"
"20","med","low","4","2","big","low","unacc"
"21","vhigh","med","2","2","small","high","unacc"
"22","vhigh","med","3","4","big","med","acc"
"23","vhigh","med","5more","more","big","high","acc"
"24","low","high","4","4","big","high","vgood"
"25","high","high","2","more","big","med","acc"
"26","high","vhigh","4","2","med","low","unacc"
"27","vhigh","vhigh","2","4","med","high","unacc"
"28","low","med","2","more","med","high","good"
"29","high","high","3","2","small","low","unacc"
"30","vhigh","med","4","2","small","high","unacc"
"31","high","vhigh","2","4","small","high","unacc"
"32","med","low","5more","more","big","high","vgood"
"33","high","high","4","more","small","med","unacc"
"34","high","vhigh","4","more","med","high","unacc"
"35","low","med","3","more","big","med","good"
"36","med","high","4","4","med","med","acc"
"37","med","vhigh","4","4","big","med","acc"
"38","vhigh","med","3","2","med","high","unacc"
"39","high","med","3","2","big","low","unacc"
"40","vhigh","vhigh","2","2","big","med","unacc"
"41","med","low","5more","2","med","low","unacc"
"42","low","low","3","more","med","high","vgood"
"43","low","low","3","more","small","high","good"
"44","high","high","3","4","small","med","unacc"
"45","vhigh","med","3","4","med","low","unacc"
"46","high","low","3","4","big","low","unacc"
"47","high","vhigh","2","4","big","low","unacc"
"48","vhigh","med","2","4","small","med","unacc"
"49","high","vhigh","4","2","med","high","unacc"
"50","med","low","2","more","big","high","vgood"
"51","high","vhigh","3","more","med","low","unacc"
"52","med","vhigh","4","2","big","med","unacc"
"53","vhigh","vhigh","2","2","big","high","unacc"
"54","vhigh","med","4","4","big","high","acc"
"55","high","med","5more","2","med","high","unacc"
"56","med","vhigh","4","2","small","med","unacc"
"57","low","low","4","4","med","low","unacc"
"58","low","vhigh","4","2","small","low","unacc"
"59","low","high","2","4","med","high","acc"
"60","vhigh","low","2","2","med","low","unacc"
"61","high","vhigh","3","2","med","med","unacc"
"62","low","low","2","more","med","med","acc"
"63","low","med","5more","2","small","med","unacc"
"64","med","vhigh","5more","2","big","high","unacc"
"65","high","vhigh","5more","2","med","low","unacc"
"66","vhigh","med","5more","2","big","high","unacc"
"67","vhigh","high","5more","4","med","high","unacc"
"68","high","med","3","2","small","low","unacc"
"69","low","med","4","2","med","low","unacc"
"70","med","med","2","4","med","high","acc"
"71","high","med","2","4","big","low","unacc"
"72","med","low","4","2","small","high","unacc"
"73","high","vhigh","5more","4","big","med","unacc"
"74","low","vhigh","2","2","big","high","unacc"
"75","low","med","2","4","med","high","good"
"76","low","high","5more","more","med","high","vgood"
"77","low","med","4","2","big","low","unacc"
"78","vhigh","vhigh","5more","2","big","high","unacc"
"79","med","vhigh","4","4","med","low","unacc"
"80","low","med","3","more","med","low","unacc"
"81","low","low","4","4","med","high","vgood"
"82","high","vhigh","5more","4","big","high","unacc"
"83","med","vhigh","2","2","small","high","unacc"
"84","low","vhigh","2","2","big","med","unacc"
"85","low","vhigh","2","more","med","low","unacc"
"86","vhigh","high","3","2","med","med","unacc"
"87","high","vhigh","4","2","small","med","unacc"
"88","vhigh","med","3","4","small","high","acc"
"89","vhigh","high","5more","more","med","med","unacc"
"90","vhigh","low","2","4","med","low","unacc"
"91","low","vhigh","2","more","small","high","unacc"
"92","low","vhigh","2","more","med","high","acc"
"93","low","low","3","2","big","low","unacc"
"94","med","vhigh","5more","4","big","high","acc"
