"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"1","GP","F",15.4688229437452,"U","LE3","T",1.22174038435332,1.18606324749999,"at_home","other","other","mother",1.34032391419169,1.62500160885975,0.198909789323807,"yes","no","no","no","yes","yes","yes","no",4.10914293397218,2.57123511913233,1.8009716469096,1.86212576401886,2.87870773382019,3.47166447108611,5.63401373149827,11.6376127289841,12.7319718862418,11.987551604514
"2","GP","M",15.2299166676821,"U","LE3","T",3.59883497806732,3.70789038483053,"health","services","course","father",1.14754909020849,1.30222938943189,0.466057711164467,"no","yes","no","yes","yes","yes","yes","no",3.56190282199532,2.93500881805085,2.79663233319297,1.48301332176197,2.93473047344014,4.60392187885009,0.249806425650604,11.6009393159766,12.5214444139274,12.3599356515333
"3","GP","F",15.9251479802188,"U","GT3","T",2.90944468951784,2.86376768734772,"other","other","reputation","mother",2.51533966790885,1.88964858860709,0.141661122092046,"yes","yes","no","yes","yes","yes","no","no",4.60528601810802,2.63299378659576,1.89263467362616,1.02677417011,1.10246588825248,4.14996749721467,1.97442722436972,12.78934849496,13.9063971958822,13.8058778345585
"4","GP","M",15.5721483679954,"U","LE3","T",3.65489695291035,1.87781564518809,"teacher","other","course","mother",1.44416660361458,2.40825860388577,0.194783316343091,"no","no","no","yes","yes","yes","yes","no",4.05333691556007,4.64496800582856,1.35525289771613,1.12199670891277,3.29966888902709,4.87747591675725,0.0848494123201817,11.9741273755208,12.8290703782113,13.7352027238812
"5","GP","F",15.5712928074645,"U","GT3","T",1.82218840846326,1.55249900801573,"services","services","home","mother",1.29241849924438,1.46876005607191,0.018879359238781,"no","yes","no","no","no","yes","yes","no",1.25014516606461,1.85573226993438,1.98553815856576,1.16431124228984,2.88588016782887,4.68626931216568,5.85366175044328,9.94976148381829,10.9004361601546,11.8682129166555
"6","GP","F",15.5694519472308,"U","LE3","T",1.8772692696657,1.64172422338743,"other","other","home","mother",2.22370703914203,1.62072947819252,0.0445285235764459,"no","yes","no","yes","no","yes","yes","yes",2.6311472725356,2.68350642302539,3.42927737883292,1.03257938916795,1.71924204577226,3.40789693128318,15.5043171687284,10.5547982824501,10.9242941798875,10.479287723545
"7","GP","M",15.3418583044549,"U","GT3","T",1.94308810145594,1.98068749194499,"services","services","course","father",1.48138993524481,1.49099062709138,0.445196818443947,"yes","yes","no","no","yes","yes","yes","no",4.95165651617572,3.59464820777066,1.12994220945984,1.35159726766869,1.26064222631976,1.02629654714838,0.0721837362507358,8.97478391765617,10.1408383126836,9.9936225542333
"8","GP","F",15.0819800392492,"U","LE3","T",3.56721341679804,1.79448057315312,"health","other","other","mother",1.35548886179458,2.48548969253898,0.155022622318938,"no","yes","no","no","yes","yes","yes","no",3.91342129837722,2.75148265459575,2.9720145839965,1.18475691380445,1.18931040342432,4.78944603935815,0.497190299094655,15.7865977392066,13.847702739411,15.5670424406417
"9","GP","M",15.2246487105731,"U","LE3","A",3.61729141150136,1.64898427471053,"health","health","other","father",1.59706481872126,1.3464871813776,0.286587983835489,"no","no","no","no","yes","yes","no","no",4.71501152170822,4.53523264022078,4.86854344257154,2.69209765759297,3.53946549037937,4.69100268243346,3.84006253618281,9.73579837195575,9.39030476938933,8.74351257178932
"10","GP","M",15.3843528280267,"U","GT3","T",3.89513086236548,3.52515001525171,"teacher","health","reputation","mother",1.32402219157666,1.51099778991193,0.210329913184978,"no","yes","no","yes","yes","yes","no","no",3.02344968705438,1.88067684695125,1.68423462531064,1.29519542062189,1.20114023808856,4.87141698552296,7.68923321575858,14.8697805614211,14.5116183154751,15.6806641492294
