"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Gentoo","Dream",54,19.1,188,3946,"female",2008
"2","Gentoo","Dream",55,18.2,188,3297,"female",2008
"3","Adelie","Biscoe",35.3,17.2,224,5675,"female",2008
"4","Gentoo","Torgersen",53.9,21.2,188,3019,"female",2008
"5","Gentoo","Torgersen",35,17.4,205,5325,"female",2008
"6","Gentoo","Torgersen",54.2,21.3,188,3194,"female",2008
"7","Gentoo","Torgersen",54.8,19,188,3203,"female",2008
"8","Gentoo","Torgersen",41.6,20,194,3850,"female",2008
"9","Gentoo","Torgersen",48.6,21.2,188,2986,"female",2008
"10","Gentoo","Torgersen",54.2,19,188,3509,"female",2008
"11","Gentoo","Biscoe",41.8,19,202,5275,"female",2008
"12","Gentoo","Torgersen",41.6,21.1,188,3850,"female",2008
"13","Gentoo","Torgersen",41.4,19,188,3850,"female",2008
"14","Gentoo","Dream",37.2,18.3,186,3850,"female",2008
"15","Gentoo","Torgersen",41.4,19.7,195,3850,"female",2008
"16","Gentoo","Torgersen",54.9,19,204,3189,"female",2008
"17","Gentoo","Torgersen",53.9,19.4,188,3062,"female",2008
"18","Gentoo","Torgersen",54.3,19,188,3362,"female",2008
"19","Adelie","Biscoe",35.3,17.3,224,5675,"female",2008
"20","Gentoo","Dream",54.6,18.2,188,3314,"female",2008
"21","Gentoo","Torgersen",54.9,21.4,188,3033,"female",2008
"22","Adelie","Biscoe",34.8,17.3,224,5675,"female",2008
"23","Gentoo","Torgersen",43.4,19,220,3850,"female",2008
"24","Gentoo","Torgersen",41.5,19.4,188,3850,"female",2008
"25","Gentoo","Torgersen",37.5,19.4,186,3850,"female",2008
"26","Gentoo","Torgersen",54.8,19,204,3211,"female",2008
"27","Gentoo","Torgersen",54.2,19.1,188,3926,"female",2008
"28","Gentoo","Torgersen",54.5,19,188,3362,"female",2008
"29","Gentoo","Torgersen",43.4,21,222,3850,"female",2008
"30","Gentoo","Torgersen",53.9,19.1,188,3007,"female",2008
"31","Gentoo","Torgersen",48.6,18.2,186,3488,"female",2008
"32","Adelie","Dream",36.2,15.4,230,5525,"female",2008
"33","Adelie","Biscoe",35.3,16.4,226,5525,"female",2008
"34","Adelie","Dream",41.2,14.6,179,4833,"female",2008
"35","Chinstrap","Dream",50.4,21,196,2902,"female",2008
"36","Adelie","Torgersen",34.8,20.2,224,4534,"female",2008
"37","Adelie","Torgersen",41.3,13.3,228,4925,"female",2008
"38","Gentoo","Biscoe",42,15.4,230,5275,"female",2008
"39","Gentoo","Biscoe",42,16.4,214,5900,"female",2008
"40","Adelie","Dream",51.1,16,179,2907,"female",2008
"41","Adelie","Torgersen",42.2,14.9,228,4388,"female",2008
"42","Chinstrap","Dream",50.4,21,196,2907,"female",2008
"43","Gentoo","Torgersen",34.7,15.2,202,4450,"female",2008
"44","Adelie","Torgersen",34.5,20,224,4528,"female",2008
"45","Gentoo","Torgersen",34.6,15.1,202,4450,"female",2008
"46","Adelie","Biscoe",34.8,15.4,231,5325,"female",2008
"47","Adelie","Dream",35.3,16.4,206,5675,"female",2008
"48","Adelie","Torgersen",34.6,20.4,224,4528,"female",2008
"49","Adelie","Biscoe",40.8,13.6,205,5275,"female",2008
"50","Adelie","Dream",36.2,15.4,230,5525,"female",2008
"51","Adelie","Dream",41.2,15.8,191,4972,"female",2008
"52","Gentoo","Biscoe",42,16.4,214,5900,"female",2008
"53","Adelie","Biscoe",34.6,14.8,230,5275,"female",2008
"54","Adelie","Dream",41.2,15.8,174,5200,"female",2008
"55","Adelie","Dream",38.6,13.6,203,5325,"female",2008
"56","Chinstrap","Biscoe",40.8,17.4,208,5825,"female",2008
"57","Gentoo","Torgersen",48.6,21.5,188,2998,"female",2008
"58","Gentoo","Torgersen",48.6,21.2,186,2916,"female",2008
"59","Gentoo","Torgersen",52,21,188,3002,"female",2008
"60","Gentoo","Torgersen",48.6,21.5,188,2992,"female",2008
"61","Gentoo","Torgersen",51.2,21.2,174,3172,"female",2008
"62","Gentoo","Torgersen",48.6,21,188,3488,"female",2008
"63","Adelie","Biscoe",38.9,17.4,212,5825,"female",2008
"64","Gentoo","Torgersen",48.8,21,174,2955,"female",2008
"65","Gentoo","Torgersen",48.8,21,174,2915,"female",2008
"66","Gentoo","Torgersen",49,21,188,3050,"female",2008
"67","Gentoo","Torgersen",52,21,187,2920,"female",2008
