"","y","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"1054",1,"I",0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
"4149",1,"M",0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
"3471",1,"M",0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
"1141",1,"M",0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
"1723",1,"F",0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9
"345",1,"F",0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
"2286",1,"I",0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9
"3179",1,"M",0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
"2385",1,"F",0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
"3192",1,"M",0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
"2665",1,"F",0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,9
"1439",1,"I",0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
"3011",1,"I",0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6
"2622",1,"M",0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
"327",1,"I",0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
"2831",1,"F",0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
"3307",1,"I",0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10
"2545",1,"F",0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10
"3119",1,"M",0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
"1211",1,"I",0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
"1361",1,"I",0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11
"2917",1,"M",0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
"4177",1,"M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
"298",1,"I",0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
"195",1,"F",0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
"1473",1,"F",0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
"2014",1,"M",0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
"1026",1,"M",0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
"405",1,"I",0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
"1871",1,"I",0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
"843",1,"M",0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
"2189",1,"M",0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
"3526",1,"I",0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
"406",1,"F",0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
"2966",1,"M",0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,9
"1679",1,"I",0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
"3026",1,"I",0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
"590",1,"F",0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
"3594",1,"F",0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
"3645",1,"I",0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
"3691",1,"M",0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
"2535",1,"M",0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
"3220",1,"M",0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
"2202",1,"F",0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
"2341",1,"F",0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11
"3557",1,"I",0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
"1696",1,"F",0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
"3544",1,"I",0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
"2337",1,"F",0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
"2855",1,"F",0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
"146",1,"F",0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
"420",1,"M",0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
"869",1,"F",0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
"2065",1,"M",0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
"1372",1,"M",0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
