age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,label
28, Private,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K
30, State-gov,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
23, Private,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
25, Self-emp-not-inc,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
48, Private,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
48, Self-emp-not-inc,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
18, Private,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?, <=50K
47, Private,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K
50, Federal-gov,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
47, Self-emp-inc,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
41, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
30, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
42, Private,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
29, Private,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
19, Private,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
29, Self-emp-not-inc,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
79, Private,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
59, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
44, Private,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K
33, Private,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
34, Local-gov,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
32, Federal-gov,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
17, ?,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States, <=50K
28, Private,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States, <=50K
22, Private,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K
21, Private,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
20, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K
70, Private,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
22, Private,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
52, ?,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States, >50K
34, Private,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Federal-gov,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
34, Private,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
53, ?,13, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States, <=50K
24, Private,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
41, Federal-gov,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
40, Federal-gov,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
42, Local-gov,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K
17, Private,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
60, Private,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
50, Private,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
