"","V1","V2","V3","V4","Class"
"1",3.6216,8.6661,-2.8073,-0.44699,1
"7",3.5912,3.0129,0.72888,0.56421,1
"10",1.5356,9.1772,-2.2718,-0.73535,1
"39",4.5679,3.1929,-2.1055,0.29653,1
"44",0.96441,5.8395,2.3235,0.066365,1
"48",-0.7869,9.5663,-3.7867,-7.5034,1
"51",4.3239,-4.8835,3.4356,-0.5776,1
"52",5.262,3.9834,-1.5572,1.0103,1
"55",4.9264,5.496,-2.4774,-0.50648,1
"61",2.888,0.44696,4.5907,-0.24398,1
"64",1.7939,-1.1174,1.5454,-0.26079,1
"78",0.049175,6.1437,1.7828,-0.72113,1
"79",0.24835,7.6439,0.9885,-0.87371,1
"84",1.8664,7.7763,-0.23849,-2.9634,1
"85",3.245,6.63,-0.63435,0.86937,1
"88",0.87603,6.8141,0.84198,-0.17156,1
"89",4.1197,-2.7956,2.0707,0.67412,1
"91",1.4806,7.6377,-2.7876,-1.0341,1
"94",2.4486,-6.3175,7.9632,0.20602,1
"107",2.3136,10.6651,-3.5288,-4.7672,1
"108",-1.8584,7.886,-1.6643,-1.8384,1
"116",2.5331,2.9135,-0.822,-0.12243,1
"118",2.108,6.7955,-0.1708,0.4905,1
"125",-0.91718,9.9884,1.1804,-5.2263,1
"128",3.7818,-2.8846,2.2558,-0.15734,1
"131",3.2697,-4.3414,3.6884,-0.29829,1
"132",5.1302,8.6703,-2.8913,-1.5086,1
"136",4.1605,11.2196,-3.6136,-4.0819,1
"138",5.032,8.2026,-2.6256,-1.0341,1
"140",-0.2062,9.2207,-3.7044,-6.8103,1
"145",3.8481,10.1539,-3.8561,-4.2228,1
"161",5.0452,3.8964,-1.4304,0.86291,1
"167",1.1166,8.6496,-0.96252,-1.8112,1
"172",4.0552,-2.4583,2.2806,1.0323,1
"173",-1.6952,1.0657,8.8294,0.94955,1
"176",3.583,-3.7971,3.4391,-0.12501,1
"180",2.3925,9.798,-3.0361,-2.8224,1
"182",-0.11783,-1.5789,8.03,-0.028031,1
"184",2.9421,7.4101,-0.97709,-0.88406,1
"189",4.5645,-3.6275,2.8684,0.27714,1
"209",2.1059,7.6046,-0.47755,-1.8461,1
"210",2.1721,-0.73874,5.4672,-0.72371,1
"219",-0.16735,7.6274,1.2061,-3.6241,1
"220",-1.3,10.2678,-2.953,-5.8638,1
"224",4.6464,10.5326,-4.5852,-4.206,1
"226",1.3562,3.2136,4.3465,0.78662,1
"231",-1.3389,1.552,7.0806,1.031,1
"233",2.2596,-0.033118,4.7355,-0.2776,1
"236",2.0466,2.03,2.1761,-0.083634,1
"239",3.9994,0.90427,1.1693,1.6892,1
"246",4.2134,-2.806,2.0116,0.67412,1
"252",0.57461,10.1105,-1.6917,-4.3922,1
"254",5.2868,3.257,-1.3721,1.1668,1
"258",2.2034,5.9947,0.53009,0.84998,1
"260",3.0329,2.2948,2.1135,0.35084,1
"261",3.7731,7.2073,-1.6814,-0.94742,1
"262",3.1557,2.8908,0.59693,0.79825,1
"268",3.8496,9.7939,-4.1508,-4.4582,1
"269",0.9297,-3.7971,4.6429,-0.2957,1
"274",2.6946,6.7976,-0.40301,0.44912,1
"277",4.052,-0.16555,0.45383,0.51248,1
"279",0.89566,7.7763,-2.7473,-1.9353,1
"280",1.9265,7.7557,-0.16823,-3.0771,1
"281",0.20977,-0.46146,7.7267,0.90946,1
"298",1.2706,8.035,-0.19651,-2.1888,1
"301",0.3292,-4.4552,4.5718,-0.9888,1
"307",0.27451,9.2186,-3.2863,-4.8448,1
"308",1.6032,-4.7863,8.5193,-2.1203,1
"309",4.616,10.1788,-4.2185,-4.4245,1
"315",1.1811,8.3847,-2.0567,-0.90345,1
"321",0.5195,-3.2633,3.0895,-0.9849,1
"327",-0.16108,-6.4624,8.3573,-1.5216,1
"330",1.6988,2.9094,2.9044,0.11033,1
"335",3.9294,1.4112,1.8076,0.89782,1
"336",3.4667,-4.0724,4.2882,1.5418,1
"338",1.0191,2.33,4.9334,0.82929,1
"341",4.9923,7.8653,-2.3515,-0.71984,1
"362",3.3848,3.2674,0.90967,0.25128,1
"363",1.7452,4.8028,2.0878,0.62627,1
"364",2.805,0.57732,1.3424,1.2133,1
"365",5.7823,5.5788,-2.4089,-0.056479,1
"375",-1.5055,0.070346,6.8681,-0.50648,1
"379",2.8523,9.0096,-3.761,-3.3371,1
"380",4.2772,2.4955,0.48554,0.36119,1
"387",-2.4953,11.1472,1.9353,-3.4638,1
"389",-2.2527,11.5321,2.5899,-3.2737,1
"396",1.2616,4.4303,-1.3335,-1.7517,1
"404",3.0864,-2.5845,2.2309,0.30947,1
"410",0.64295,7.1018,0.3493,-0.41337,1
"416",3.8023,-3.8696,4.044,0.95343,1
"420",1.9572,-5.1153,8.6127,-1.4297,1
"433",5.1776,8.2316,-3.2511,-1.5694,1
"445",1.3349,6.1189,0.46497,0.49826,1
"447",2.4527,2.9653,0.20021,-0.056479,1
"448",3.9121,2.9735,0.92852,0.60558,1
"461",0.96574,8.393,-1.361,-1.4659,1
"462",3.0948,8.7324,-2.9007,-0.96682,1
"474",2.8209,7.3108,-0.81857,-1.8784,1
"479",-1.7781,0.8546,7.1303,0.027572,1
"482",2.8261,9.4007,-3.3034,-1.0509,1
"488",3.4776,8.811,-3.1886,-0.92285,1
"493",-1.8411,10.8306,2.769,-3.0901,1
"494",2.8084,11.3045,-3.3394,-4.4194,1
"503",2.0051,-6.8638,8.132,-0.2401,1
"509",5.0617,-0.35799,0.44698,0.99868,1
"510",-0.2951,9.0489,-0.52725,-2.0789,1
"518",1.762,4.3682,2.1384,0.75429,1
"522",0.81356,9.1566,-2.1492,-4.1814,1
"536",1.9476,-4.7738,8.527,-1.8668,1
"540",4.2475,1.4816,-0.48355,0.95343,1
"545",4.2458,1.1981,0.66633,0.94696,1
"546",4.1038,-4.8069,3.3491,-0.49225,1
"559",4.3846,-4.8794,3.3662,-0.029324,1
"561",4.0446,11.1741,-4.3582,-4.7401,1
"562",-0.33729,-0.64976,7.6659,0.72326,1
"563",-2.4604,12.7302,0.91738,-7.6418,1
"576",2.6104,8.0081,-0.23592,-1.7608,1
"577",0.32444,10.067,-1.1982,-4.1284,1
"581",4.7072,8.2957,-2.5605,-1.4905,1
"584",2.3678,-6.839,8.4207,-0.44829,1
"598",5.6084,10.3009,-4.8003,-4.3534,1
"599",1.105,7.4432,0.41099,-3.0332,1
"601",1.1558,6.4003,1.5506,0.6961,1
"603",2.7831,10.9796,-3.557,-4.4039,1
"614",4.9249,0.68906,0.77344,1.2095,1
"615",2.5089,6.841,-0.029423,0.44912,1
"619",1.8592,3.2074,-0.15966,-0.26208,1
"628",2.0153,0.43661,4.5864,-0.3151,1
"637",2.1526,-6.1665,8.0831,-0.34355,1
"638",3.3004,7.0811,-1.3258,0.22283,1
"653",4.6439,-3.3729,2.5976,0.55257,1
