"","y","buying","maint","doors","persons","lug_boot","safety","class"
"597",1,"high","med","5more","more","big","low","unacc"
"1202",1,"high","vhigh","5more","more","small","high","unacc"
"1054",1,"high","low","2","2","big","med","unacc"
"53",1,"med","med","5more","more","med","med","acc"
"1423",1,"low","high","5more","2","big","med","unacc"
"1422",1,"low","high","2","2","big","med","unacc"
"527",1,"vhigh","med","3","4","big","high","acc"
"504",1,"vhigh","vhigh","2","4","big","low","unacc"
"1221",1,"low","low","2","2","big","low","unacc"
"1700",1,"med","med","3","4","big","med","acc"
"1141",1,"high","low","5more","more","big","med","acc"
"696",1,"high","vhigh","3","4","med","low","unacc"
"861",1,"med","low","5more","2","big","high","unacc"
"294",1,"med","high","2","4","small","med","unacc"
"1481",1,"med","low","4","more","big","high","vgood"
"345",1,"low","med","3","more","small","high","good"
"1671",1,"high","low","3","more","big","high","acc"
"133",1,"low","high","5more","more","big","med","acc"
"238",1,"high","med","3","2","med","low","unacc"
"1131",1,"high","vhigh","2","more","big","low","unacc"
"337",1,"vhigh","vhigh","3","2","med","med","unacc"
"1025",1,"high","vhigh","5more","2","big","high","unacc"
"1144",1,"low","high","2","4","med","low","unacc"
"617",1,"low","med","2","more","big","low","unacc"
"922",1,"low","vhigh","5more","2","med","high","unacc"
"1439",1,"low","med","2","4","med","low","unacc"
"1099",1,"med","high","3","more","big","low","unacc"
"963",1,"low","low","5more","more","small","low","unacc"
"574",1,"low","low","3","2","big","high","unacc"
"865",1,"vhigh","vhigh","5more","4","big","med","unacc"
"327",1,"med","med","5more","4","big","med","acc"
"153",1,"vhigh","vhigh","2","more","med","high","unacc"
"783",1,"vhigh","low","3","4","small","med","unacc"
"1058",1,"low","vhigh","3","4","small","high","acc"
"1259",1,"low","vhigh","3","more","big","high","acc"
"471",1,"med","med","2","more","small","med","unacc"
"497",1,"vhigh","low","3","more","big","high","acc"
"227",1,"med","med","4","4","big","med","acc"
"1071",1,"low","low","2","4","big","high","vgood"
"106",1,"high","high","2","more","small","med","unacc"
"1211",1,"vhigh","med","3","more","med","high","acc"
"1361",1,"high","med","4","more","small","high","acc"
"234",1,"low","med","3","4","small","high","good"
"475",1,"low","med","2","4","small","med","acc"
"528",1,"med","high","2","more","big","low","unacc"
"564",1,"vhigh","high","3","4","med","high","unacc"
"745",1,"low","high","3","2","med","high","unacc"
"869",1,"med","low","2","more","small","med","unacc"
"806",1,"low","med","2","more","small","low","unacc"
"1726",1,"vhigh","high","3","more","med","high","unacc"
"298",1,"high","med","3","more","big","high","acc"
"195",1,"vhigh","vhigh","2","4","med","med","unacc"
"945",1,"low","high","2","2","small","high","unacc"
"1473",1,"low","low","4","4","small","high","good"
