"","y","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"7452",1,659,"France","Male",20,8,0,2,0,0,112572.02,0
"8016",1,638,"Germany","Female",26,1,105249.76,2,1,1,23491.09,0
"7162",1,690,"France","Female",36,6,110480.48,1,0,0,81292.33,0
"8086",1,794,"France","Male",33,0,0,2,0,0,178122.71,0
"7269",1,606,"Germany","Female",27,6,172310.33,1,0,1,111448.92,0
"9196",1,529,"Germany","Male",29,4,135759.4,1,0,0,112813.79,1
"623",1,535,"Germany","Female",53,5,141616.55,2,1,1,75888.65,0
"934",1,512,"Spain","Male",36,1,0,1,0,1,135482.26,1
"2948",1,774,"France","Male",36,7,103688.19,1,0,1,118971.74,0
"2146",1,633,"Spain","Male",33,4,137847.41,2,1,0,98349.13,0
"2774",1,559,"France","Male",29,1,0,2,0,0,155639.76,0
"5722",1,696,"Germany","Male",49,5,97036.22,2,1,0,152450.84,1
"2374",1,616,"France","Male",31,3,94263.91,2,1,0,168895.06,0
"1103",1,432,"Spain","Male",38,7,0,2,1,0,150580.88,0
"4366",1,501,"France","Female",40,2,0,2,0,0,141946.92,0
"3454",1,619,"Germany","Male",40,9,103604.31,2,0,0,140947.05,0
"2622",1,551,"France","Female",36,5,0,1,1,0,183479.12,0
"3972",1,685,"Spain","Male",40,7,74896.92,1,1,0,198694.2,0
"1685",1,613,"France","Female",24,7,140453.91,1,1,0,129001.3,0
"5332",1,637,"Germany","Female",46,2,143500.82,1,1,0,166996.46,1
"3000",1,525,"France","Male",33,1,112833.35,1,0,1,175178.56,0
"996",1,610,"Spain","Male",29,9,0,3,0,1,83912.24,0
"3583",1,686,"France","Male",35,4,0,1,1,0,8816.37,0
"479",1,569,"France","Male",38,7,0,1,1,1,108469.2,0
"634",1,540,"Germany","Male",44,3,164113.04,2,1,1,12120.79,0
"578",1,755,"France","Male",30,4,123217.66,2,0,1,144183.1,0
"3759",1,514,"France","Male",38,4,112230.38,1,1,0,16717.11,1
"3496",1,591,"Germany","Male",46,4,129269.27,1,1,0,163504.33,0
