"","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"2",608,"Spain","Female",41,1,83807.86,1,0,1,112542.58,0
"4",699,"France","Female",39,1,0,2,0,0,93826.63,0
"7",822,"France","Male",50,7,0,2,1,1,10062.8,0
"8",376,"Germany","Female",29,4,115046.74,4,1,0,119346.88,1
"13",476,"France","Female",34,10,0,2,1,0,26260.98,0
"19",587,"Spain","Male",45,6,0,1,0,0,158684.81,0
"21",732,"France","Male",41,8,0,2,1,1,170886.17,0
"32",533,"France","Male",36,7,85311.7,1,0,1,156731.91,0
"39",850,"France","Male",36,7,0,1,1,1,40812.9,0
"45",660,"Spain","Female",61,5,155931.11,1,1,1,158338.39,0
"46",776,"Germany","Female",32,4,109421.13,2,1,1,126517.46,0
"53",788,"France","Female",33,5,0,2,0,0,116978.19,0
"54",655,"Germany","Male",41,8,125561.97,1,0,0,164040.94,1
"55",601,"Germany","Male",42,1,98495.72,1,1,0,40014.76,1
"70",675,"France","Female",21,8,98373.26,1,1,0,18203,0
"71",738,"Germany","Male",58,2,133745.44,4,1,0,28373.86,1
"82",777,"France","Female",32,2,0,1,1,0,136458.19,1
"83",543,"France","Female",36,3,0,2,0,0,26019.59,0
"85",493,"France","Female",46,4,0,2,1,0,1907.66,0
"88",729,"France","Male",30,9,0,2,1,0,151869.35,0
"89",646,"France","Female",46,4,0,3,1,0,93251.42,1
"90",635,"Germany","Female",28,3,81623.67,2,1,1,156791.36,0
"92",808,"France","Male",45,7,118626.55,2,1,0,147132.46,0
"93",524,"France","Female",36,10,0,2,1,0,109614.57,0
"97",773,"Spain","Male",41,9,102827.44,1,0,1,64595.25,0
"100",413,"France","Male",34,9,0,2,0,0,6534.18,0
"104",528,"Spain","Male",36,7,0,2,1,0,60536.56,0
"105",670,"Spain","Female",65,1,0,1,1,1,177655.68,1
"108",785,"Germany","Female",36,2,99806.85,1,0,1,36976.52,0
"112",538,"Germany","Male",39,7,108055.1,2,1,0,27231.26,0
"114",675,"Spain","Male",36,9,106190.55,1,0,1,22994.32,0
"115",721,"Germany","Male",28,9,154475.54,2,0,1,101300.94,1
"127",549,"France","Female",52,1,0,1,0,1,8636.05,1
"128",625,"Germany","Male",56,0,148507.24,1,1,0,46824.08,1
"135",789,"Germany","Male",39,7,124828.46,2,1,1,124411.08,0
"142",663,"France","Male",34,7,0,2,1,1,180427.24,0
"149",735,"France","Male",44,9,120681.63,1,1,0,74836.34,0
"151",754,"Spain","Female",32,7,0,2,1,0,89520.75,0
"162",684,"France","Male",30,2,0,2,1,0,83473.82,0
"169",667,"Spain","Female",39,2,0,2,1,0,40721.24,1
"171",484,"France","Female",29,4,130114.39,1,1,0,164017.89,0
"177",510,"France","Female",30,0,0,2,1,1,130553.47,0
"184",636,"France","Male",42,2,0,2,1,1,55470.78,0
"188",525,"Spain","Female",37,0,0,1,0,1,131521.72,0
"196",807,"France","Male",35,3,174790.15,1,1,1,600.36,0
"197",616,"Spain","Female",32,6,0,2,1,1,43001.46,0
"209",643,"France","Male",45,5,0,1,1,0,142513.5,1
"213",620,"France","Female",41,9,0,2,0,0,88852.47,0
"222",514,"Spain","Male",30,7,0,1,0,1,125010.24,0
"223",567,"France","Male",42,2,0,2,1,1,167984.61,0
"227",694,"France","Female",30,9,0,2,1,1,26960.31,0
"232",610,"France","Male",40,0,0,2,1,0,62232.6,0
"241",662,"Spain","Male",38,4,0,2,1,0,136259.65,0
"259",693,"France","Female",30,6,127992.25,1,1,1,50457.2,0
"261",732,"Germany","Male",42,9,108748.08,2,1,1,65323.11,0
"271",650,"Spain","Male",41,9,0,2,0,1,191599.67,0
"275",712,"Germany","Male",28,4,145605.44,1,0,1,93883.53,0
"276",706,"Spain","Female",37,7,0,2,1,1,110899.3,0
"283",479,"Germany","Male",35,4,138718.92,1,1,1,47251.79,1
"285",799,"France","Female",22,8,174185.98,2,0,1,192633.85,0
"286",675,"France","Male",40,7,113208.86,2,1,0,34577.36,0
"287",602,"Spain","Male",29,5,103907.28,1,1,0,161229.84,0
