"","y","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"6604",1,0.01064057,74,0,0.38456173,4300,5,0,1,0,0,0
"16589",1,0.9045677,49,2,2.158907165,3586,16,0,6,0,0,1
"1882",1,0.855325787,61,0,0.269613948,6423,7,0,0,0,3,0
"3647",1,0.271996769,40,0,0.84376157,2700,17,0,1,0,0,0
"8019",1,0.003498936,71,0,0.163334591,2650,5,0,0,0,0,0
"8390",1,0.402345742,37,0,0.337622356,12667,16,0,2,0,3,1
"10029",1,1.13672496,26,1,0.040937997,2515,2,1,0,1,0,1
"14603",1,1.006605963,40,4,0.226930838,5450,13,0,0,1,2,1
"9488",1,0.844942589,71,2,0.950508249,6000,16,2,1,0,0,1
"14797",1,0.002649516,35,0,0.697808535,2600,8,0,1,0,0,1
"12306",1,0.903413822,59,1,0.031408308,986,3,1,0,0,0,1
"9445",1,0.88372093,39,2,0.405921681,4187,9,0,1,0,0,1
"15586",1,0.488430511,37,0,0.678939851,6300,13,0,2,0,3,1
"5010",1,0.000535695,40,0,0.350516609,9000,6,0,2,0,2,0
"7726",1,0.013501466,75,0,0.014163716,4800,12,0,0,0,0,0
"2885",1,0.028448724,65,0,0.233204633,5179,11,0,1,0,1,0
"1544",1,0.310304933,51,0,0.239269092,5800,11,0,1,0,0,0
"12569",1,1.163210807,60,2,0.239082785,5930,8,1,1,1,0,1
"4538",1,0.058519029,84,1,0.340531894,5000,28,0,2,0,0,0
"12274",1,0.965654555,46,1,0.370822708,7450,10,1,1,1,2,1
"16001",1,0.98579572,39,0,0.261530259,3750,5,0,0,1,0,1
"13311",1,0.9999999,35,2,0.109341728,10800,8,2,0,0,0,1
"7998",1,0.041399781,67,0,0.194421657,7313,9,0,2,0,2,0
"8801",1,0.950161405,28,0,1.398000909,2200,11,0,2,0,0,1
"16292",1,0.963398376,43,2,0.128436839,5200,6,1,0,1,2,1
"11378",1,0.601297037,47,0,0.312319538,6233,8,0,1,0,2,1
"3224",1,0.202325338,37,0,0.555806088,2660,17,0,0,0,0,0
