"","Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","Class"
"2",28734,638.018,200.524795663648,182.734419351024,1.09735646068106,0.41178525136724,29172,191.272750485845,0.783968132707629,0.984985602632661,0.887033636552887,0.953860842260513,0.00697865927694188,0.00356362371210096,0.909850506397935,0.998430331449707,"SEKER"
"4",30008,645.884,210.557998960925,182.516515695305,1.15363805932189,0.498615976402717,30724,195.467061824781,0.782681272822118,0.97669574274183,0.903936374317338,0.928328834759944,0.00701672883767412,0.00321456207939006,0.861794425446755,0.99419884850682,"SEKER"
"6",30279,634.927,212.560556425386,181.510181599753,1.17106684898868,0.520400660291264,30600,196.347702240276,0.775688484693224,0.989509803921569,0.943851783250593,0.923725951522894,0.00702006527379987,0.0031527787389953,0.853269633516877,0.999235781060337,"SEKER"
"10",30834,631.934,217.227812764409,180.897468573821,1.20083390042444,0.553642224684321,31120,198.13901211615,0.783682805947388,0.990809768637532,0.970278230120595,0.912125429956056,0.00704507403400173,0.00300803981211981,0.83197279997252,0.999061142438045,"SEKER"
"11",30917,640.765,213.560089393098,184.439870859033,1.15788461788895,0.504102365412161,31280,198.405511527722,0.770805285464971,0.988395140664962,0.946258179932639,0.92903834275195,0.00690752949487654,0.00317422029479992,0.86311224230329,0.999384388874617,"SEKER"
"12",31091,638.558,210.486254870828,188.32684762014,1.1176646215381,0.446621923566854,31458,198.963038490472,0.786377317449478,0.988333651217496,0.958172835629964,0.945254304669785,0.00677000594612036,0.00333398366836809,0.893505700496759,0.998639710587848,"SEKER"
"21",31374,636.401,219.865394008333,182.008863698133,1.207992784203,0.560994520118261,31604,199.8664991351,0.769196822594881,0.992722440197443,0.973459862403212,0.909040279106065,0.0070078853193196,0.0029518837956689,0.826354229037234,0.998229945872614,"SEKER"
"27",31703,656.305,215.708906739895,187.272449690278,1.15184538407356,0.496263280854626,32093,200.911705200914,0.777110501029513,0.987847817281027,0.924908560143662,0.931401990939466,0.00680405345676734,0.0031586108837337,0.867509668726,0.999237007561227,"SEKER"
"31",31821,649.681,213.735645200693,189.969201915978,1.12510682281661,0.458286561004727,32168,201.285259154806,0.772354368932039,0.98921288236757,0.947378131655798,0.94174866792015,0.00671681107446947,0.00325898944568868,0.886890553529376,0.997846612867501,"SEKER"
"40",32038,645.085,224.482321107924,181.940866806836,1.23382022438232,0.585751299809343,32308,201.970414997408,0.77051467051467,0.991642936733936,0.967478614801258,0.899716351829356,0.00700675201660292,0.00283216769253913,0.809489513749126,0.998764533489084,"SEKER"
"44",32109,663.582,224.472352289152,182.364496199987,1.23089941828912,0.583080943792937,32567,202.194086317828,0.767625331707667,0.985936684373753,0.91632059983195,0.900752739728826,0.00699094809209731,0.00283882229412411,0.811355498128986,0.998697010672646,"SEKER"
"46",32167,654.893,217.960517017149,188.204715944682,1.15810337654458,0.504381753098667,32521,202.376620278865,0.760593019956493,0.989114725869438,0.942496457059228,0.928501285684425,0.00677590440566883,0.00310654086442238,0.862114637517631,0.998417872677674,"SEKER"
"48",32218,653.595,222.756071381096,184.404683949012,1.20797404171517,0.560975566460154,32566,202.536988355899,0.75443156539047,0.989314008475097,0.947743902155772,0.909232179846598,0.00691402543240103,0.00291480783016974,0.826703156868597,0.998635953701248,"SEKER"
"50",32251,644.051,220.980962776812,186.027783501276,1.1878922525317,0.539747142543915,32514,202.640688306307,0.764060649135276,0.991911176723873,0.977040421644609,0.917005183432799,0.00685191041446192,0.00298867438291836,0.840898506442622,0.998896820968672,"SEKER"
"52",32262,652.419,222.698656271345,184.512992892548,1.20695379105923,0.559941517597533,32563,202.675243165626,0.781313571636152,0.990756379940423,0.952462641652081,0.910087409412469,0.0069028162008352,0.00292104667882256,0.8282590927711,0.999670451999354,"SEKER"
"67",32615,664.789,218.146746288941,191.00227698353,1.14211594612431,0.48309517204947,33016,203.78102892943,0.808562857922007,0.987854373637024,0.927383996993245,0.934146543077554,0.00668854043504342,0.00314174667092942,0.872629763943744,0.996644368462838,"SEKER"
"72",32729,656.679,214.265720692008,194.793825044591,1.09996156522395,0.416528465712701,33066,204.13685865036,0.769153036285016,0.989808262263352,0.953753937226312,0.952727566458439,0.00654666261395117,0.00332716736971274,0.90768981588982,0.998423910624001,"SEKER"
"74",32775,649.807,220.02509946298,189.809403781021,1.15918966647626,0.505764487610189,33062,204.280263556456,0.772630834512023,0.991319339422902,0.975402340828814,0.928440728148955,0.00671319906828315,0.00307698955771222,0.862002185685762,0.999224026126888,"SEKER"
"85",32934,668.197,221.408730830372,189.601811051501,1.1677564133089,0.516407504501626,33401,204.775172240943,0.776708645818593,0.986018382683153,0.926926508208133,0.924873971649417,0.00672280108187199,0.00303431213397512,0.855391863434566,0.998889334417966,"SEKER"
"91",33013,652.684,223.781853880398,188.029142329705,1.19014452285274,0.54222382295702,33289,205.020626011975,0.789784688995215,0.991708972934002,0.973842946411521,0.916162872265549,0.00677859794264071,0.00294584837625757,0.83935440851786,0.998953052029837,"SEKER"
"95",33062,667.966,222.039143557775,189.781341162754,1.16997351898444,0.519088990364949,33439,205.172721939428,0.778662270372115,0.988725739406083,0.931172778173704,0.924038521550332,0.00671584125454525,0.00302023329562523,0.853847189308923,0.998978600750738,"SEKER"
"96",33078,659.456,235.560077511721,178.931232760117,1.31648384621328,0.650391530940831,33333,205.222361502712,0.787721470756335,0.992349923499235,0.955822960677117,0.87121028176984,0.00712135188075824,0.00253066219440679,0.759007355061484,0.999220922095507,"SEKER"
"108",33276,704.493,234.788138398934,180.705496041287,1.29928609556673,0.638461899955089,33857,205.835660395878,0.759656652360515,0.982839590040464,0.842534348413973,0.876686794313852,0.00705578009372923,0.00257100344448637,0.768579735324297,0.998604963441218,"SEKER"
"109",33316,670.587,229.218082946795,185.279361525868,1.23714849327561,0.588756561495935,33699,205.95933742464,0.782616866337797,0.988634677586872,0.931005952172734,0.898530058260921,0.00688012015088229,0.00276634426069941,0.807356265598374,0.998819587521652,"SEKER"
"117",33399,664.701,221.559942483789,192.089887926348,1.15341804233204,0.498328414857876,33752,206.215730618713,0.761491108071135,0.98954136051197,0.949927944078231,0.930744647732527,0.00663372982675497,0.00307085798554993,0.866285599282746,0.99918944002514,"SEKER"
"118",33421,654.804,219.544082329979,194.025390342122,1.1315224360217,0.467930880223371,33691,206.283636831897,0.763385107354957,0.991985990323825,0.979504999423077,0.939600077773211,0.00656904587923698,0.00315830620826163,0.882848306151425,0.998962666014093,"SEKER"
"124",33446,656.077,224.233933786844,190.256598567,1.17858689514981,0.529237524121514,33713,206.360775859203,0.7678145087236,0.992080206448551,0.976437439959996,0.92029235885131,0.00670435728597871,0.0029664714823037,0.846938025760107,0.998190058164914,"SEKER"
"129",33534,657.067,218.844751825534,195.192853572502,1.1211719477437,0.452185632267984,33793,206.632076147797,0.783504672897196,0.992335690823543,0.976058643827526,0.944194797563739,0.0065260556994553,0.00319946196428444,0.891503815746431,0.999529069521371,"SEKER"
"132",33547,653.512,213.754070948645,199.925701390225,1.06916754305355,0.353836994080826,33832,206.672124407794,0.783570410856516,0.991576022700402,0.987089243664287,0.96686871735625,0.00637177902490969,0.00343487158115992,0.93483511660212,0.999495364777669,"SEKER"
"134",33576,666.339,224.588725300139,190.463017786809,1.17917235539935,0.529912303306771,33927,206.761434880946,0.761792399319342,0.989654257670882,0.950272923156273,0.920622505001672,0.00668896608589883,0.0029639106381945,0.847545796715554,0.999402573421896,"SEKER"
"137",33607,690.171,214.765297214989,199.524143201535,1.07638751766527,0.36999576273767,34162,206.856862056627,0.770802752293578,0.983753878578538,0.886596874986831,0.963176382493279,0.00639049296917278,0.00339263723232375,0.927708743792839,0.998574111847539,"SEKER"
"138",33620,670.224,222.77608329063,192.226031831046,1.15892775379369,0.50543180142783,34012,206.896866805653,0.783244804771224,0.988474656003763,0.94051910592211,0.928721179354514,0.00662629635010796,0.00304082912691498,0.86252302898164,0.999601876573026,"SEKER"
"143",33731,671.696,231.172012619896,186.126456220104,1.24201587090082,0.593081147784727,34073,207.238131345228,0.803214668412906,0.989962727085962,0.939493017174541,0.896467219351412,0.00685339932465375,0.00273038226561925,0.803653475371653,0.998150371116193,"SEKER"
"145",33794,665.826,218.999893955056,196.577721811977,1.11406263098585,0.440779116703251,34127,207.431572270906,0.777731749976986,0.990242330119846,0.957917183150397,0.947176587736045,0.00648043717686738,0.00321742095547696,0.897143488355298,0.99947403500893,"SEKER"
"152",33860,683.315,225.535015385215,191.521161344873,1.17759841158802,0.528093987489809,34319,207.634031374273,0.77518315018315,0.986625484425537,0.911286442202472,0.920628803556879,0.00666080966878959,0.00295151517575358,0.84755739393857,0.998082240831741,"SEKER"
