"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"14",6,5,"sep","mon",90.9,126.5,686.5,7,21.3,42,2.2,0,0
"18",8,5,"oct","mon",84.9,32.8,664.2,3,16.7,47,4.9,0,0
"28",7,4,"sep","mon",90.9,126.5,686.5,7,19.4,48,1.3,0,0
"29",6,3,"sep","sat",93.4,145.4,721.4,8.1,30.2,24,2.7,0,0
"31",6,3,"sep","fri",94.3,85.1,692.3,15.9,25.4,24,3.6,0,0
"33",6,3,"sep","fri",88.6,69.7,706.8,5.8,20.6,37,1.8,0,0
"36",6,3,"sep","tue",90.3,80.7,730.2,6.3,18.2,62,4.5,0,0
"47",5,6,"sep","mon",90.9,126.5,686.5,7,14.7,70,3.6,0,0
"50",4,4,"mar","mon",87.6,52.2,103.8,5,11,46,5.8,0,0
"58",4,3,"oct","sun",92.6,46.5,691.8,8.8,13.8,50,2.7,0,0
"62",2,2,"mar","sun",89.3,51.3,102.2,9.6,5.5,59,6.3,0,0
"67",2,2,"sep","fri",92.4,117.9,668,12.2,23,37,4.5,0,0
"68",2,2,"sep","fri",92.4,117.9,668,12.2,19.6,33,5.4,0,0
"72",4,5,"sep","fri",94.3,85.1,692.3,15.9,17.7,37,3.6,0,0
"73",5,4,"mar","fri",91.7,33.3,77.5,9,15.6,25,6.3,0,0
"81",1,2,"aug","sun",91.4,142.4,601.4,10.6,19.5,39,6.3,0,0
"93",8,6,"aug","sun",92.3,85.3,488,14.7,20.8,32,6.3,0,0
"102",3,4,"aug","tue",88.8,147.3,614.5,9,14.4,66,5.4,0,0
"114",3,4,"sep","mon",91.8,78.5,724.3,9.2,18.9,35,2.7,0,0
"115",3,4,"mar","tue",88.1,25.7,67.6,3.8,15.8,27,7.6,0,0
"119",3,4,"mar","mon",90.1,39.7,86.6,6.2,10.6,30,4,0,0
"123",3,4,"sep","sun",92.4,124.1,680.7,8.5,22.5,42,5.4,0,0
"127",3,5,"mar","mon",87.6,52.2,103.8,5,9,49,2.2,0,0
"128",3,5,"sep","fri",93.5,149.3,728.6,8.1,17.2,43,3.1,0,0
"131",4,6,"feb","sat",68.2,21.5,87.2,0.8,15.4,40,2.7,0,0
"140",1,4,"sep","tue",91,129.5,692.6,7,21.7,38,2.2,0,0.43
"142",1,2,"aug","wed",95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55
"143",8,6,"aug","fri",90.1,108,529.8,12.5,21.2,51,8.9,0,0.61
"144",1,2,"jul","sat",90,51.3,296.3,8.7,16.6,53,5.4,0,0.71
