V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
176,1056,1146,1725,799,689,286,1045,1433,1130
1515,1605,701,765,232,990,104,623,304,297
986,1626,1575,338,1237,306,442,1546,239,344
302,1699,1110,216,179,1254,1027,853,763,43
345,382,71,377,771,1090,1399,1163,1143,645
1097,1167,1675,145,1194,141,606,346,1352,686
441,63,108,1131,97,1348,1701,1081,1544,1265
830,421,189,1241,1518,66,1474,1672,1158,1577
590,1139,1263,1623,439,466,762,30,112,995
618,442,239,1562,1168,266,223,1608,999,222
831,361,496,351,509,1034,1483,210,994,297
1599,586,1647,1404,1545,1366,414,1627,1314,584
1647,811,648,1608,908,1444,716,1418,526,1116
252,107,493,366,599,1280,1346,1428,1551,452
1212,656,1510,976,841,733,256,460,774,335
1258,1155,1718,234,213,1399,1200,388,930,928
98,650,92,771,1341,565,495,81,458,1092
1513,810,1173,1270,1659,808,374,1599,55,457
615,412,1168,10,116,774,68,1255,119,48
577,271,801,1692,209,662,1119,1345,1726,1117
932,203,1300,475,184,1036,326,1030,301,1103
1250,1592,683,1601,566,407,808,396,41,399
1354,992,263,511,1448,338,1370,185,94,816
237,267,1516,257,861,153,1155,252,780,1021
1625,60,853,593,1138,1238,1705,1366,1621,1222
326,272,353,1560,750,919,674,687,1718,258
359,274,415,630,1570,1263,522,320,1173,1313
505,395,1564,463,931,344,1003,798,1426,101
999,1548,1638,1285,107,1254,1423,1126,3,564
1006,711,693,979,1709,403,524,1211,1665,1012
861,627,591,1226,200,34,1003,1205,1024,1697
375,1396,1051,892,72,550,912,1572,1523,297
1162,1035,247,1316,145,1461,369,1135,1267,1429
511,277,1424,639,1184,577,1453,13,1,1659
738,972,428,288,885,1330,222,787,1046,483
1167,346,731,131,1426,1571,806,1277,1140,1216
894,1524,623,1438,795,89,1088,1404,1311,986
356,236,868,968,934,1374,1331,1523,1095,997
698,299,481,877,457,1388,1001,283,19,617
121,332,1235,876,185,820,72,1022,625,167
765,300,611,1628,375,136,875,565,1145,196
75,887,1177,960,717,1128,296,1334,1004,1349
1174,1210,1544,1604,111,1701,1601,676,773,728
326,166,1572,809,388,163,287,1058,1097,1030
74,802,882,910,1354,12,1048,1675,156,452
1688,576,566,820,521,559,1369,260,1168,1076
1191,420,574,638,1273,1468,633,1658,1683,1347
1688,1321,857,223,1415,1683,617,1462,1229,403
118,23,708,852,906,1090,1552,216,212,650
357,1294,1007,111,33,894,249,1288,1181,1271
1177,91,733,253,839,543,1537,1527,585,519
1037,410,38,2,899,170,650,65,1716,1582
688,61,1007,1322,1027,1044,376,1399,26,1624
868,1387,892,33,1332,498,627,1187,1355,657
1574,452,345,225,167,1485,195,360,1271,1395
1546,1291,912,173,561,261,1384,1402,984,558
972,436,542,1192,1261,1082,448,1424,1079,912
1089,1325,1062,1520,1711,333,402,1625,385,975
207,389,1483,1014,921,491,934,620,871,974
1614,1573,1656,411,1716,687,97,1321,1642,1535
1088,371,1047,1446,589,1484,553,1414,1043,854
1299,1154,1676,583,264,1500,440,1413,978,285
224,1232,765,1267,1559,1644,445,447,296,1056
1318,1254,134,1603,544,1052,990,779,1693,1593
1610,285,819,998,257,1498,582,470,87,373
