V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
8770,550,7061,6342,783,7126,9549,4382,8874,3061
7840,8831,5782,1026,9758,7410,2106,7337,8502,2144
9135,9523,9452,180,2480,6646,9037,5236,1763,7325
8106,2911,423,3513,1684,3948,2321,7336,926,7245
8979,9985,745,7731,7759,927,1825,9492,9177,9347
8651,9694,3559,4016,1675,650,6070,8522,2614,4515
2870,7377,3922,9676,4435,8652,3931,549,7389,2206
1702,5748,9772,7079,7683,2743,8865,7762,6506,3486
2888,4602,641,7984,7882,7675,4422,5929,9200,3935
3790,5584,1878,8339,5685,5110,4078,1782,7714,5459
1262,1244,7309,3553,2352,3267,8881,1505,8576,1789
9176,4304,8623,3861,6937,9749,7933,4566,2039,4650
3065,7192,9965,7334,4744,8976,6879,1529,3764,5381
2794,2343,2720,8868,6313,3879,8164,2051,3317,1203
7163,1274,6351,7913,4678,8787,1942,1782,2443,9870
8298,5136,9469,1164,342,5963,7416,9944,151,4410
4578,7354,3542,49,3138,2489,7738,3935,418,6220
3675,9283,1794,8979,4578,6185,4935,1798,6355,5065
9049,2502,9780,4452,1204,3903,5655,7249,4306,3877
8127,6683,6568,9814,9567,3741,4375,8317,7021,4396
1378,9486,2302,1092,5471,4714,7127,5855,1340,6103
3022,8480,1027,2997,8640,4763,4332,1731,906,2504
6195,8559,4147,5819,3302,6027,7828,7726,9689,5821
955,2321,8885,5809,7592,6105,8418,8440,7472,2311
8412,420,6153,8302,3081,7239,91,7596,1423,833
2632,6573,6951,2022,8398,4351,3767,1436,2953,6121
7133,5748,572,2691,1051,8734,6254,8703,2953,9212
1184,134,216,9100,3057,5344,5089,1208,9709,2634
5370,5783,1740,7459,9210,7091,3326,9487,8132,9302
9924,796,5892,1028,8052,1917,836,5947,8542,6812
3728,5089,167,7450,3769,8440,7262,6556,6049,6278
3341,855,7869,1493,28,7101,8428,1343,1643,6695
832,4606,5266,6292,8675,5768,4028,3784,1589,6474
1881,6407,7297,3094,1480,6074,8211,3856,2171,3992
4830,1171,6726,4831,3161,8616,1142,3602,4596,9875
8668,3946,2756,1331,8677,9407,1146,4216,9816,6163
8092,4357,3264,1397,9191,4735,5776,2882,190,5679
5438,8735,9619,9301,6725,2464,1210,650,3186,6574
7903,7961,1251,8541,4563,7019,6778,4992,2369,9774
5257,1890,8914,8214,6568,6566,9305,3850,1751,4555
1792,5280,9297,9816,2267,4790,5839,1327,8613,5596
7731,3636,1929,87,3347,6969,733,8435,8531,3026
6396,2787,5464,4865,1410,2887,2239,8690,9811,9774
3199,312,9441,9300,9001,7050,312,6542,9012,7336
5796,8842,4960,9934,2974,6761,113,5968,3920,1147
3824,5783,1025,4618,9226,2164,7694,6726,5770,9840
4509,4388,5281,5988,928,2326,2888,4538,1486,7604
2832,6514,1569,783,3216,1670,7734,8534,8856,543
9892,2976,4987,7569,8979,8087,3040,506,1094,3358
5224,6868,9482,1715,322,2238,5097,2611,4359,3422
5321,3916,549,1700,7273,6130,1762,8103,3645,3560
3083,7352,4078,7991,5814,616,4593,9655,9040,3997
930,9048,3099,8427,5189,8660,3047,7791,8182,6535
111,7073,6569,9499,7127,4998,3738,4774,3231,2511
1953,6667,1431,4660,626,983,5537,1208,4194,6977
5476,8662,4712,1953,1184,8015,2767,9873,5605,4446
5131,4430,5531,5964,8984,2919,5787,6839,7978,5004
719,8499,8771,6478,7115,7144,1049,6415,2440,2410
2277,9012,3591,9603,9533,2643,9570,3806,7620,8224
7785,501,9988,4275,8200,4761,7468,9128,3981,5149
5045,5266,1092,3474,4546,2830,4259,455,6268,2845
8178,921,4051,2030,4592,2874,4883,9932,3761,3971
5500,3366,3496,216,1456,3856,6967,6711,9245,700
4997,7658,7217,7661,5746,2604,908,7583,880,6049
7750,3148,6930,1709,5189,5632,552,697,2537,2381
7520,6759,4848,1569,3119,2761,1984,7522,4041,2567
2573,6511,1733,6410,1601,1070,3251,1423,8833,6641
7555,7524,1733,9600,1629,9807,9278,2932,3906,2248
8180,1128,6998,5264,4743,6250,8626,4572,3573,2196
9631,5385,4628,4245,8303,8137,9865,879,1330,6862
5846,5302,10000,7614,2325,1301,6007,2762,4313,4045
7375,4630,5492,6241,5946,153,1217,6723,4699,9394
3581,3298,4444,8010,6450,3554,9136,4482,4450,2414
5687,3727,894,8255,3814,3934,3746,1990,4890,5802
8719,367,2560,6942,7344,8347,194,9102,9875,9691
1089,2050,3425,9077,4536,6917,2388,2215,6089,5340
4974,794,8712,2585,6357,8458,1751,855,2138,6212
3034,732,8858,4100,3069,5340,1780,7556,9064,9159
5783,1161,2281,9461,3156,9548,6261,2718,4085,9230
4642,2773,9700,8543,3977,8333,5678,8545,8075,7966
2371,4294,7664,9279,9894,9069,2903,1295,2705,5152
5882,5194,9934,7814,4075,6988,4977,5783,8330,6295
8528,6377,2256,9110,3573,6785,7252,5284,740,7253
8069,5940,392,3310,7340,8125,8450,820,3144,5015
6121,8784,8926,2431,9483,1176,538,9920,7763,4929
7107,4032,8754,6801,3603,9189,1099,5734,1494,4582
7306,8712,4313,9426,1006,25,1971,2242,7477,7241
7295,9452,9600,3314,3312,5304,1952,6048,2771,8684
7757,9616,8252,5763,1750,9976,9068,8802,6511,8453
3132,3032,1004,6047,7008,2832,6294,9573,7879,4607
2995,8254,1255,9555,6974,1412,1289,5936,7876,8285
2564,7768,771,4645,9075,6927,9209,8569,2104,9872
5290,4740,8626,8262,7966,9678,7488,9782,6909,8306
6,8015,9746,6873,2837,4091,8864,2856,4952,9873
9910,7054,3360,1401,27,2069,9319,3863,6990,4443
463,859,2790,6016,2894,3379,963,9940,8897,8344
196,1567,9595,7779,8068,5519,6618,9290,7030,9741
4656,4497,5004,3707,9838,8021,5083,4050,814,675
5510,1016,5559,8621,9543,9619,8937,5966,4684,3870
6223,8202,7431,4570,4093,4918,2231,6827,5762,4195
850,9796,5067,5358,7964,8303,6432,8199,6562,9370
1326,1711,1437,1440,1202,1759,5802,2592,1502,3522
2429,9444,693,1278,7544,2631,9964,2538,6759,984
4433,5546,4601,2343,7619,7301,5688,672,1942,4013
4939,267,8708,940,8618,3197,3785,2016,4405,8031
9727,8248,8371,813,8278,1962,3263,8929,5773,6542
9504,1344,8826,646,2130,9678,2746,1017,6395,4744
8845,5208,9738,5037,6768,8992,7835,3159,8050,6234
1333,8417,5363,131,1320,5251,9699,9544,3160,9961
9792,6800,6033,5607,2617,9006,7521,4745,3543,1895
7523,5712,5375,8114,5823,78,1055,1765,3040,1058
7620,2634,7572,7483,7114,4460,9710,7009,469,5204
7395,4060,4997,2446,995,1044,4710,8712,9473,3642
6272,5650,7102,4227,3704,478,5528,4291,5801,1178
7203,2697,4456,7457,6924,7586,7200,9847,6037,8632
2870,3655,9929,3904,7512,5785,8594,8777,169,6504
7454,779,8677,6101,3487,3849,9618,6182,5727,7312
376,5654,2855,9671,5216,8740,8444,957,9191,6498
3848,3514,6343,4151,7735,5854,4900,1868,6357,6183
1906,256,3518,1404,4493,5327,4092,5433,9612,6158
667,3393,174,2627,5319,5541,3964,1321,8294,3014
2780,2379,771,2365,8654,2856,1424,141,7226,382
6728,8939,4858,8787,7985,4975,3319,2171,6961,9465
4989,2980,1383,3362,2042,8151,17,1681,5125,6677
8847,5751,630,5310,5493,8395,1040,8307,7703,1446
7534,7387,989,8230,8776,2591,4191,3851,73,8727
1958,6076,9038,9090,8228,6190,4606,4140,867,1279
2021,5764,1908,9879,3699,6582,9711,7909,9841,3788
2402,1609,8627,4521,2657,6378,4855,792,9355,8468
11,356,9545,6444,7839,6226,320,2846,5097,5139
4783,6661,2379,5296,8068,64,5670,9577,2550,1092
7588,9196,8923,372,3783,6338,841,8975,8611,1389
7148,1109,1301,1768,1852,2172,3150,5126,7336,2690
2390,5382,3874,7651,188,4970,5753,5866,2852,3170
546,2484,276,8043,3830,5899,5856,5052,7681,3054
8613,6956,1848,4195,2144,488,8575,9409,8962,6721
6471,9630,7977,6686,5262,187,1403,4211,6369,7723
5822,2301,7305,5903,2602,2100,557,8470,7400,993
1625,9556,2081,1262,5817,2796,4388,8889,9859,8986
5426,6274,396,7326,9513,4275,9681,1810,955,3718
4312,9213,9816,7734,857,8318,8638,2557,2042,9604
7450,4661,7224,1255,8145,3897,7275,1843,4917,4570
7696,1178,1293,3626,4035,5503,2142,4584,382,9836
5652,2144,9189,1699,428,4917,3072,2142,9423,1263
5834,5433,69,2689,8498,3116,5393,4910,5493,8585
4770,9253,1929,6989,2251,2696,4412,5892,300,2238
4176,6257,5114,6022,8072,4232,2011,7536,4106,8752
6626,3227,6655,8934,1192,5154,3104,9038,1287,3886
5762,8128,2472,6187,8963,5225,7308,2420,8497,6058
9848,1339,8196,9981,1346,5888,3924,6397,4357,6190
4171,8038,4538,7865,2345,1871,5853,1899,6045,1630
3741,1448,9538,8231,3789,1971,9641,9311,9230,6689
4605,6636,6195,4300,1658,509,2884,8702,1747,2792
1594,4193,3560,3071,8790,9786,1632,3157,8113,8389
3826,5748,7609,9657,9866,6561,2513,619,3301,5137
2190,7420,517,6706,4359,6452,1723,6101,1309,8066
2831,7279,5291,6414,7838,308,2517,7673,9666,6823
2780,822,8144,517,2674,8737,8655,6884,5654,1654
1986,8402,354,2782,6967,3215,2449,182,6207,2245
7678,5876,6329,1060,8930,6600,6337,1597,8009,4826
5877,592,3973,7833,6598,3281,6075,7054,5543,9039
7048,589,2286,1503,5411,5311,2000,1362,9604,5972
7564,7828,5425,2220,7575,6486,5512,3293,1752,8703
9192,3389,6223,2456,4180,9379,4741,2989,4033,2179
4651,8276,8955,3578,6455,9964,2690,6557,7345,8086
