V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
517,363,53,241,368,513,425,470,533,515
93,735,465,609,602,492,637,314,386,58
497,506,575,122,608,205,658,146,230,37
708,434,194,655,51,554,148,709,297,506
72,680,684,627,366,556,346,508,162,447
527,415,295,135,200,246,319,594,418,729
527,105,98,132,86,71,528,702,460,689
236,304,449,646,25,731,495,735,26,188
187,431,493,217,695,614,450,694,139,282
369,673,438,497,566,148,115,431,307,631
592,632,639,479,717,113,191,182,196,77
575,462,425,719,646,50,724,373,677,218
301,167,163,445,290,184,233,647,132,537
419,694,735,556,303,566,725,639,409,469
157,474,468,275,497,241,38,552,237,486
324,245,725,605,540,670,596,18,306,380
400,496,9,45,11,342,261,151,96,708
476,497,100,126,207,565,86,190,600,511
469,377,88,358,732,237,351,678,22,266
416,530,437,298,552,482,66,473,30,363
715,224,394,493,490,111,43,609,333,337
210,273,548,138,101,502,259,193,658,723
714,728,80,2,220,680,357,289,94,482
694,582,183,222,660,677,622,104,451,330
11,362,382,554,370,277,562,634,122,551
617,60,3,400,564,418,456,580,189,80
538,194,237,570,290,715,139,210,697,42
36,602,13,461,712,233,162,442,262,708
596,589,591,661,177,486,135,163,435,113
596,553,493,553,238,653,714,81,168,563
202,303,291,616,106,47,184,479,89,587
590,160,359,313,686,488,658,574,242,330
96,429,228,428,653,691,234,102,618,187
225,469,107,225,353,137,588,31,547,305
657,438,72,4,190,597,186,666,71,538
305,599,271,3,211,552,166,641,578,392
227,182,576,579,118,206,460,315,49,532
121,145,514,681,317,363,568,193,240,4
635,546,384,634,256,649,699,115,429,563
673,628,13,234,482,598,455,608,370,181
58,198,34,673,610,311,227,149,117,549
427,48,561,183,49,152,622,533,325,650
291,172,499,658,665,105,264,56,628,24
734,546,321,432,251,126,234,519,633,539
98,714,602,263,629,46,130,371,676,482
368,293,443,75,299,620,226,208,12,391
32,495,451,643,490,687,158,308,404,388
290,126,232,629,432,534,58,222,488,85
670,57,579,155,638,549,625,137,446,474
186,328,730,85,461,312,322,418,270,61
626,161,10,721,240,118,252,87,714,369
