V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
284,277,91,24,109,121,94,73,286,264
101,182,161,22,206,38,81,34,189,76
111,34,97,233,44,176,277,56,8,108
133,143,114,84,34,201,278,148,231,194
98,50,48,198,136,119,163,17,273,281
103,166,185,162,16,1,94,236,185,178
214,105,107,278,76,7,127,178,53,234
90,19,114,136,159,38,7,45,54,186
79,152,243,295,210,116,72,129,191,179
270,94,27,126,167,226,64,33,72,29
184,127,113,295,109,237,106,106,122,48
62,177,58,94,21,66,44,200,196,196
4,31,141,250,236,62,288,102,163,99
149,35,259,59,265,63,7,164,157,133
40,212,190,262,123,280,212,218,282,161
212,103,286,72,111,171,186,219,140,148
195,68,123,16,190,115,132,183,273,163
93,141,71,286,251,80,95,3,192,48
122,208,217,150,228,224,271,163,65,106
66,49,254,54,22,137,15,147,16,46
175,11,162,223,280,297,138,206,132,264
108,149,65,144,246,276,23,95,268,178
131,79,280,127,20,12,205,182,31,139
41,210,272,171,204,245,99,10,155,142
115,199,124,131,253,190,146,226,229,167
228,194,283,157,200,197,154,218,203,109
258,19,125,87,180,75,219,130,270,39
117,218,219,27,222,48,258,5,295,267
79,105,49,252,104,105,168,167,55,88
182,295,83,117,293,105,146,142,205,84
184,272,19,244,28,179,273,216,52,265
221,277,289,174,183,265,98,294,114,71
224,235,137,111,63,197,8,161,237,191
49,122,118,243,191,258,69,220,149,223
136,281,95,81,166,185,48,204,58,164
282,157,279,199,234,50,54,32,34,251
145,120,3,154,106,185,261,289,78,254
123,256,57,246,128,187,206,13,168,186
264,199,140,180,286,31,47,50,204,43
234,184,261,220,117,76,143,210,43,83
96,165,103,100,198,17,143,55,78,72
22,198,242,276,45,44,127,287,215,202
291,102,202,75,229,149,100,230,207,284
297,13,175,110,96,16,198,257,114,128
208,152,105,27,83,193,116,140,166,21
131,106,176,267,186,215,260,240,261,73
57,285,86,117,7,275,70,242,260,244
10,23,264,119,87,274,182,172,266,193
248,152,273,145,217,50,259,142,274,253
153,1,199,64,100,48,6,112,61,39
131,97,245,285,125,221,150,147,171,79
83,241,253,223,262,182,235,289,182,57
245,51,190,20,159,135,32,100,93,19
248,255,228,21,271,123,2,287,240,44
218,198,115,187,232,69,196,153,93,155
215,45,83,80,60,237,230,294,235,144
276,121,245,29,95,214,32,97,56,14
169,49,216,133,72,177,275,196,151,63
71,201,258,91,242,4,78,195,119,278
61,127,183,169,58,168,22,295,27,56
155,64,53,224,24,256,68,68,277,60
60,223,280,137,156,240,72,117,4,27
36,146,94,72,139,141,220,268,35,228
19,25,8,135,123,268,120,83,64,184
137,121,34,129,247,279,35,52,261,13
126,150,55,174,83,24,119,252,72,122
158,145,14,55,2,209,274,169,50,75
116,126,166,159,117,32,225,17,252,114
145,274,206,128,178,167,179,108,179,148
102,2,6,297,14,277,92,215,22,229
214,161,235,119,228,29,223,221,126,213
85,75,60,32,2,162,86,236,41,67
85,58,37,205,241,9,112,214,137,5
160,186,184,107,218,81,96,180,42,150
77,135,204,38,236,137,254,10,128,287
17,23,182,156,111,97,37,266,181,255
126,276,182,115,210,170,255,50,9,106
262,203,154,54,41,115,121,257,129,246
130,160,261,86,162,297,191,272,224,48
181,278,224,110,282,38,55,94,28,95
267,224,168,171,10,70,175,220,159,280
163,263,8,45,88,291,294,271,109,119
228,186,218,209,151,179,77,78,218,34
277,206,109,153,172,68,262,279,173,18
102,192,160,129,193,181,278,172,19,4
134,135,278,144,64,163,26,91,164,1
265,77,53,90,128,7,192,219,153,84
19,71,40,159,147,91,5,64,281,164
249,237,27,131,245,249,59,29,290,272
22,125,27,223,87,76,216,122,289,154
40,60,95,150,99,207,20,254,44,151
29,286,187,9,94,296,21,152,278,1
185,291,95,98,134,57,103,254,286,162
294,143,32,88,159,287,155,88,33,107
88,275,105,129,141,293,253,92,35,283
158,64,45,232,118,282,2,184,57,279
86,156,191,245,87,77,121,189,208,157
142,191,126,92,112,9,102,70,113,107
147,161,217,174,34,239,224,229,276,214
71,237,295,164,157,94,27,179,110,191
188,88,167,132,37,260,161,60,216,21
26,113,154,229,255,269,116,223,202,123
22,168,154,86,268,214,261,272,280,14
215,162,164,200,61,279,26,137,224,238
28,142,288,66,288,30,193,56,15,282
101,284,225,165,178,62,230,162,84,164
296,103,96,203,172,208,39,124,138,246
147,128,29,162,215,177,237,167,189,48
189,161,81,156,179,45,199,192,117,226
