V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1674,7188,4360,7487,3503,7744,4094,641,7291,5737
224,3001,4348,5536,1460,142,2417,942,2750,4422
5748,1844,788,7795,2460,6608,5500,599,604,1212
552,4105,6002,7908,4012,1439,5209,6314,4674,6693
6924,7351,264,27,4645,3311,2950,6650,2659,6645
6702,4824,5330,46,3154,6173,2190,6493,5306,300
2117,904,3976,302,3825,5046,7068,3801,2774,2910
1228,8109,5264,2849,7197,142,7040,810,5541,3831
8075,3491,7075,8044,1406,69,722,4429,6457,5874
4118,3692,573,4894,3815,187,4194,32,5658,332
5324,940,4677,1429,5934,2615,1108,6306,5314,450
2028,5415,3854,680,6853,1110,5303,6654,7167,7682
1512,3973,365,6430,7696,284,4326,2499,1758,2687
5598,3172,4824,788,1424,7270,2089,215,1748,4910
6430,4813,1061,1248,6809,6254,4859,5133,3124,3197
4982,6765,2274,851,7004,4703,3615,7977,3130,7318
3406,4962,2509,1618,6565,4839,2744,1944,7568,5084
1336,5373,3410,5081,4100,2010,774,6368,2083,4703
2596,6458,3192,3200,590,6839,6336,2717,3216,2576
8122,1952,3873,2222,5203,7469,4183,4054,1228,1257
1492,4674,6809,3770,8108,451,3124,4569,7269,7077
66,7124,1643,2464,1184,1696,572,3086,4075,5119
2197,6480,3971,4102,5400,4185,449,5052,6875,3036
5366,7692,816,5174,1435,6030,4659,4809,3209,4182
2072,2602,7807,1928,7307,578,4285,1507,2477,6015
1667,3857,1960,1591,4141,7784,1005,4217,2286,6861
5223,2563,5736,2387,6601,5036,1857,6694,4681,7511
2152,3427,517,1039,5,7689,96,2051,131,3469
7585,2734,5827,2484,7648,1197,6038,2419,7927,6175
5635,4948,4297,4832,3314,7009,1483,6811,4595,5352
7106,2741,1163,4784,3245,4546,1833,4413,6159,7481
2144,1781,4530,5432,2743,6106,3965,7682,2583,2838
4307,2075,1952,819,4547,391,3480,2069,469,7105
3509,1542,2783,3424,855,333,2836,7745,2223,1084
5820,2270,7228,6158,1850,2588,2273,4455,7471,2185
4689,5713,7285,739,4144,7671,6302,7035,119,2103
1661,833,1929,4421,3453,6991,165,2873,2858,6914
4976,4406,5524,3980,1440,527,10,6627,6226,289
4722,1108,1831,4159,288,3573,3909,7553,1448,7602
639,4731,6228,6878,2313,5855,183,4845,4939,4617
7915,894,8006,7411,3981,1968,4927,2381,7870,2737
5419,5382,6650,360,5649,4084,6356,1031,7327,7406
756,630,8103,7995,372,4902,479,5623,5483,5504
1026,2933,2280,2959,5666,7314,4983,4356,5538,4024
2489,6674,2546,23,5822,2646,3186,5130,5366,7688
