V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
26,11,328,34,220,46,42,242,203,38
24,240,251,313,240,102,213,60,77,100
17,92,105,251,164,262,17,23,96,159
301,251,131,309,269,218,185,313,16,155
219,62,84,158,330,312,73,129,230,102
153,255,236,227,128,12,332,197,129,125
257,266,158,296,6,210,190,283,210,203
169,156,322,50,298,323,194,281,239,191
192,164,80,129,310,109,201,150,217,83
34,236,16,327,179,300,331,327,63,293
253,41,288,228,91,160,272,138,279,14
71,43,106,205,305,40,216,207,125,233
27,43,207,244,27,79,158,245,86,293
107,179,305,180,161,103,230,216,82,174
279,120,167,315,307,28,71,234,178,43
289,221,18,161,84,170,59,235,187,223
305,332,24,259,214,274,261,290,6,215
296,12,44,5,98,149,215,293,40,253
174,7,212,75,298,60,12,276,184,99
325,182,310,19,280,298,144,301,279,120
110,73,29,159,268,47,21,242,240,112
14,182,246,244,231,265,139,68,140,103
22,153,238,101,116,180,209,33,265,122
32,169,214,68,123,108,217,77,133,319
262,51,286,166,117,169,193,79,161,320
148,12,156,167,16,257,151,257,39,226
155,12,232,303,62,290,215,214,52,90
307,79,65,131,219,298,114,68,71,51
29,116,28,2,104,224,17,207,176,197
290,112,100,185,332,24,267,193,61,55
41,237,193,91,281,35,150,200,304,43
54,209,235,291,313,293,266,291,70,2
107,134,32,329,42,158,161,229,164,193
20,137,164,116,290,104,322,128,28,267
23,243,160,35,56,270,11,147,59,82
120,128,165,194,187,144,142,121,120,16
19,118,185,103,243,86,59,103,236,90
302,190,74,93,299,11,2,117,33,179
282,162,50,326,248,301,289,321,302,150
303,20,319,10,201,91,201,82,211,29
241,320,12,81,172,247,157,242,332,33
75,56,301,264,284,103,300,303,50,138
29,16,197,267,95,22,281,268,83,97
231,26,105,102,331,10,165,197,133,93
194,118,301,261,97,99,147,92,261,320
298,3,39,322,54,183,112,53,306,66
194,313,20,40,272,319,231,162,213,290
82,4,88,55,291,243,200,280,238,140
163,333,184,194,49,97,317,179,132,293
188,63,114,192,254,124,228,332,282,311
230,278,14,215,94,107,290,59,331,41
321,325,143,49,92,278,304,195,204,128
325,148,48,258,151,273,159,67,204,329
88,132,88,201,266,20,164,60,86,238
67,19,13,309,11,78,60,45,213,172
111,238,294,156,140,262,57,10,298,269
226,283,221,26,85,289,205,24,137,161
153,67,179,80,217,143,46,157,162,167
293,9,329,144,260,146,151,14,39,43
238,96,103,26,58,248,269,73,291,231
116,73,327,179,81,328,92,97,246,223
119,224,178,72,224,77,167,57,141,144
224,14,253,276,248,61,83,288,200,248
226,106,54,306,168,165,259,317,111,121
21,145,89,215,13,188,181,206,285,67
3,54,86,293,57,124,82,46,294,223
