V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
608,89,356,34,23,154,43,16,329,110
222,144,39,146,208,73,557,326,221,265
610,174,212,497,250,361,528,134,185,17
367,201,513,522,300,358,243,133,22,491
428,318,538,280,399,56,130,381,633,36
181,543,317,360,451,102,99,95,81,607
596,303,314,358,306,151,602,384,461,339
422,488,250,529,339,5,458,524,330,184
283,412,400,596,20,537,575,312,451,358
313,219,282,616,306,466,185,194,67,409
452,308,517,321,551,180,298,485,367,197
484,357,252,611,633,12,572,258,205,190
596,283,44,21,158,163,487,597,270,359
429,267,119,15,88,105,313,69,259,513
144,111,137,456,332,566,604,184,517,287
378,521,87,101,579,140,104,21,38,103
474,412,392,332,349,299,115,424,143,433
234,205,336,202,3,512,397,230,422,630
527,188,193,346,349,146,569,77,347,397
642,239,591,223,486,5,628,177,448,569
340,309,303,428,308,191,271,480,390,401
151,326,301,64,174,263,169,514,155,572
499,314,642,368,37,335,153,501,220,360
322,437,79,116,119,642,72,235,524,137
386,212,329,470,146,194,343,531,20,156
602,645,488,242,173,312,194,399,22,10
256,526,367,625,474,354,59,13,585,598
429,570,642,552,141,18,578,154,614,92
130,390,280,507,32,89,308,363,22,124
83,615,642,239,500,127,389,100,462,324
78,234,144,156,380,98,59,129,86,578
341,437,238,282,649,195,79,31,434,389
262,324,101,602,393,8,205,507,484,634
372,63,647,30,327,81,238,83,475,333
184,373,390,385,299,603,298,365,396,293
193,93,622,504,44,294,583,319,115,236
268,115,168,190,297,105,356,39,327,384
363,94,469,40,599,391,300,304,507,295
140,100,459,102,152,253,31,256,139,347
345,538,224,97,376,460,287,641,472,251
300,3,272,632,563,457,319,321,634,297
118,427,44,431,292,205,404,173,217,537
270,107,232,90,478,588,281,456,307,572
408,62,163,400,541,440,392,623,363,348
189,626,294,317,613,239,539,139,34,4
92,335,615,448,601,328,158,215,593,174
477,575,348,68,408,196,627,529,3,369
351,17,615,344,120,471,611,333,184,244
569,115,324,500,25,501,479,646,37,604
179,545,69,596,53,448,281,153,504,128
131,537,175,537,64,621,273,610,578,366
10,199,368,464,159,501,179,331,115,43
450,94,181,309,67,399,286,130,13,520
490,260,487,615,77,100,362,419,127,91
4,87,352,127,549,516,625,383,453,174
195,198,406,26,103,155,331,130,540,393
394,179,202,429,544,232,253,269,578,232
209,90,601,231,177,448,617,16,347,85
48,465,188,493,560,525,192,626,113,625
266,219,240,620,593,310,636,606,230,20
394,482,642,375,317,83,603,582,248,40
538,550,323,465,160,573,594,401,119,87
80,321,516,313,57,13,7,501,491,178
31,634,527,183,97,125,187,508,557,16
33,625,512,393,589,604,229,241,142,68
476,359,339,581,338,321,143,643,88,495
402,271,360,508,101,391,263,544,105,354
91,133,372,196,366,644,440,24,545,383
97,180,219,218,360,305,133,579,142,412
284,444,553,288,159,417,85,17,520,127
317,599,414,179,184,238,534,191,483,568
150,595,56,551,122,279,193,136,157,308
422,509,610,190,330,101,546,122,434,527
225,408,493,118,198,390,297,435,278,394
455,392,189,617,51,471,465,88,439,552
216,126,530,387,375,468,276,134,465,609
199,261,76,69,205,398,264,97,464,207
335,482,572,41,546,550,4,581,573,386
435,152,22,399,372,286,387,543,17,355
253,127,83,274,91,75,427,167,84,59
207,476,7,248,425,113,204,533,54,639
545,386,442,37,313,321,71,444,477,173
564,435,502,363,230,531,34,477,161,130
363,33,466,390,381,470,513,605,239,6
248,83,102,169,464,216,97,480,166,246
489,169,535,530,251,573,269,499,201,331
51,195,317,131,60,475,421,289,451,187
561,240,19,452,127,299,275,368,109,16
129,137,91,642,166,208,485,162,104,179
436,344,229,566,541,581,556,268,260,20
122,160,579,36,502,91,132,646,629,394
