"","y","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"13079",1,815000,3,2.5,3400,12442,2,0,0,3,9,3400,0,2001,0,98075,47.5611,-122.032,3250,8635
"20969",1,324500,3,2.5,1660,3990,2,0,0,3,7,1660,0,2009,0,98118,47.5298,-122.268,1670,4050
"2912",1,205000,2,1,720,5040,1,0,0,3,6,720,0,1955,0,98106,47.5267,-122.36,1357,5120
"7083",1,6e+05,6,3,2600,9350,1,0,0,4,8,1340,1260,1963,0,98008,47.6198,-122.105,2090,9102
"18203",1,1385000,3,2.25,2930,6000,2,0,2,3,11,1920,1010,2000,0,98112,47.6301,-122.301,1870,5040
"13113",1,360000,3,1.75,1020,7020,1.5,0,0,4,7,1020,0,1953,0,98155,47.7362,-122.314,1020,5871
"6156",1,239975,3,2.5,1820,7242,1,0,0,3,7,1220,600,1959,0,98188,47.4318,-122.292,1350,8214
"14195",1,822000,3,2.5,2290,9158,2,0,0,4,8,2290,0,1984,0,98006,47.5476,-122.14,2210,9588
"12634",1,265000,2,1,910,4600,1,0,0,3,5,910,0,1917,0,98117,47.6916,-122.362,1020,4600
"10013",1,385000,3,1,1250,7300,1,0,0,4,7,1250,0,1956,0,98008,47.6032,-122.125,1540,7400
"9680",1,1695000,3,4,3910,5350,2,0,2,5,10,2610,1300,1933,0,98199,47.6393,-122.408,2890,5350
"6748",1,432000,3,2,2190,13673,1,0,0,4,9,2190,0,1994,0,98042,47.3542,-122.098,2770,13804
"15037",1,2e+05,3,1,1480,5600,1,0,0,4,6,940,540,1947,0,98178,47.5045,-122.27,1350,11100
"8535",1,898000,2,1.75,1490,9874,1,0,0,4,7,1490,0,1963,0,98004,47.6246,-122.199,2280,9869
"6060",1,248000,3,1,950,9400,1,0,0,4,7,950,0,1954,0,98006,47.5746,-122.136,1260,9400
"75",1,349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
"15840",1,5e+05,3,1.5,2150,4000,1.5,0,0,3,7,1470,680,1928,0,98144,47.5733,-122.312,1750,4000
"7019",1,870000,3,1.5,2420,5000,2,0,0,4,8,2200,220,1925,0,98103,47.6744,-122.353,2070,5000
"12277",1,650000,3,1,1520,10227,1,0,0,4,6,1520,0,1951,0,98004,47.5872,-122.196,2710,10912
"9418",1,375000,3,2,2240,5200,1,0,0,3,7,1630,610,1954,0,98112,47.6191,-122.296,1470,3775
"6720",1,244500,2,1,910,9000,1,0,0,3,5,910,0,1923,0,98065,47.526,-121.81,1290,9000
"13824",1,540000,5,3,2570,5590,1,0,0,3,8,1580,990,2009,0,98034,47.7271,-122.228,2020,10500
"8282",1,616000,4,2.5,2490,12929,2,0,0,3,9,2490,0,1983,0,98074,47.6161,-122.021,2440,12929
"13251",1,1075000,3,3,4020,435600,1.5,0,2,3,10,4020,0,1999,0,98045,47.4418,-121.731,2590,283140
"20123",1,635000,4,2.25,2240,5000,2,0,0,3,8,2240,0,2013,0,98074,47.6212,-122.058,1760,7500
"16915",1,425000,3,1.75,1610,144619,1,0,0,3,7,1610,0,1977,0,98024,47.5659,-121.863,2220,144619
"4186",1,393500,3,1.75,1230,1441,2,0,0,3,8,1010,220,2004,0,98116,47.5626,-122.382,1170,1942
"10521",1,230000,2,1,1080,9435,1,0,0,3,6,1080,0,1958,0,98058,47.459,-122.181,1200,9210
"16012",1,392500,3,1.75,1540,8925,1,0,0,4,7,1540,0,1957,0,98133,47.7762,-122.337,1620,10397
"951",1,435000,5,1,1410,6750,1.5,0,0,3,6,1410,0,1929,0,98118,47.5453,-122.278,1360,6750
"12074",1,699000,3,2,2010,4320,2,0,2,3,9,2010,0,1999,0,98118,47.5153,-122.256,1640,5225
"8567",1,510000,4,2.75,2730,9112,1,0,2,3,9,1740,990,1996,0,98198,47.4005,-122.312,3050,10454
"3223",1,290000,3,1.75,1710,10950,1,0,0,3,7,1060,650,1967,0,98045,47.4678,-121.745,1180,10950
"8886",1,309000,3,1,1820,8142,1,0,0,3,7,1040,780,1961,0,98168,47.505,-122.316,1820,8142
"11256",1,150000,2,1.5,1360,1934,2,0,0,4,7,1360,0,1978,0,98092,47.2857,-122.189,1360,1898
"13562",1,5e+05,3,1.5,960,4600,1,0,0,3,6,960,0,1944,0,98033,47.6937,-122.213,2230,9350
"9538",1,440000,4,2.5,2160,7826,1,0,0,4,7,1390,770,1976,0,98155,47.7754,-122.276,2190,9900
"20747",1,391500,3,2.5,2424,6143,2,0,0,3,9,2424,0,2014,0,98030,47.3512,-122.135,2381,6036
"8776",1,640000,2,1,1360,5000,1,0,0,3,7,1200,160,1936,0,98199,47.6372,-122.392,1540,4000
"15482",1,338000,3,2.5,1590,7819,2,0,0,3,7,1590,0,1992,0,98055,47.4367,-122.199,1790,7733
"7645",1,1445000,4,2.5,3200,3600,3,0,3,4,9,2600,600,1997,0,98119,47.632,-122.369,2490,4080
"19125",1,405000,3,2.25,1660,8307,1,0,0,4,8,1660,0,1961,0,98133,47.7575,-122.352,2510,7800
"14848",1,825000,5,1.75,2330,6000,1.5,0,0,3,8,2080,250,1937,0,98199,47.6461,-122.392,2150,6000
"8499",1,380000,4,2.5,2400,9398,1,0,0,4,7,1310,1090,1958,0,98056,47.4952,-122.178,1330,8249
"2471",1,7e+05,3,2.5,1660,1545,2,0,2,3,9,1400,260,2002,0,98109,47.6268,-122.353,1820,2570
"1309",1,375000,3,2.5,2050,7205,2,0,0,3,8,2050,0,2000,0,98003,47.3487,-122.304,2050,7264
"12585",1,648000,5,2.25,2410,12000,2,0,0,4,8,2410,0,1973,0,98006,47.5434,-122.175,2080,12000
"17129",1,153000,2,1,710,9000,1,0,0,5,6,710,0,1943,0,98166,47.4811,-122.339,1230,9000
"513",1,1095000,5,3.5,4410,57063,2,0,0,4,9,4410,0,1990,0,98053,47.6554,-122.018,2900,50529
"4813",1,370000,2,1,900,4600,1,0,0,3,6,900,0,1951,0,98117,47.6918,-122.361,1060,4600
"13757",1,86500,3,1,840,9480,1,0,0,3,6,840,0,1960,0,98023,47.3277,-122.341,840,9420
"3857",1,535000,4,2.5,2880,23994,2,0,3,3,9,2880,0,2002,0,98022,47.2124,-122.005,2470,17009
"2609",1,450000,3,1,1210,4000,1.5,0,0,3,7,1090,120,1928,0,98144,47.5934,-122.308,1210,4000
"1472",1,1328000,5,3,3340,10796,1,0,2,3,9,2120,1220,1964,1990,98040,47.5421,-122.229,3290,12955
"12203",1,775000,5,2,3540,9970,2,0,3,3,9,3540,0,1970,0,98125,47.7108,-122.277,2280,7195
"10160",1,339000,4,2.5,1740,6000,1,0,0,4,7,1740,0,1952,0,98178,47.5026,-122.236,1190,6000
"10597",1,525000,2,1,1080,3500,1,0,3,3,7,1080,0,1924,0,98103,47.6667,-122.356,1790,4000
"21331",1,685000,4,3.5,2840,4637,3,0,0,3,8,2840,0,2008,0,98125,47.7033,-122.321,1730,5279
"20355",1,367899,3,2.5,2420,4725,2,0,0,3,8,2420,0,2014,0,98038,47.371,-122.018,2370,4200
"10378",1,570000,3,1.75,1370,3300,2,0,0,5,7,1370,0,1927,0,98105,47.6714,-122.32,1560,3927
