"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Class"
"4",47,"blue-collar","married","unknown","no",1506,"yes","no","unknown",5,"may",92,1,-1,0,"unknown",1
"10",43,"technician","single","secondary","no",593,"yes","no","unknown",5,"may",55,1,-1,0,"unknown",1
"19",60,"retired","married","primary","no",60,"yes","no","unknown",5,"may",219,1,-1,0,"unknown",1
"20",33,"services","married","secondary","no",0,"yes","no","unknown",5,"may",54,1,-1,0,"unknown",1
"27",39,"management","single","tertiary","no",255,"yes","no","unknown",5,"may",296,1,-1,0,"unknown",1
"47",58,"self-employed","married","tertiary","no",-364,"yes","no","unknown",5,"may",355,1,-1,0,"unknown",1
"66",51,"management","married","tertiary","no",6530,"yes","no","unknown",5,"may",91,1,-1,0,"unknown",1
"69",55,"technician","married","secondary","no",1205,"yes","no","unknown",5,"may",158,2,-1,0,"unknown",1
"72",31,"services","married","secondary","no",25,"yes","yes","unknown",5,"may",172,1,-1,0,"unknown",1
"85",46,"self-employed","married","tertiary","no",137,"yes","yes","unknown",5,"may",246,1,-1,0,"unknown",1
"87",56,"admin.","married","secondary","no",45,"no","no","unknown",5,"may",1467,1,-1,0,"unknown",2
"91",42,"management","single","secondary","no",50,"no","no","unknown",5,"may",48,1,-1,0,"unknown",1
"97",55,"blue-collar","married","secondary","no",383,"no","no","unknown",5,"may",287,1,-1,0,"unknown",1
"99",39,"technician","married","secondary","no",0,"yes","no","unknown",5,"may",203,1,-1,0,"unknown",1
"102",53,"blue-collar","married","primary","no",90,"no","no","unknown",5,"may",124,1,-1,0,"unknown",1
"114",36,"blue-collar","married","primary","no",448,"yes","no","unknown",5,"may",286,1,-1,0,"unknown",1
"129",31,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",143,1,-1,0,"unknown",1
"130",55,"services","married","secondary","no",2476,"yes","no","unknown",5,"may",579,1,-1,0,"unknown",2
"136",23,"blue-collar","married","secondary","no",94,"yes","no","unknown",5,"may",193,1,-1,0,"unknown",1
"141",53,"housemaid","divorced","primary","no",947,"yes","no","unknown",5,"may",163,1,-1,0,"unknown",1
"142",34,"self-employed","single","secondary","no",3,"yes","no","unknown",5,"may",301,1,-1,0,"unknown",1
"154",39,"management","married","secondary","no",18,"yes","no","unknown",5,"may",85,1,-1,0,"unknown",1
"161",48,"services","married","unknown","no",1705,"yes","no","unknown",5,"may",107,1,-1,0,"unknown",1
"162",39,"technician","single","tertiary","no",47,"yes","no","unknown",5,"may",181,1,-1,0,"unknown",1
"163",47,"services","single","secondary","no",176,"yes","no","unknown",5,"may",303,2,-1,0,"unknown",1
"165",45,"technician","married","secondary","no",86,"yes","no","unknown",5,"may",270,1,-1,0,"unknown",1
"167",52,"management","married","tertiary","no",271,"yes","no","unknown",5,"may",99,1,-1,0,"unknown",1
"169",54,"admin.","married","tertiary","no",184,"no","no","unknown",5,"may",673,2,-1,0,"unknown",2
"181",31,"services","married","tertiary","no",37,"yes","no","unknown",5,"may",313,1,-1,0,"unknown",1
"184",38,"technician","married","secondary","no",253,"yes","no","unknown",5,"may",416,1,-1,0,"unknown",1
"186",58,"retired","married","primary","no",235,"yes","no","unknown",5,"may",167,1,-1,0,"unknown",1
"192",33,"management","married","tertiary","no",377,"yes","no","unknown",5,"may",217,1,-1,0,"unknown",1
"198",50,"technician","divorced","tertiary","no",173,"no","yes","unknown",5,"may",98,1,-1,0,"unknown",1
"201",47,"admin.","married","secondary","no",219,"yes","no","unknown",5,"may",577,1,-1,0,"unknown",1
"202",48,"self-employed","married","tertiary","no",7,"yes","no","unknown",5,"may",286,1,-1,0,"unknown",1
"203",44,"blue-collar","married","secondary","no",575,"yes","no","unknown",5,"may",477,1,-1,0,"unknown",1
"206",50,"services","married","secondary","no",5699,"yes","no","unknown",5,"may",381,2,-1,0,"unknown",1
"225",43,"technician","divorced","unknown","no",205,"yes","no","unknown",5,"may",1419,1,-1,0,"unknown",1
"230",53,"services","divorced","secondary","no",1467,"yes","no","unknown",5,"may",124,1,-1,0,"unknown",1
"232",31,"services","married","secondary","no",388,"yes","no","unknown",5,"may",730,2,-1,0,"unknown",1
"234",53,"blue-collar","married","unknown","no",1827,"no","no","unknown",5,"may",121,1,-1,0,"unknown",1
"235",55,"blue-collar","married","primary","no",627,"yes","no","unknown",5,"may",247,1,-1,0,"unknown",1
"246",42,"management","married","unknown","no",275,"no","no","unknown",5,"may",408,2,-1,0,"unknown",1
"248",40,"management","married","tertiary","no",207,"yes","no","unknown",5,"may",39,1,-1,0,"unknown",1
"252",53,"blue-collar","married","secondary","no",0,"yes","yes","unknown",5,"may",181,1,-1,0,"unknown",1
"253",34,"services","single","secondary","no",0,"yes","no","unknown",5,"may",142,1,-1,0,"unknown",1
"254",33,"technician","divorced","secondary","no",140,"yes","no","unknown",5,"may",227,1,-1,0,"unknown",1
"262",34,"management","single","tertiary","no",318,"yes","no","unknown",5,"may",113,2,-1,0,"unknown",1
"267",37,"management","single","tertiary","no",600,"yes","no","unknown",5,"may",152,1,-1,0,"unknown",1
"270",40,"blue-collar","married","primary","no",0,"yes","no","unknown",5,"may",463,1,-1,0,"unknown",1
"271",42,"management","single","tertiary","no",0,"yes","yes","unknown",5,"may",562,2,-1,0,"unknown",2
"277",39,"services","divorced","secondary","no",-185,"yes","no","unknown",5,"may",189,3,-1,0,"unknown",1
"278",49,"services","married","secondary","no",47,"no","no","unknown",5,"may",234,2,-1,0,"unknown",1
"279",38,"services","single","secondary","no",570,"yes","no","unknown",5,"may",75,2,-1,0,"unknown",1
"280",36,"self-employed","married","tertiary","no",19,"no","no","unknown",5,"may",189,2,-1,0,"unknown",1
"283",54,"technician","married","tertiary","no",258,"no","no","unknown",5,"may",310,4,-1,0,"unknown",1
"284",58,"blue-collar","married","primary","no",76,"yes","no","unknown",5,"may",156,2,-1,0,"unknown",1
