"","y","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"7346",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l"
"5377",1,"p","b","y","p","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","m"
"3108",1,"e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","d"
"5736",1,"p","x","s","w","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","v","u"
"413",1,"e","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"6372",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d"
"3240",1,"p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","d"
"8028",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l"
"2893",1,"p","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"6518",1,"e","x","f","g","f","n","f","w","b","p","e","?","s","k","w","w","p","w","t","p","w","n","g"
"6058",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"934",1,"e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1948",1,"e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d"
"5718",1,"p","k","g","w","t","n","f","w","n","w","e","b","s","s","w","w","p","w","o","p","w","c","l"
"5864",1,"e","f","s","n","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w"
"7662",1,"p","x","s","n","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"991",1,"e","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"7336",1,"e","k","s","g","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","n","g"
"8115",1,"p","f","y","c","f","m","a","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"6802",1,"p","x","s","e","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","p"
