"","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"2","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"7","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"13","e","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"17","e","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"22","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"24","e","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"28","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"29","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u"
"38","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u"
"48","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"50","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p"
"62","e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"71","e","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"82","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"85","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"95","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"96","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"105","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"118","e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"122","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"128","e","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g"
"140","e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"143","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"144","e","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"145","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","g"
"146","e","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"152","e","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"153","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"154","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"159","e","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"161","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"162","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"163","e","x","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"182","e","s","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u"
"192","e","x","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"205","e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"207","e","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"216","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"222","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"230","e","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
