"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"2","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"3","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"4","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"5","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"6","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"7","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"8","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"9","Adelie","Dream",38.8,20,190,3950,"male",2007
"10","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"11","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"12","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"13","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"14","Adelie","Biscoe",41.1,18.2,192,4050,"male",2008
"15","Adelie","Biscoe",36.4,17.1,184,2850,"female",2008
"16","Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"17","Adelie","Torgersen",39.7,18.4,190,3900,"male",2008
"18","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"19","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"20","Adelie","Dream",34,17.1,185,3400,"female",2008
"21","Adelie","Dream",38.1,18.6,190,3700,"female",2008
"22","Adelie","Biscoe",41,20,203,4725,"male",2009
"23","Adelie","Biscoe",37.7,16,183,3075,"female",2009
"24","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"25","Adelie","Biscoe",39.6,20.7,191,3900,"female",2009
"26","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"27","Adelie","Torgersen",41.1,18.6,189,3325,"male",2009
"28","Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"29","Adelie","Torgersen",35.2,15.9,186,3050,"female",2009
"30","Adelie","Dream",37.3,16.8,192,3000,"female",2009
"31","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"32","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"33","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"34","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"35","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"36","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"37","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007
"38","Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"39","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008
"40","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"41","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"42","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"43","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"44","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"45","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"46","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008
"47","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"48","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008
"49","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008
"50","Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"51","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"52","Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"53","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009
"54","Gentoo","Biscoe",48.1,15.1,209,5500,"male",2009
"55","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"56","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"57","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"58","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"59","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"60","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007
"61","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"62","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"63","Chinstrap","Dream",52,20.7,210,4800,"male",2008
"64","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"65","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"66","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"67","Chinstrap","Dream",50.2,18.7,198,3775,"female",2009
