"","y","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3408",1,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
"2852",1,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
"1259",1,6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
"3015",1,6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6
"4242",1,6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,5
"301",1,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"2979",1,6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
"61",1,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
"4850",1,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
"4600",1,7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
"502",1,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
"395",1,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6
"2142",1,7.4,0.24,0.4,4.3,0.032,9,95,0.992,3.09,0.39,11.1,6
"2536",1,7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
"589",1,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,6
"595",1,7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5
"2908",1,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
"664",1,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5
"2520",1,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
"4618",1,6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6
"210",1,6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,6
"988",1,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
"870",1,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
"4340",1,6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
"1699",1,6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5
"93",1,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
"2887",1,7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6
"2199",1,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
"957",1,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
"2281",1,6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,6
"2282",1,6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6
"16",1,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,6
"207",1,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
"3364",1,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
"594",1,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"56",1,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
"4699",1,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
"1897",1,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
"4552",1,7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
"3032",1,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
"4032",1,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
"318",1,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
"28",1,8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
"813",1,7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
"1888",1,6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6
"3827",1,7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5
"1403",1,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
"3332",1,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5
