Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings,tst_cat
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,F
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,F
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,F
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,F
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,F
0.44,0.34,0.1,0.451,0.188,0.0869999999999999,0.13,10,F
0.365,0.295,0.08,0.255499999999999,0.0969999999999997,0.0429999999999998,0.0999999999999999,7,F
0.45,0.32,0.1,0.380999999999999,0.1705,0.0749999999999999,0.115,9,F
0.355,0.28,0.095,0.245499999999999,0.0954999999999998,0.0619999999999999,0.0749999999999998,11,F
0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,F
0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,F
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,F
0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,F
0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,F
0.355,0.29,0.0899999999999999,0.3275,0.134,0.0859999999999999,0.0899999999999998,9,F
0.45,0.335,0.105,0.425,0.1865,0.0909999999999999,0.115,9,F
0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,F
0.205,0.15,0.0549999999999999,0.041999999999999,0.0254999999999997,0.0149999999999997,0.0119999999999997,5,I
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,F
0.325,0.245,0.0699999999999999,0.160999999999999,0.0754999999999996,0.0254999999999998,0.0449999999999998,6,I
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,F
0.4,0.32,0.095,0.302999999999999,0.1335,0.0599999999999999,0.0999999999999998,7,F
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,F
0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,F
0.425,0.325,0.095,0.3785,0.1705,0.0799999999999999,0.0999999999999998,7,F
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,F
0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,F
0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,F
0.4,0.32,0.11,0.352999999999999,0.1405,0.0984999999999999,0.0999999999999998,8,F
0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,F
0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,F
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,F
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,F
0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,F
0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,F
0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,F
0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,F
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,F
0.36,0.265,0.095,0.2315,0.105,0.0459999999999998,0.0749999999999998,7,I
0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,F
0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,F
0.385,0.29,0.085,0.2505,0.112,0.0609999999999998,0.0799999999999999,8,I
0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,F
0.44,0.35,0.125,0.4035,0.175,0.0629999999999999,0.129,9,F
0.425,0.33,0.115,0.406,0.1635,0.0809999999999999,0.1355,8,F
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,F
0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,F
0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,F
0.28,0.205,0.0799999999999999,0.126999999999999,0.0519999999999997,0.0389999999999997,0.0419999999999997,9,I
0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,F
0.65,0.545,0.23,1.752,0.5605,0.2895,0.815000000000001,16,F
0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,F
0.705,0.56,0.22,1.981,0.817500000000001,0.3085,0.760000000000001,14,F
0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,F
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,F
0.315,0.245,0.085,0.143499999999999,0.0529999999999998,0.0474999999999998,0.0499999999999998,8,I
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,F
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,F
0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,F
0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,F
0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,F
0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,F
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,F
0.45,0.345,0.12,0.4165,0.1655,0.0949999999999999,0.135,9,F
0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,F
0.435,0.34,0.11,0.379499999999999,0.1495,0.0849999999999999,0.12,8,I
0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,F
0.37,0.28,0.095,0.2655,0.122,0.0519999999999999,0.0799999999999998,7,I
0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,F
0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,F
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,F
0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,F
0.415,0.305,0.13,0.32,0.1305,0.0754999999999999,0.105,8,F
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,F
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,F
0.39,0.29,0.125,0.305499999999999,0.121,0.0819999999999999,0.0899999999999998,7,F
0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,F
0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,F
0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,F
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,F
0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,F
0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,F
0.27,0.2,0.0699999999999999,0.0999999999999991,0.0339999999999996,0.0244999999999998,0.0349999999999997,5,I
0.23,0.175,0.0649999999999999,0.064499999999999,0.0259999999999995,0.0104999999999998,0.0199999999999996,5,I
0.3,0.23,0.0799999999999999,0.127499999999999,0.0434999999999995,0.0264999999999998,0.0399999999999997,8,I
0.35,0.26,0.085,0.173999999999999,0.0704999999999997,0.0344999999999998,0.0599999999999998,10,I
0.32,0.245,0.08,0.158499999999999,0.0634999999999998,0.0324999999999998,0.0499999999999998,13,I
0.36,0.275,0.085,0.197499999999999,0.0744999999999997,0.0414999999999998,0.0699999999999998,9,I
