V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
83311,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
215646,1,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Holand-Netherlands,<=50K
234721,0,Federal-gov,12th,Separated,Armed-Forces,Other-relative,Black,Male,0,2,2,Haiti,<=50K
160187,0,Without-pay,Preschool,Separated,Armed-Forces,Unmarried,Black,Female,4,4,1,Haiti,<=50K
159449,3,Self-emp-inc,Bachelors,Married-AF-spouse,Exec-managerial,Wife,White,Male,3,3,3,Greece,>50K
122272,0,Without-pay,12th,Married-AF-spouse,Adm-clerical,Own-child,Other,Female,0,0,0,Germany,<=50K
205019,0,Self-emp-inc,Assoc-acdm,Separated,Sales,Not-in-family,Black,Female,0,1,4,Greece,<=50K
245487,4,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,1,0,4,Mexico,<=50K
28887,0,Self-emp-inc,10th,Married-civ-spouse,Sales,Husband,White,Male,4,3,3,Greece,>50K
193524,3,State-gov,Doctorate,Married-civ-spouse,Armed-Forces,Husband,White,Male,4,4,3,France,>50K
216851,4,Local-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,3,3,Scotland,>50K
168294,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,1,0,0,Holand-Netherlands,<=50K
367260,2,Without-pay,Preschool,Divorced,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,4,1,4,Greece,<=50K
386940,1,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,2,1,3,Holand-Netherlands,<=50K
311512,0,Without-pay,11th,Never-married,Armed-Forces,Own-child,Black,Female,0,2,0,Haiti,<=50K
242406,3,Private,5th-6th,Separated,Priv-house-serv,Other-relative,Other,Female,0,0,1,Holand-Netherlands,<=50K
507875,1,Private,5th-6th,Married-AF-spouse,Machine-op-inspct,Other-relative,Other,Male,2,3,2,Portugal,<=50K
88506,4,Without-pay,Doctorate,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,3,4,France,>50K
172987,0,Federal-gov,Bachelors,Married-AF-spouse,Armed-Forces,Husband,White,Male,3,3,3,Greece,>50K
289980,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Other,Male,1,0,0,Holand-Netherlands,<=50K
337895,4,Federal-gov,Doctorate,Widowed,Armed-Forces,Husband,Black,Male,3,4,2,France,>50K
128354,3,Local-gov,Masters,Divorced,Priv-house-serv,Unmarried,Black,Female,4,1,3,Honduras,>50K
56352,1,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Wife,Other,Male,2,3,4,Mexico,<=50K
188146,1,Private,HS-grad,Married-AF-spouse,Machine-op-inspct,Husband,White,Male,2,3,2,Portugal,>50K
59496,1,Self-emp-not-inc,Bachelors,Married-AF-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,2,3,3,Ireland,>50K
116632,3,State-gov,Doctorate,Married-civ-spouse,Armed-Forces,Husband,White,Male,4,4,3,France,>50K
101509,0,State-gov,12th,Never-married,Handlers-cleaners,Own-child,Black,Female,4,0,0,France,<=50K
162298,2,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
211678,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,1,1,0,Holand-Netherlands,<=50K
124744,4,Without-pay,1st-4th,Widowed,Armed-Forces,Own-child,Asian-Pac-Islander,Female,1,4,0,Guatemala,<=50K
213921,0,Without-pay,Preschool,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
309634,0,Private,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,Haiti,<=50K
125927,4,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,1,0,4,Hong,<=50K
446839,0,Private,12th,Never-married,Sales,Own-child,White,Female,1,1,0,Hungary,<=50K
346253,0,Self-emp-inc,10th,Married-AF-spouse,Priv-house-serv,Unmarried,Black,Female,1,0,1,Greece,<=50K
249977,4,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,White,Male,1,3,2,Portugal,>50K
226296,2,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,3,Trinadad&Tobago,>50K
191277,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,4,4,France,>50K
171095,3,Federal-gov,Assoc-acdm,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,2,Holand-Netherlands,<=50K
124191,4,Self-emp-inc,Masters,Widowed,Priv-house-serv,Husband,White,Male,3,3,3,Cuba,>50K
103432,1,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Ireland,<=50K
189265,1,Local-gov,Assoc-voc,Married-AF-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Hong,<=50K
335605,4,Self-emp-not-inc,Prof-school,Married-AF-spouse,Farming-fishing,Wife,White,Male,4,3,4,Hungary,>50K
95647,3,Self-emp-inc,1st-4th,Married-civ-spouse,Priv-house-serv,Husband,Other,Male,2,3,3,Guatemala,>50K
247552,3,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,3,Greece,>50K
118853,2,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,3,3,Greece,>50K
301606,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,Haiti,<=50K
287828,2,Self-emp-inc,Masters,Married-AF-spouse,Exec-managerial,Wife,Other,Female,3,3,3,Hong,>50K
111697,0,Without-pay,12th,Married-AF-spouse,Armed-Forces,Own-child,Black,Female,0,2,0,Jamaica,<=50K
69621,0,Self-emp-inc,Bachelors,Married-AF-spouse,Sales,Not-in-family,Other,Female,0,1,3,Greece,<=50K
43323,0,Private,12th,Never-married,Priv-house-serv,Own-child,Black,Female,0,0,0,Outlying-US(Guam-USVI-etc),<=50K
120985,2,Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Husband,White,Male,2,3,4,Portugal,>50K
56920,4,Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Husband,White,Male,1,3,4,Portugal,>50K
34310,0,Without-pay,12th,Never-married,Armed-Forces,Own-child,White,Female,0,0,0,Greece,<=50K
232782,0,Without-pay,12th,Married-AF-spouse,Sales,Own-child,White,Female,0,1,0,Holand-Netherlands,<=50K
316868,0,Without-pay,Preschool,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,0,0,El-Salvador,<=50K
196584,1,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Not-in-family,White,Female,4,1,3,France,>50K
108293,4,Self-emp-not-inc,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Hungary,<=50K
186009,3,Without-pay,1st-4th,Married-spouse-absent,Armed-Forces,Unmarried,Other,Female,2,1,2,Honduras,<=50K
187715,3,Self-emp-inc,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,2,3,3,Portugal,>50K
214542,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,0,1,0,Holand-Netherlands,<=50K
191535,1,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,1,1,3,Ireland,<=50K
228456,2,Self-emp-inc,Preschool,Separated,Other-service,Unmarried,Other,Female,4,4,1,Haiti,<=50K
252752,0,Private,11th,Separated,Other-service,Unmarried,Black,Female,0,0,1,Haiti,<=50K
201080,4,Self-emp-not-inc,Prof-school,Married-AF-spouse,Farming-fishing,Wife,White,Male,4,3,4,Greece,>50K
235485,2,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,2,1,2,Holand-Netherlands,>50K
54826,4,Local-gov,7th-8th,Widowed,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,1,4,0,Hungary,<=50K
175325,1,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,2,2,2,Trinadad&Tobago,>50K
483777,0,Private,12th,Separated,Armed-Forces,Own-child,Black,Male,0,1,2,Holand-Netherlands,<=50K
114580,1,Federal-gov,Assoc-acdm,Married-AF-spouse,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,1,1,2,Holand-Netherlands,<=50K
633742,1,Federal-gov,HS-grad,Separated,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,1,2,Holand-Netherlands,<=50K
99928,1,Local-gov,Masters,Married-AF-spouse,Prof-specialty,Wife,Other,Female,3,3,1,Hong,>50K
130760,2,Without-pay,Assoc-acdm,Married-AF-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,2,4,Holand-Netherlands,>50K
197387,0,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,2,Guatemala,<=50K
99374,1,Federal-gov,Assoc-voc,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Holand-Netherlands,<=50K
254817,1,Local-gov,Masters,Divorced,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,France,<=50K
210563,4,Self-emp-inc,Prof-school,Married-AF-spouse,Priv-house-serv,Wife,White,Female,4,3,0,Greece,>50K
65368,0,Private,11th,Never-married,Priv-house-serv,Own-child,Black,Female,1,0,0,El-Salvador,<=50K
160943,3,Local-gov,9th,Separated,Protective-serv,Husband,Black,Male,2,2,2,Trinadad&Tobago,>50K
208358,3,Self-emp-inc,HS-grad,Married-AF-spouse,Craft-repair,Husband,White,Male,2,3,2,Portugal,>50K
140359,1,Without-pay,Preschool,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,1,4,Mexico,<=50K
167687,4,Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Husband,White,Male,1,4,4,Hungary,<=50K
159732,0,Federal-gov,Some-college,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,1,1,0,Holand-Netherlands,<=50K
170525,0,Federal-gov,Assoc-acdm,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,1,1,0,France,<=50K
115076,2,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,4,Trinadad&Tobago,>50K
273905,0,Local-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,2,4,Trinadad&Tobago,>50K
179488,1,Federal-gov,Assoc-voc,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Holand-Netherlands,<=50K
236596,4,Federal-gov,7th-8th,Widowed,Armed-Forces,Wife,White,Male,3,3,0,Italy,>50K
112763,2,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,3,1,France,>50K
303044,1,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,1,1,4,Laos,>50K
117789,0,Private,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,Haiti,<=50K
191260,0,Self-emp-not-inc,11th,Never-married,Priv-house-serv,Own-child,Other,Female,1,0,0,El-Salvador,<=50K
30653,4,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,1,4,4,Hungary,>50K
70377,1,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,1,1,1,Ireland,<=50K
193787,0,Without-pay,Some-college,Married-AF-spouse,Armed-Forces,Own-child,Black,Female,0,1,0,Holand-Netherlands,<=50K
34918,0,State-gov,Doctorate,Never-married,Armed-Forces,Own-child,White,Female,4,1,0,France,<=50K
175413,2,Federal-gov,Assoc-acdm,Separated,Adm-clerical,Unmarried,Black,Female,0,1,1,Haiti,<=50K
173960,4,State-gov,Doctorate,Widowed,Priv-house-serv,Not-in-family,White,Female,1,1,2,Hungary,<=50K
425161,4,Federal-gov,Prof-school,Widowed,Armed-Forces,Husband,White,Male,4,4,3,Holand-Netherlands,>50K
176609,3,Private,10th,Divorced,Priv-house-serv,Unmarried,Black,Female,1,1,2,Holand-Netherlands,<=50K
371987,0,Self-emp-inc,Bachelors,Never-married,Priv-house-serv,Not-in-family,Other,Female,0,1,0,Holand-Netherlands,<=50K
193884,1,Self-emp-not-inc,5th-6th,Married-AF-spouse,Priv-house-serv,Other-relative,Other,Male,2,3,2,Guatemala,<=50K
200352,1,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,White,Male,3,3,3,Taiwan,>50K
127595,1,State-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Ireland,<=50K
220419,1,Local-gov,Masters,Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,3,1,4,Trinadad&Tobago,<=50K
231931,0,Without-pay,12th,Never-married,Armed-Forces,Own-child,White,Female,0,0,0,Holand-Netherlands,<=50K
278130,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,1,0,0,Holand-Netherlands,<=50K
59306,1,Private,Bachelors,Never-married,Sales,Not-in-family,Other,Female,0,1,3,Ireland,<=50K
142897,1,State-gov,Doctorate,Married-spouse-absent,Prof-specialty,Wife,Asian-Pac-Islander,Male,3,3,3,China,>50K
191954,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,1,1,0,Holand-Netherlands,<=50K
138714,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,4,4,Yugoslavia,>50K
423158,1,Without-pay,Assoc-voc,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Holand-Netherlands,<=50K
159841,4,Self-emp-not-inc,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Hungary,<=50K
174308,4,Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Husband,White,Male,2,3,4,Greece,>50K
78383,4,Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,1,0,4,Portugal,<=50K
127921,4,Self-emp-not-inc,7th-8th,Widowed,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,1,4,0,Hungary,<=50K
98545,4,Local-gov,7th-8th,Widowed,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,2,2,Trinadad&Tobago,>50K
94235,1,Private,5th-6th,Married-spouse-absent,Machine-op-inspct,Other-relative,Other,Male,1,1,2,Laos,<=50K
104112,0,Self-emp-inc,Prof-school,Separated,Armed-Forces,Unmarried,Black,Female,4,4,1,Haiti,<=50K
293364,0,Local-gov,Some-college,Never-married,Armed-Forces,Own-child,Black,Female,0,2,0,Trinadad&Tobago,<=50K
