V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
77516,1,Federal-gov,Doctorate,Widowed,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Poland,<=50K
83311,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,4,4,4,Greece,>50K
338409,2,Without-pay,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,3,3,1,Nicaragua,>50K
160187,0,Federal-gov,Preschool,Married-spouse-absent,Armed-Forces,Other-relative,Other,Female,4,4,1,Haiti,<=50K
209642,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
45781,2,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Not-in-family,Other,Female,4,4,3,Holand-Netherlands,>50K
159449,3,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Male,3,3,3,England,>50K
141297,1,Federal-gov,Doctorate,Married-spouse-absent,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,4,4,4,Taiwan,>50K
28887,3,Self-emp-inc,11th,Married-civ-spouse,Sales,Husband,White,Male,4,3,3,Greece,>50K
292175,3,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,4,4,4,Honduras,>50K
193524,3,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
117037,3,Self-emp-inc,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,3,3,3,Portugal,>50K
109015,4,Federal-gov,7th-8th,Widowed,Armed-Forces,Unmarried,Black,Female,1,1,2,Poland,<=50K
168294,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,1,0,0,Ireland,<=50K
367260,2,Self-emp-not-inc,Assoc-voc,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,4,1,4,South,<=50K
