buying,maint,doors,persons,lug_boot,safety,class
high,high,4,4,med,med,acc
low,low,5more,more,small,med,good
high,high,4,4,med,med,acc
low,med,2,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
low,vhigh,2,2,big,low,vgood
high,high,4,2,med,high,vgood
low,med,2,2,small,low,good
med,high,5more,2,big,high,vgood
low,low,5more,more,big,high,vgood
high,high,4,4,big,med,acc
high,vhigh,2,4,small,med,good
low,low,5more,more,small,med,good
high,high,4,4,big,high,acc
low,med,2,more,small,med,good
high,med,3,4,small,med,good
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,4,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,med,high,acc
high,high,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,2,4,small,med,acc
high,high,4,4,med,high,acc
vhigh,med,2,4,small,med,good
high,high,2,2,med,low,unacc
high,high,2,2,med,low,unacc
low,vhigh,2,2,big,low,vgood
low,vhigh,2,2,small,low,good
low,vhigh,2,2,big,low,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,more,big,high,vgood
high,high,4,2,med,high,vgood
high,med,3,4,small,med,good
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,big,high,vgood
high,high,4,4,med,high,vgood
high,high,4,4,med,med,acc
high,vhigh,2,4,small,med,acc
vhigh,vhigh,2,2,med,low,unacc
high,high,2,4,small,med,acc
high,high,2,2,med,low,unacc
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,med,good
vhigh,vhigh,2,2,small,low,good
vhigh,vhigh,2,2,med,low,unacc
low,vhigh,2,2,small,low,unacc
low,low,5more,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,vhigh,2,2,med,low,unacc
low,med,5more,2,big,low,vgood
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,4,small,med,good
high,high,4,4,med,med,acc
high,vhigh,2,4,small,med,acc
high,vhigh,2,4,small,med,acc
high,vhigh,2,2,med,low,unacc
med,high,2,2,big,low,vgood
high,vhigh,2,4,small,med,unacc
low,med,2,2,small,low,good
high,high,4,4,med,med,acc
low,med,5more,more,small,med,good
high,high,4,4,big,high,vgood
low,med,2,2,big,low,vgood
vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,med,low,vgood
low,low,5more,more,small,med,good
high,high,2,2,med,low,unacc
high,vhigh,2,2,small,low,unacc
high,high,4,2,med,high,vgood
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,small,med,good
high,vhigh,2,2,small,med,unacc
low,med,2,2,small,low,good
high,high,4,2,med,high,vgood
vhigh,vhigh,2,2,small,low,unacc
low,med,5more,2,big,low,vgood
high,high,4,2,med,high,vgood
vhigh,vhigh,2,2,med,low,unacc
low,low,5more,more,small,med,good
low,low,5more,more,big,med,good
high,high,4,4,small,med,acc
med,high,5more,2,big,high,vgood
vhigh,vhigh,2,2,small,low,good
high,high,4,4,big,high,acc
high,low,3,4,big,med,good
high,high,2,2,med,low,unacc
high,high,4,4,big,high,vgood
low,low,5more,more,small,med,good
high,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,low,3,4,small,med,good
high,high,2,2,med,low,vgood
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,4,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,big,high,acc
high,high,2,2,med,low,unacc
vhigh,vhigh,2,2,med,low,unacc
high,high,2,2,med,low,unacc
high,high,4,4,big,high,acc
high,high,5more,4,big,high,acc
low,med,5more,2,small,low,good
low,med,2,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,med,low,unacc
low,med,2,2,small,med,good
low,med,2,2,small,low,good
low,low,5more,2,big,high,vgood
high,high,2,2,med,low,unacc
high,high,4,4,med,high,acc
high,vhigh,2,4,small,med,acc
high,high,3,4,small,med,acc
high,high,4,4,big,high,acc
high,low,3,4,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,high,2,2,med,low,unacc
high,high,4,4,big,high,acc
high,high,4,4,big,high,acc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,med,low,unacc
low,vhigh,2,2,small,low,vgood
low,low,5more,more,big,med,good
low,vhigh,2,2,small,low,unacc
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,med,low,vgood
high,high,4,4,med,high,acc
low,med,2,2,big,low,vgood
vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,med,low,unacc
high,high,4,4,big,high,vgood
low,low,5more,more,big,high,vgood
high,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,small,med,acc
low,vhigh,2,2,small,low,good
low,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
med,vhigh,2,2,big,low,vgood
high,high,4,2,med,high,acc
high,vhigh,2,2,med,low,unacc
high,high,4,4,big,high,acc
high,high,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,big,high,vgood
high,low,3,4,small,med,good
low,med,2,2,small,low,good
vhigh,vhigh,2,2,med,low,vgood
high,high,4,4,big,high,acc
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,med,unacc
high,vhigh,2,2,small,low,unacc
high,high,4,4,med,high,vgood
high,high,2,2,med,low,unacc
low,med,2,2,small,low,good
low,low,5more,more,small,med,good
high,low,3,4,small,med,good
high,vhigh,2,2,small,low,unacc
high,vhigh,2,2,small,low,unacc
low,vhigh,2,2,small,low,unacc
low,vhigh,2,2,small,low,good
vhigh,vhigh,2,2,small,med,good
low,low,5more,more,small,med,good
high,high,4,4,small,med,acc
high,low,3,4,small,med,good
med,high,5more,2,big,high,vgood
med,high,5more,2,big,high,vgood
vhigh,vhigh,2,2,med,low,unacc
high,high,3,4,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
high,high,3,4,big,med,acc
low,low,5more,more,small,med,good
low,vhigh,2,2,med,low,unacc
high,vhigh,2,2,small,low,unacc
high,high,4,4,small,med,acc
vhigh,vhigh,2,2,small,low,good
high,high,4,2,med,high,vgood
low,low,5more,more,small,med,good
high,high,3,4,small,med,good
high,vhigh,2,2,med,low,unacc
low,med,5more,more,small,med,good
high,high,2,2,med,low,unacc
low,med,5more,2,small,low,good
vhigh,med,2,4,small,med,good
low,med,5more,2,big,low,vgood
vhigh,vhigh,2,2,small,low,good
high,high,4,4,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,small,med,good
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,big,high,vgood
high,high,4,4,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,big,high,vgood
high,high,4,4,small,med,acc
low,low,5more,more,small,med,good
high,high,4,4,big,high,acc
high,high,4,4,big,high,acc
high,high,4,4,big,high,acc
vhigh,high,2,2,med,low,vgood
low,med,2,2,small,low,good
vhigh,vhigh,2,2,small,low,good
low,med,5more,2,small,low,good
vhigh,med,2,4,small,med,good
high,high,4,4,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,med,high,vgood
low,med,5more,2,big,low,good
low,low,5more,2,big,low,vgood
high,vhigh,2,4,small,med,acc
high,high,2,2,med,low,unacc
low,low,5more,more,big,high,vgood
low,low,5more,more,big,high,vgood
high,high,4,2,med,high,vgood
high,high,4,4,med,high,acc
high,high,4,4,big,high,vgood
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,low,unacc
low,low,5more,more,small,med,good
vhigh,vhigh,2,2,small,low,unacc
high,high,4,4,small,med,acc
high,high,4,2,med,high,unacc
low,low,5more,more,big,high,vgood
vhigh,vhigh,2,4,small,med,good
low,low,5more,more,big,high,good
high,high,4,4,big,med,acc
vhigh,vhigh,2,2,small,low,unacc
med,high,2,2,med,low,vgood
high,high,4,2,med,high,unacc
high,vhigh,2,4,small,med,acc
vhigh,vhigh,2,2,small,low,good
low,low,5more,more,small,med,good
low,med,5more,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,med,low,unacc
low,med,2,more,small,med,good
high,high,2,2,med,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,3,4,big,med,acc
low,med,2,2,small,low,good
vhigh,med,2,2,small,low,good
high,vhigh,2,2,small,low,unacc
high,high,4,4,small,med,acc
low,med,2,4,small,med,good
low,med,2,2,small,low,good
high,low,3,4,small,med,good
med,high,4,2,big,high,vgood
high,high,4,4,small,med,acc
high,high,4,4,big,med,acc
low,low,5more,more,small,med,good
low,low,5more,more,big,high,vgood
high,high,4,4,med,high,vgood
high,vhigh,2,4,small,med,acc
high,vhigh,2,4,small,med,good
low,med,5more,2,small,low,good
high,low,5more,4,small,med,good
low,low,5more,more,big,med,good
vhigh,vhigh,2,2,small,low,good
high,high,4,4,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
low,med,2,2,small,low,good
high,low,5more,more,big,high,acc
vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,med,low,unacc
high,vhigh,2,2,med,low,unacc
high,high,4,4,med,high,acc
low,med,5more,2,big,low,vgood
low,low,5more,2,big,low,vgood
vhigh,vhigh,2,2,small,low,unacc
high,low,3,4,small,med,good
low,low,5more,more,small,med,good
high,high,4,4,med,med,acc
