CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
502,42,8,159660.8,113931.57,France,Female,3,1,0,1
376,29,4,115046.74,119346.88,Germany,Female,4,1,1,1
501,44,4,142051.07,74940.5,France,Male,2,0,1,0
726,24,6,4.36557456851006e-11,54724.03,France,Female,4,1,1,0
732,41,8,0,170886.17,France,Male,2,1,1,0
669,46,3,-4.36557456851006e-11,8487.75,France,Male,2,0,1,0
574,43,3,141349.43,100187.43,Germany,Male,4,1,1,1
411,29,8.88178419700125e-16,59697.17,53483.21,France,Male,2,1,1,0
850,36,7,2.91038304567337e-11,40812.9,France,Male,1,1,1,0
582,41,6,70349.48,178074.04,Spain,Male,2,0,1,0
465,51,8,122522.32,181297.65,France,Female,3,0,0,1
556,61,2,117419.35,94153.83,France,Female,4,0,1,0
550,38,2,103391.38,90878.13,Germany,Male,1,0,1,1
585,36,5,146050.97,86424.57,Germany,Male,2,0,0,0
656,45,5,127864.4,87107.57,France,Male,1,1,0,0
555,33,0.999999999999998,56084.69,178798.13,Spain,Female,2,0,0,0
813,29,6,4.36557456851006e-11,33953.87,France,Male,1,1,0,0
657,37,-8.88178419700125e-16,163607.18,44203.55,Spain,Female,4,0,1,0
664,55,8,-5.82076609134674e-11,139161.64,France,Male,2,1,1,0
416,41,10,122189.66,98301.61,Germany,Female,4,1,0,0
777,32,2,0,136458.19,France,Female,4,1,0,1
493,46,4,-2.91038304567337e-11,1907.66000000003,France,Female,2,1,0,0
729,30,9,2.91038304567337e-11,151869.35,France,Male,2,1,0,0
515,35,10,176273.95,121277.78,Spain,Male,1,0,1,0
773,41,9,102827.44,64595.25,Spain,Male,1,0,1,0
413,34,9,1.45519152283669e-11,6534.18000000002,France,Male,2,0,0,0
665,40,6,-2.91038304567337e-11,161848.03,France,Female,4,0,1,0
528,36,7,-1.45519152283669e-11,60536.56,Spain,Male,2,1,0,0
670,65,1,-1.01863406598568e-10,177655.68,Spain,Female,4,0,1,1
605,33,5,150092.8,71862.79,Spain,Male,1,0,0,0
538,39,7,108055.1,27231.26,Germany,Male,2,1,0,0
562,42,2,100238.35,86797.41,France,Male,1,0,0,0
675,36,9,106190.55,22994.32,Spain,Male,1,0,1,0
721,28,9,154475.54,101300.94,Germany,Male,4,0,1,1
628,30,9,132351.29,74169.13,Germany,Female,4,1,1,0
506,41,1,-5.82076609134674e-11,31766.3,France,Female,2,1,0,0
699,34,4,185173.81,120834.48,Germany,Male,2,1,0,0
656,39,6,-2.91038304567337e-11,141069.88,France,Female,2,1,0,0
684,48,10,126384.42,198129.36,Germany,Male,4,1,1,1
549,52,1,-7.27595761418343e-11,8636.05000000002,France,Female,4,0,1,1
686,25,0.999999999999997,4.36557456851006e-11,16459.37,France,Male,2,0,1,0
789,39,7,124828.46,124411.08,Germany,Male,4,1,1,0
589,50,5,144895.05,34941.23,Germany,Female,4,1,1,0
793,52,2,-5.82076609134674e-11,159123.82,Germany,Male,3,0,0,1
735,44,9,120681.63,74836.34,France,Male,1,1,0,0
416,32,0,-4.36557456851006e-11,878.870000000054,France,Male,2,0,1,0
754,32,7,2.91038304567337e-11,89520.75,Spain,Female,2,1,0,0
704,24,7,113034.22,162503.48,Germany,Female,4,1,0,1
578,30,4,169462.09,112187.11,France,Male,1,1,0,0
512,40,5,-2.91038304567337e-11,146457.83,France,Male,2,1,1,0
597,40,8,101993.12,94774.12,Spain,Female,4,0,1,0
850,45,2,122311.21,19482.5,Spain,Female,4,0,1,0
730,39,0.999999999999997,99010.67,194945.8,France,Female,1,1,0,1
687,34,7,111388.18,148564.76,Germany,Female,4,1,0,0
580,29,9,61710.44,128077.8,Spain,Male,2,1,0,0
807,35,3,174790.15,600.359999999986,France,Male,1,1,1,0
521,35,6,96423.84,10488.44,France,Male,1,1,0,0
850,30,2,141040.01,5978.19999999997,Spain,Male,1,0,1,0
516,50,5,-7.27595761418343e-11,146145.93,Spain,Male,3,0,1,1
512,33,3,176666.62,94670.77,Germany,Male,1,0,0,0
618,34,5,134954.53,151954.39,France,Male,1,1,1,0
671,45,2,106376.85,158264.62,France,Male,1,0,1,0
689,33,2,161814.64,169381.9,Germany,Male,2,1,0,0
603,31,8,0,169915.02,France,Male,2,1,1,0
620,41,9,-1.45519152283669e-11,88852.47,France,Female,2,0,0,0
572,26,4,118287.01,60427.3,Germany,Male,2,0,0,0
668,47,7,106854.21,157959.02,Germany,Male,4,0,1,1
726,31,9,114722.05,98178.57,France,Female,4,1,1,0
547,39,6,74596.15,85746.52,Germany,Male,3,1,0,1
763,42,6,100160.75,33462.94,Germany,Male,3,1,0,1
712,29,2,-1.45519152283669e-11,144375,France,Female,4,0,1,0
668,46,2,-4.36557456851006e-11,89048.46,France,Female,3,1,0,1
662,38,4,-2.91038304567337e-11,136259.65,Spain,Male,2,1,0,0
725,39,5,116803.8,124052.97,Germany,Female,4,1,0,1
635,40,10,123497.58,131953.23,France,Female,4,1,0,1
545,26,0.999999999999998,-2.91038304567337e-11,199638.56,France,Female,4,1,1,0
739,54,8,126418.14,134420.75,Germany,Male,3,1,0,1
681,79,1.77635683940025e-15,-1.45519152283669e-10,170968.99,France,Female,4,0,1,0
544,37,2,79731.91,57558.95,Germany,Male,4,1,1,1
696,28,8,2.91038304567337e-11,176713.47,Spain,Male,1,0,0,0
766,41,-1.77635683940025e-15,-2.91038304567337e-11,34283.23,Spain,Male,2,0,1,0
850,38,3,54901.01,140075.55,Germany,Male,4,1,1,1
726,48,6,99906.19,64323.24,Spain,Female,2,0,0,1
738,31,9,79019.8000000001,18606.23,Spain,Male,1,0,1,0
531,36,9,99240.51,123137.01,Spain,Female,2,0,0,1
498,34,2,-4.36557456851006e-11,148528.24,France,Male,2,1,1,0
549,39,7,-2.91038304567337e-11,81259.25,Spain,Female,3,0,0,1
791,35,7,52436.2,161051.75,Germany,Female,4,1,0,1
733,34,3,100337.96,48559.19,Germany,Male,3,1,0,1
777,53,10,-2.91038304567337e-11,189992.97,France,Female,2,1,0,0
479,35,4,138718.92,47251.79,Germany,Male,4,1,1,1
744,26,5,166297.89,181694.44,Spain,Female,4,0,1,0
747,41,5,94521.17,194926.86,Spain,Female,2,1,0,0
750,34,9,112822.26,150401.53,Spain,Female,3,0,0,1
681,38,3,-2.91038304567337e-11,112491.96,France,Male,2,1,1,0
714,31,4,125169.26,106636.89,France,Female,4,0,1,0
511,58,1.77635683940025e-15,149117.31,162599.51,France,Male,1,1,1,0
553,33,4,118082.89,94440.45,France,Male,1,0,0,0
629,35,7,156847.29,31824.29,Germany,Male,2,1,0,0
614,50,4,137104.47,127166.49,France,Male,3,1,0,1
438,31,8,78398.69,44937.01,Germany,Male,1,1,0,1
729,30,6,63669.42,145111.37,Germany,Male,1,1,0,1
642,38,3,-2.91038304567337e-11,171463.83,France,Male,2,0,0,0
744,36,2,153804.44,87213.33,Spain,Male,1,0,1,0
474,37,3,-2.91038304567337e-11,57175.32,Spain,Female,2,0,0,0
