duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
40.9280137608185,8136.30796032489,44.9167012494916,<0,all paid,other,<100,>=7,3,male div/sep,guarantor,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,none,no,bad
29.9742115494297,5240.11781012179,27.99799610701,0<=X<200,delayed previously,repairs,<100,unemployed,2,male mar/wid,co applicant,3,car,stores,rent,4,unemp/unskilled non res,1,yes,yes,bad
37.2192963966276,6865.51300159801,23.1622848251786,<0,no credits/all paid,furniture/equipment,>=1000,<1,1,female div/dep/mar,co applicant,1,life insurance,stores,rent,1,skilled,1,none,no,bad
14.3752766434468,1551.20350930406,27.9514558367335,<0,no credits/all paid,furniture/equipment,500<=X<1000,1<=X<4,2,female div/dep/mar,co applicant,4,car,none,rent,1,unemp/unskilled non res,1,none,yes,bad
18.4890093938145,2589.37571920583,31.5717681675567,>=200,no credits/all paid,domestic appliance,500<=X<1000,1<=X<4,2,female div/dep/mar,co applicant,3,real estate,stores,rent,1,unskilled resident,1,none,yes,bad
41.8113157561687,8353.61051728395,45.3840292843048,0<=X<200,all paid,other,100<=X<500,unemployed,3,male single,co applicant,4,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
11.8630606859689,1256.10247742709,44.4555894576304,>=200,existing paid,domestic appliance,500<=X<1000,1<=X<4,3,male mar/wid,co applicant,3,real estate,none,rent,3,unskilled resident,2,none,yes,bad
12.8652674070091,1561.27083610865,48.2226457636793,<0,critical/other existing credit,other,<100,unemployed,1,male mar/wid,guarantor,3,real estate,bank,rent,3,unemp/unskilled non res,2,none,no,good
13.102515970446,1542.4494525939,44.0856710649792,0<=X<200,delayed previously,repairs,>=1000,<1,1,male div/sep,none,1,no known property,stores,for free,4,high qualif/self emp/mgmt,1,yes,yes,good
13.3418014229284,1276.22237598439,26.2596748659662,no checking,critical/other existing credit,furniture/equipment,>=1000,<1,1,male div/sep,guarantor,1,life insurance,none,own,2,unemp/unskilled non res,1,none,no,good
47.0819166785031,9900.56491764785,61.9961996149639,0<=X<200,delayed previously,other,100<=X<500,>=7,3,male single,co applicant,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
24.442973994093,3914.91300466621,27.034421318919,>=200,no credits/all paid,domestic appliance,<100,1<=X<4,2,male div/sep,co applicant,1,car,stores,own,1,skilled,1,none,yes,bad
36.5961829852185,6739.64272213467,24.346980930122,<0,no credits/all paid,retraining,<100,<1,4,male mar/wid,guarantor,1,life insurance,stores,own,2,unskilled resident,2,none,no,bad
11.1459229093436,953.151997559923,37.0890440035873,>=200,existing paid,domestic appliance,500<=X<1000,4<=X<7,2,male mar/wid,co applicant,3,car,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
12.4288292612554,1056.26856840929,26.0333222016649,>=200,existing paid,business,500<=X<1000,<1,2,male div/sep,none,1,car,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
32.1327074478669,5681.05648952093,24.1657221511937,0<=X<200,no credits/all paid,repairs,100<=X<500,unemployed,1,female div/dep/mar,co applicant,4,car,none,rent,4,unemp/unskilled non res,1,none,yes,good
12.078113693131,1137.23841997466,35.0837748846593,no checking,critical/other existing credit,repairs,no known savings,>=7,1,male div/sep,none,4,life insurance,none,rent,4,unemp/unskilled non res,1,yes,yes,good
24.208076827149,4094.63974316371,40.0263343465679,no checking,critical/other existing credit,retraining,no known savings,>=7,1,female div/dep/mar,guarantor,4,real estate,none,own,4,unskilled resident,2,none,no,good
14.2786312153457,1532.43890366574,28.1770611656849,>=200,existing paid,radio/tv,>=1000,1<=X<4,3,male mar/wid,guarantor,2,real estate,none,rent,1,skilled,1,none,no,good
19.9251848316167,2921.28720847136,31.1495965947229,>=200,existing paid,used car,no known savings,4<=X<7,2,male div/sep,none,1,life insurance,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
8.62553439199179,160.142847934229,26.2040172963756,>=200,all paid,retraining,100<=X<500,<1,1,male mar/wid,guarantor,1,real estate,bank,own,3,unskilled resident,2,none,no,good
35.2731686868061,6401.4266431813,22.9435215322674,<0,no credits/all paid,other,<100,unemployed,1,female div/dep/mar,co applicant,4,no known property,none,rent,4,unemp/unskilled non res,2,none,no,bad
58.4686252151388,11937.5215479814,25.8134651062567,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,2,male div/sep,co applicant,2,car,bank,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
22.7150313080199,3485.83391968568,25.9001514361173,no checking,existing paid,domestic appliance,>=1000,<1,4,male div/sep,none,1,life insurance,stores,own,4,skilled,1,yes,no,good
14.4467995727433,1590.54421994887,29.1901286972765,>=200,all paid,business,>=1000,<1,2,male div/sep,none,1,car,stores,own,1,skilled,1,none,no,good
12.2634508562408,944.501389992087,22.0204714634788,0<=X<200,existing paid,repairs,>=1000,<1,1,male mar/wid,guarantor,1,real estate,stores,own,4,unemp/unskilled non res,1,none,no,good
39.0141867733759,7417.9426024715,30.2342175513492,>=200,all paid,furniture/equipment,>=1000,<1,1,male div/sep,guarantor,1,life insurance,bank,rent,1,high qualif/self emp/mgmt,1,yes,no,good
37.0221239090343,7134.90463214351,40.6131938606977,0<=X<200,no credits/all paid,business,100<=X<500,<1,1,male div/sep,guarantor,1,real estate,bank,own,3,unskilled resident,2,none,no,good
33.1021843407676,6075.83432691636,33.3085947379009,<0,all paid,domestic appliance,500<=X<1000,<1,4,male mar/wid,co applicant,3,life insurance,stores,own,1,skilled,1,none,yes,bad
18.5787824923332,2973.08072927983,51.5889097162928,0<=X<200,delayed previously,repairs,>=1000,4<=X<7,3,male mar/wid,co applicant,3,car,stores,own,4,skilled,1,yes,yes,bad
27.2517650979699,4483.96547015621,21.7864482536479,0<=X<200,all paid,furniture/equipment,>=1000,<1,1,male div/sep,guarantor,1,life insurance,stores,own,1,unemp/unskilled non res,1,none,no,bad
16.3820328542177,1951.83134939378,23.8742757726907,0<=X<200,no credits/all paid,retraining,100<=X<500,1<=X<4,1,female div/dep/mar,guarantor,4,real estate,none,rent,4,unskilled resident,1,none,yes,bad
12.2473461584336,1049.3219174404,28.0192200470375,<0,delayed previously,repairs,<100,unemployed,4,male mar/wid,co applicant,3,real estate,stores,own,4,unemp/unskilled non res,2,none,yes,bad
10.1486240266512,1057.20307030837,55.8561387267257,>=200,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,guarantor,4,real estate,none,own,4,unskilled resident,2,none,no,good
23.86149877843,3649.85673068609,19.9892377548526,>=200,critical/other existing credit,repairs,no known savings,>=7,3,male single,none,4,no known property,none,for free,4,skilled,2,none,no,good
63.4326371804288,13707.2896319349,58.7329635982347,0<=X<200,no credits/all paid,other,100<=X<500,unemployed,2,male div/sep,co applicant,1,no known property,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
