duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
6,1169,67,no checking,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,co applicant,4,real estate,bank,own,4,skilled,1,yes,yes,good
12,2096,49,>=200,delayed previously,education,>=1000,4<=X<7,2,male single,co applicant,3,real estate,stores,for free,3,unskilled resident,2,none,no,good
24,2835,53,no checking,existing paid,retraining,500<=X<1000,4<=X<7,3,male single,none,4,life insurance,none,rent,1,skilled,1,yes,yes,good
36,6948,35,0<=X<200,delayed previously,domestic appliance,no known savings,unemployed,2,male div/sep,guarantor,2,car,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
12,3059,61,no checking,existing paid,repairs,>=1000,1<=X<4,2,male div/sep,guarantor,1,real estate,stores,own,4,unskilled resident,1,none,no,good
30,5234,28,0<=X<200,no credits/all paid,other,<100,unemployed,4,male mar/wid,guarantor,2,car,stores,own,3,unemp/unskilled non res,1,yes,yes,bad
12,1295,25,0<=X<200,existing paid,domestic appliance,100<=X<500,<1,3,female div/dep/mar,none,1,life insurance,none,rent,1,unemp/unskilled non res,1,none,yes,bad
48,4308,24,<0,no credits/all paid,domestic appliance,100<=X<500,<1,3,female div/dep/mar,none,4,life insurance,none,rent,4,unskilled resident,1,none,yes,bad
12,1567,22,>=200,existing paid,domestic appliance,500<=X<1000,<1,1,male mar/wid,none,1,car,none,own,3,unemp/unskilled non res,1,none,yes,good
24,1199,60,<0,no credits/all paid,education,<100,>=7,4,male single,co applicant,4,no known property,stores,rent,4,unskilled resident,2,none,no,bad
30,8072,25,>=200,no credits/all paid,business,<100,>=7,1,male div/sep,none,3,car,bank,own,3,unemp/unskilled non res,2,yes,yes,bad
24,12579,44,0<=X<200,all paid,other,no known savings,unemployed,3,male div/sep,none,4,no known property,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
10,2241,48,<0,critical/other existing credit,retraining,no known savings,<1,1,male mar/wid,co applicant,3,real estate,none,rent,3,unskilled resident,2,none,no,good
12,1804,44,0<=X<200,delayed previously,repairs,100<=X<500,4<=X<7,3,female div/dep/mar,none,1,life insurance,none,rent,2,skilled,1,yes,no,good
12,409,42,no checking,all paid,retraining,>=1000,1<=X<4,4,female div/dep/mar,co applicant,3,real estate,bank,rent,2,unskilled resident,1,none,yes,bad
18,1913,36,0<=X<200,all paid,business,>=1000,4<=X<7,3,male mar/wid,guarantor,1,real estate,bank,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
12,1264,57,no checking,no credits/all paid,domestic appliance,no known savings,>=7,1,male single,none,4,no known property,bank,for free,4,unskilled resident,2,none,yes,good
48,6110,31,>=200,all paid,education,500<=X<1000,>=7,1,male single,none,3,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
30,2333,30,>=200,all paid,retraining,500<=X<1000,unemployed,4,male single,guarantor,2,car,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
30,6187,24,0<=X<200,delayed previously,retraining,100<=X<500,4<=X<7,3,male mar/wid,none,4,life insurance,none,rent,2,unemp/unskilled non res,1,none,no,good
11,1393,35,no checking,critical/other existing credit,domestic appliance,>=1000,unemployed,4,female div/dep/mar,co applicant,1,car,stores,rent,2,unemp/unskilled non res,1,yes,yes,good
36,2299,39,>=200,existing paid,retraining,500<=X<1000,>=7,4,male single,none,4,car,none,own,4,skilled,1,none,yes,good
5.99999999999999,783,26,>=200,all paid,retraining,500<=X<1000,1<=X<4,1,male div/sep,guarantor,2,real estate,stores,own,4,unskilled resident,2,none,no,good
9,1391,27,0<=X<200,no credits/all paid,business,100<=X<500,<1,2,male mar/wid,guarantor,1,real estate,bank,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
36,1953,61,0<=X<200,no credits/all paid,business,100<=X<500,>=7,2,male div/sep,guarantor,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
