X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month,day
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,9.36750677027476e-17,1.06581410364015e-14,apr,wed
8,6,91.7,33.2999999999998,77.5,9,8.30000000000001,97,4,0.2,-3.90798504668055e-14,feb,fri
8,6,91.5,145.4,608.2,10.7,8,86,2.2,-1.89084858881472e-16,-5.32907051820075e-15,apr,wed
7,5,92.8,73.2000000000001,713,22.6,19.3,38,4,-5.03069808033274e-17,3.19744231092045e-14,feb,fri
6,5,63.5,70.8000000000001,665.3,0.800000000000011,17,71.9999999999999,6.70000000000001,8.67361737988404e-18,1.59872115546023e-14,feb,fri
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,-3.12250225675825e-17,7.105427357601e-15,feb,fri
6,4,91,129.5,692.6,7,18.3,40,2.7,2.08166817117217e-17,3.5527136788005e-15,jul,tue
5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,3.98986399474666e-17,0,dec,mon
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,4.85722573273506e-17,5.32907051820075e-15,jul,tue
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,-2.60208521396521e-17,3.19744231092045e-14,jul,tue
7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,-7.11236625150491e-17,7.105427357601e-15,apr,tue
7,4,90.9,126.5,686.5,7,19.4,48,1.3,3.98986399474666e-17,-3.5527136788005e-15,dec,mon
6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,3.46944695195361e-17,1.77635683940025e-15,feb,fri
6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,-1.40512601554121e-16,1.77635683940025e-15,dec,mon
6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,9.36750677027476e-17,3.5527136788005e-15,dec,mon
6,3,90.6,35.4000000000001,669.1,6.7,21.7,24,4.5,1.45716771982052e-16,5.32907051820075e-15,jul,tue
4,4,94.8,108.3,647.1,17,16.6,54,5.4,-1.12757025938492e-16,7.105427357601e-15,jul,tue
