price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront,view,condition
221900,3,0.999999999999999,1180,5649.99999999998,1,7,1180,-1.70530256582424e-13,1955,2.8421709430404e-14,98178,47.5112,-122.257,1340,5650,0,0,1
180000,2,1,770,10000,1,6,770,-1.13686837721616e-13,1933,3.5527136788005e-13,98028,47.7379,-122.233,2720,8061.99999999997,0,0,1
257500,3,2.25,1715,6819.00000000007,2,7,1715,-1.13686837721616e-13,1995,-2.27373675443232e-13,98003,47.3097,-122.327,2238,6819.00000000003,0,0,1
662500,3,2.5,3560,9796,1,8,1860,1700,1965,2.27373675443232e-13,98007,47.6007,-122.145,2210,8924.99999999995,0,0,1
310000,3,1,1430,19901,1.5,7,1430,2.8421709430404e-13,1927,2.55795384873636e-13,98028,47.7558,-122.229,1780,12697,0,3,4
650000,4,3,2950,5000.00000000001,2,9,1980,970,1979,2.55795384873636e-13,98126,47.5714,-122.375,2140,4000.00000000001,1,3,4
189000,2,1,1200,9849.99999999999,1,7,1200,1.70530256582424e-13,1921,-3.5527136788005e-13,98002,47.3089,-122.21,1060,5095,0,3,4
385000,4,1.75,1620,4979.99999999999,1,7,860,760,1947,2.70006239588838e-13,98133,47.7025,-122.341,1400,4979.99999999998,0,3,4
285000,5,2.5,2270,6300.00000000003,2,8,2270,-2.8421709430404e-13,1995,-1.56319401867222e-13,98092,47.3266,-122.169,2240,7005.00000000003,0,0,1
329000,3,2.25,2450,6500.00000000004,2,8,2450,0,1985,-1.56319401867222e-13,98030,47.3739,-122.172,2200,6865.00000000004,0,3,4
280000,2,1.5,1190,1265.00000000009,3,7,1190,5.6843418860808e-13,2005,7.105427357601e-14,98133,47.7274,-122.357,1390,1756.00000000006,0,0,1
687500,4,1.75,2330,4999.99999999999,1.5,7,1510,820,1929,5.25801624462474e-13,98117,47.6823,-122.368,1460,4999.99999999999,0,3,4
696000,3,2.5,2300,3059.99999999996,1.5,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3263.99999999997,0,0,1
605000,4,2.5,2620,7553.00000000003,2,8,2620,5.6843418860808e-14,1996,1.13686837721616e-13,98056,47.5301,-122.18,2620,11884,0,0,1
625000,4,2.5,2570,5520.00000000002,2,9,2570,1.13686837721616e-13,2000,4.2632564145606e-14,98074,47.6145,-122.027,2470,5669.00000000002,0,0,1
450000,3,1.75,1250,5962.99999999998,1,7,1250,1.70530256582424e-13,1953,8.5265128291212e-14,98115,47.6796,-122.301,970,5100,0,3,4
345000,5,2.5,3150,9133.99999999999,1,8,1640,1510,1966,1.70530256582424e-13,98056,47.4934,-122.189,1990,9132.99999999996,0,3,4
6e+05,3,1.75,1410,4079.99999999998,1,7,1000,410,1950,3.12638803734444e-13,98117,47.6808,-122.384,1410,4079.99999999999,0,3,4
920000,5,2.25,2730,5999.99999999996,1.5,8,2130,600,1927,6.25277607468888e-13,98105,47.6571,-122.281,2730,5999.99999999998,0,0,1
885000,4,2.5,2830,5000.00000000001,2,9,2830,4.54747350886464e-13,1995,1.98951966012828e-13,98105,47.6597,-122.29,1950,5000.00000000003,0,0,1
301000,3,2.5,2420,4750.00000000005,2,8,2420,-1.13686837721616e-13,2003,-1.84741111297626e-13,98042,47.3663,-122.122,2690,4750.00000000004,0,0,1
951000,5,3.25,3250,14342,2,8,3250,1.70530256582424e-13,1968,3.69482222595252e-13,98008,47.588,-122.116,2960,11044,1,4,1
430000,4,3,1850,9976.00000000003,2,8,1850,-5.6843418860808e-14,1991,-4.2632564145606e-14,98059,47.5059,-122.149,2270,8542.00000000003,0,0,1
