V1,V6,V10,V12,V13,V14,V15,V2,V3,V4,V5,V7,V8,V9,V11,V16,Class
58,2143,5.00000000000001,261,0.999999999999998,-0.999999999999893,2.22044604925031e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
44,29.0000000000009,5.00000000000001,151,1,-0.999999999999936,-6.66133814775094e-16,student,single,secondary,no,yes,no,unknown,may,other,1
33,1.00000000000227,5.00000000000001,198,1,-0.999999999999979,-3.33066907387547e-16,unknown,single,unknown,no,no,no,telephone,jun,unknown,1
35,231.000000000001,5.00000000000001,139,1,-0.999999999999964,-5.55111512312578e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
28,447.000000000003,5.00000000000001,217,1,-0.999999999999986,-6.66133814775094e-16,management,single,tertiary,yes,yes,yes,unknown,may,unknown,1
41,270.000000000001,5.00000000000001,222,1,-0.99999999999995,-5.55111512312578e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
29,390.000000000002,5.00000000000001,137,1,-0.999999999999979,-3.33066907387547e-16,student,single,secondary,no,yes,yes,unknown,may,other,1
57,162,5,174,0.999999999999998,-0.999999999999908,-1.11022302462516e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
33,2.27373675443232e-12,5.00000000000001,54,1,-0.999999999999964,-5.55111512312578e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
56,779,5,164,0.999999999999998,-0.999999999999901,-1.11022302462516e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
44,-371.999999999999,5.00000000000001,172,1,-0.999999999999936,-5.55111512312578e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
39,255.000000000001,5.00000000000001,296,1,-0.999999999999964,-5.55111512312578e-16,management,single,tertiary,no,yes,no,unknown,may,other,1
36,265.000000000001,5.00000000000001,348,1,-0.999999999999979,-5.55111512312578e-16,services,single,secondary,yes,yes,yes,unknown,may,unknown,1
49,378,5.00000000000001,230,1,-0.999999999999936,-1.11022302462516e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
