classes,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat
p,s,s,w,t,p,f,c,n,k,e,e,f,s,w,w,p,w,o,p,k,s,u
e,b,s,w,t,a,a,w,b,r,e,c,s,s,w,w,p,y,t,p,r,n,m
e,b,y,u,t,l,f,w,b,k,e,c,s,y,w,w,p,y,t,p,u,n,m
e,b,y,r,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,k,n,m
e,b,s,w,t,a,f,w,b,k,e,c,y,y,y,w,p,y,t,p,u,n,m
p,s,g,u,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,s,g,w,f,p,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
p,f,s,w,t,p,f,w,n,k,e,e,s,y,w,w,p,n,o,p,k,s,u
p,s,g,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,b,y,y,t,l,f,c,b,k,e,c,s,y,y,w,p,y,o,p,r,n,m
e,b,g,w,t,a,f,c,b,k,e,c,s,s,w,w,p,y,t,p,r,n,m
e,s,g,p,t,a,f,w,n,n,t,c,s,y,w,w,p,w,o,p,u,n,m
e,b,y,y,t,l,f,c,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
e,s,y,u,t,l,f,c,b,w,e,r,y,y,c,y,p,w,n,n,n,s,p
e,b,y,y,t,l,f,c,b,r,e,c,s,y,y,w,p,y,o,p,r,n,m
p,s,g,w,t,p,f,c,n,k,e,e,s,y,w,w,p,w,o,p,n,s,u
e,s,g,w,t,l,f,w,b,n,t,c,s,y,g,g,p,w,o,p,u,n,m
e,b,s,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
p,c,g,u,t,p,f,w,n,k,e,e,s,s,w,w,p,w,o,f,u,s,u
e,b,y,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,n,n,m
e,s,y,y,t,l,f,c,b,w,e,r,y,y,c,y,p,y,n,n,u,s,m
