bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
40.3,18,195,3250,Adelie,Torgersen,male,2007
36.7,19.3,193,3450,Adelie,Torgersen,male,2007
38.9,17.8,181,3625,Adelie,Torgersen,male,2007
38.6,21.2,191,3800,Adelie,Torgersen,male,2007
36.6,17.8,185,3700,Adelie,Torgersen,male,2007
38.7,19,195,3450,Adelie,Torgersen,male,2007
38.8,17.2,180,3800,Gentoo,Torgersen,male,2007
40.6,18.6,183,3550,Gentoo,Torgersen,male,2007
40.5,17.9,187,3200,Gentoo,Torgersen,female,2007
39.5,16.7,178,3250,Chinstrap,Dream,female,2007
37.2,18.1,178,3900,Chinstrap,Torgersen,male,2007
37.6,19.3,181,3300,Chinstrap,Dream,female,2007
36.5,18,182,3150,Chinstrap,Dream,female,2007
44.1,19.7,196,4400,Chinstrap,Torgersen,male,2007
41.1,19,182,3425,Chinstrap,Torgersen,male,2007
40.1,18.9,188,4300,Adelie,Torgersen,female,2008
41.4,18.6,191,3700,Adelie,Torgersen,female,2008
40.6,18.8,193,3800,Adelie,Torgersen,female,2008
41.3,21.1,195,4400,Adelie,Torgersen,female,2008
37.6,17,185,3600,Adelie,Torgersen,female,2008
36.4,17.1,184,2850,Adelie,Torgersen,female,2008
35.5,16.2,195,3350,Adelie,Torgersen,female,2008
41.8,19.4,198,4450,Adelie,Torgersen,female,2008
33.5,19,190,3600,Adelie,Torgersen,female,2008
45.8,18.9,197,4150,Adelie,Torgersen,female,2008
35.5,17.5,190,3700,Adelie,Torgersen,female,2008
42.8,18.5,195,4250,Adelie,Torgersen,female,2008
37.2,19.4,184,3900,Adelie,Torgersen,female,2008
42.1,19.1,195,4000,Adelie,Torgersen,female,2008
34.6,17.2,189,3200,Adelie,Torgersen,female,2008
35.7,18,202,3550,Chinstrap,Dream,female,2008
41.1,18.1,205,4300,Adelie,Torgersen,female,2008
39.6,18.1,186,4450,Adelie,Torgersen,female,2008
36.2,17.3,187,3300,Chinstrap,Dream,female,2008
38.1,18.6,190,3700,Chinstrap,Dream,female,2008
35,17.9,192,3725,Adelie,Torgersen,male,2009
41,20,203,4725,Adelie,Torgersen,male,2009
38.1,16.5,198,3825,Adelie,Torgersen,male,2009
39.6,20.7,191,3900,Adelie,Torgersen,male,2009
42.7,18.3,196,4075,Adelie,Torgersen,male,2009
41.1,18.6,189,3325,Adelie,Torgersen,male,2009
36.2,17.2,187,3150,Adelie,Torgersen,male,2009
40.2,17,176,3450,Adelie,Torgersen,male,2009
35.2,15.9,186,3050,Adelie,Torgersen,male,2009
39,17.1,191,3050,Adelie,Torgersen,male,2009
36.8,18.5,193,3500,Chinstrap,Dream,female,2009
38.1,17.6,187,3425,Chinstrap,Dream,female,2009
40.2,20.1,200,3975,Chinstrap,Torgersen,male,2009
37,16.5,185,3400,Chinstrap,Dream,female,2009
39.7,17.9,193,4250,Chinstrap,Torgersen,male,2009
40.2,17.1,193,3400,Chinstrap,Dream,female,2009
40.6,17.2,187,3475,Chinstrap,Torgersen,male,2009
32.1,15.5,188,3050,Chinstrap,Dream,female,2009
41.5,18.5,201,4000,Chinstrap,Torgersen,male,2009
50,16.3,230,5700,Gentoo,Biscoe,male,2007
46.5,13.5,210,4550,Gentoo,Biscoe,male,2007
46.8,15.4,215,5150,Gentoo,Biscoe,male,2007
49.3,15.7,217,5850,Gentoo,Biscoe,male,2007
49.2,15.2,221,6300,Gentoo,Biscoe,male,2007
46.2,14.5,209,4800,Gentoo,Biscoe,male,2007
48.7,15.1,222,5350,Gentoo,Biscoe,male,2007
45.1,14.5,215,5000,Gentoo,Biscoe,male,2007
46.5,14.5,213,4400,Gentoo,Biscoe,male,2007
42.9,13.1,215,5000,Gentoo,Biscoe,male,2007
42.8,14.2,209,4700,Gentoo,Biscoe,male,2007
42.6,13.7,213,4950,Gentoo,Biscoe,female,2008
44.4,17.3,219,5250,Gentoo,Biscoe,female,2008
48.7,15.7,208,5350,Gentoo,Biscoe,female,2008
42.7,13.7,208,3950,Gentoo,Biscoe,female,2008
49.6,16,225,5700,Gentoo,Biscoe,female,2008
50.5,15.9,222,5550,Gentoo,Biscoe,female,2008
45.5,13.9,210,4200,Gentoo,Biscoe,female,2008
45.2,15.8,215,5300,Gentoo,Biscoe,female,2008
46.5,14.4,217,4900,Gentoo,Biscoe,female,2008
43.2,14.5,208,4450,Gentoo,Biscoe,female,2008
45.3,13.8,208,4200,Gentoo,Biscoe,female,2008
45.7,13.9,214,4400,Gentoo,Biscoe,female,2008
54.3,15.7,231,5650,Gentoo,Biscoe,female,2008
45.8,14.2,219,4700,Gentoo,Biscoe,female,2008
49.5,16.2,229,5800,Gentoo,Biscoe,female,2008
50.7,15,223,5550,Gentoo,Biscoe,female,2008
46.4,15.6,221,5000,Gentoo,Biscoe,female,2008
51.1,16.3,220,6000,Gentoo,Biscoe,female,2008
45.2,16.4,223,5950,Gentoo,Biscoe,female,2008
49.1,14.5,212,4625,Gentoo,Biscoe,male,2009
47.4,14.6,212,4725,Gentoo,Biscoe,male,2009
52.2,17.1,228,5400,Gentoo,Biscoe,male,2009
50.8,15.7,226,5200,Gentoo,Biscoe,male,2009
48.4,14.4,203,4625,Gentoo,Biscoe,male,2009
46.8,16.1,215,5500,Gentoo,Biscoe,male,2009
41.7,14.7,210,4700,Gentoo,Biscoe,male,2009
53.4,15.8,219,5500,Gentoo,Biscoe,male,2009
50.5,15.2,216,5000,Gentoo,Biscoe,male,2009
46.2,14.1,217,4375,Gentoo,Biscoe,male,2009
47.2,13.7,214,4925,Gentoo,Biscoe,male,2009
46.8,14.3,215,4850,Gentoo,Biscoe,male,2009
45.2,14.8,212,5200,Gentoo,Biscoe,male,2009
49.9,16.1,213,5400,Gentoo,Biscoe,male,2009
51.3,19.2,193,3650,Chinstrap,Dream,male,2007
51.3,18.2,197,3750,Chinstrap,Dream,male,2007
51.3,19.9,198,3700,Chinstrap,Dream,male,2007
46.6,17.8,193,3800,Chinstrap,Dream,female,2007
45.9,17.1,190,3575,Chinstrap,Dream,female,2007
50.5,19.6,201,4050,Chinstrap,Dream,male,2007
58,17.8,181,3700,Chinstrap,Dream,female,2007
48.5,17.5,191,3400,Chinstrap,Dream,male,2007
50.6,19.4,193,3800,Chinstrap,Dream,male,2007
50.5,18.4,200,3400,Chinstrap,Dream,female,2008
51,18.8,203,4100,Chinstrap,Dream,female,2008
49.7,18.6,195,3600,Chinstrap,Dream,female,2008
46.9,16.6,192,2700,Chinstrap,Dream,female,2008
49,19.5,210,3950,Chinstrap,Dream,female,2008
46.2,17.5,187,3650,Chinstrap,Dream,female,2008
50.9,19.1,196,3550,Chinstrap,Dream,female,2008
51.4,19,201,3950,Chinstrap,Dream,male,2009
52.2,18.8,197,3450,Chinstrap,Dream,male,2009
49.3,19.9,203,4050,Chinstrap,Dream,male,2009
50.2,18.8,202,3800,Chinstrap,Dream,male,2009
51.9,19.5,206,3950,Chinstrap,Dream,male,2009
43.5,18.1,202,3400,Chinstrap,Dream,female,2009
49.6,18.2,193,3775,Chinstrap,Dream,male,2009
50.8,19,210,4100,Chinstrap,Dream,male,2009
