age,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health
20,3,14,9,13,MS,F,R,GT3,A,0,0,at_home,at_home,reputation,other,2,4,1,yes,yes,no,no,no,yes,no,yes,1,1,2,1,1,2
17,4,13,14,9,GP,M,U,LE3,A,4,4,teacher,health,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,5,5,3
16,4,9,8,17,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,4,1,1,2
15,0,11,14,11,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,2
16,0,10,15,11,GP,F,U,GT3,A,3,0,other,other,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,1,3,2,1,1,3
17,0,11,10,14,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
17,0,14,15,8,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,3,4
17,0,15,13,11,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,4,1,3,2
17,4,12,9,13,GP,F,U,GT3,A,3,0,services,other,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,1,1,2,1,1,3
16,22,11,11,1,GP,M,U,LE3,T,4,4,services,health,other,mother,4,1,2,no,no,yes,yes,yes,no,yes,no,2,5,5,5,5,5
17,12,7,13,10,GP,M,U,LE3,A,4,4,teacher,teacher,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,5,5,4
16,11,11,6,9,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,5,5,4
18,16,11,9,12,GP,M,U,LE3,T,4,4,teacher,teacher,other,mother,3,1,3,no,yes,yes,yes,yes,no,yes,no,2,4,5,5,5,4
18,0,14,17,13,GP,M,U,LE3,A,3,3,services,health,reputation,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,5,5,3
16,8,8,8,13,GP,M,U,GT3,T,4,4,teacher,teacher,course,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
16,10,12,13,11,GP,M,U,LE3,T,4,4,teacher,teacher,other,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,2,4,4,5,5,4
16,0,16,13,14,GP,M,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
16,4,9,9,19,MS,F,R,GT3,T,0,0,at_home,at_home,course,other,3,3,1,no,no,no,no,no,no,no,yes,1,2,1,1,2,2
18,2,12,11,14,GP,M,U,LE3,A,3,3,services,health,home,mother,4,4,0,yes,yes,no,yes,no,yes,yes,no,5,5,5,5,5,3
18,2,11,10,10,GP,F,U,GT3,A,3,3,services,health,reputation,father,1,4,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,1,1,3
16,8,9,10,13,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,3,4
17,1,9,9,14,GP,F,U,GT3,A,3,0,other,other,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,1,3,2,1,1,3
16,0,14,14,13,GP,F,U,GT3,A,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,4,1,1,1
16,6,14,11,12,GP,F,U,GT3,A,3,0,services,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,1,3,2,1,1,3
16,2,11,10,10,GP,M,U,LE3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,5,5,4
15,0,9,12,17,GP,F,U,GT3,T,4,4,teacher,teacher,course,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
18,0,6,17,14,GP,M,U,LE3,A,3,2,services,other,home,other,4,4,2,yes,no,no,no,no,no,yes,no,5,5,5,5,5,3
16,0,17,7,13,GP,M,U,LE3,A,3,3,teacher,health,reputation,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,5,3,2,5,1,3
17,0,11,15,13,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
16,0,12,10,14,GP,F,U,GT3,A,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,1
15,6,9,9,9,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,4,1,2,2
18,6,7,14,13,GP,F,U,LE3,A,3,3,services,health,reputation,mother,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
16,0,8,17,13,GP,M,U,LE3,A,3,3,services,health,home,mother,4,4,0,yes,yes,no,yes,yes,yes,yes,no,5,5,5,5,5,3
18,0,15,12,11,GP,F,U,GT3,A,3,0,other,other,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,1,3,2,1,1,3
16,6,14,9,10,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
15,0,6,14,13,GP,F,U,LE3,A,3,3,services,other,reputation,other,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
18,4,14,11,14,GP,F,U,GT3,A,3,3,services,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,5,3,2,1,1,3
17,2,12,14,10,MS,F,R,GT3,A,0,0,other,at_home,reputation,other,2,4,1,yes,no,no,no,no,yes,no,yes,1,1,2,1,1,3
19,0,13,11,10,GP,F,U,GT3,A,3,3,health,health,reputation,father,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,2,1,1,3
17,2,11,12,15,GP,M,U,LE3,T,4,4,teacher,teacher,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,5,5,4
18,0,13,10,8,GP,M,U,LE3,A,3,3,services,health,other,mother,4,1,2,yes,no,yes,yes,yes,no,yes,no,5,5,5,5,5,5
16,12,9,10,16,GP,M,U,LE3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,5,5,4
16,16,15,9,12,GP,F,U,GT3,A,2,0,other,other,reputation,other,2,4,0,yes,yes,no,no,no,yes,no,yes,1,1,2,1,1,3
17,5,10,13,15,GP,F,U,GT3,T,4,4,teacher,teacher,course,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,4,2,2
17,0,13,10,1,GP,M,U,LE3,A,4,4,teacher,teacher,reputation,father,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,5,5,4
16,0,13,17,9,MS,F,R,GT3,T,0,0,at_home,at_home,course,other,3,3,1,no,no,no,no,no,yes,no,yes,1,2,1,1,2,2
16,6,11,17,16,GP,M,U,LE3,T,4,4,teacher,teacher,other,mother,4,1,2,no,yes,yes,yes,yes,no,yes,no,2,5,5,5,5,4
22,0,17,16,11,MS,F,R,GT3,A,0,0,at_home,at_home,course,other,3,4,1,no,no,no,no,no,no,no,yes,1,1,1,1,1,2
18,2,14,11,9,GP,F,U,GT3,A,2,0,other,other,reputation,father,1,4,0,yes,yes,no,no,no,yes,no,yes,1,3,2,1,1,3
16,0,13,10,12,MS,F,R,GT3,A,0,0,at_home,at_home,other,other,3,1,2,no,no,no,no,no,no,no,yes,1,1,1,1,2,2
17,4,8,10,11,MS,M,R,GT3,T,4,4,teacher,teacher,other,father,3,3,3,no,yes,yes,yes,yes,yes,no,yes,2,4,4,4,4,4
16,2,9,9,14,MS,M,R,LE3,T,1,1,teacher,teacher,other,other,3,1,2,no,no,yes,yes,yes,no,no,yes,2,5,5,5,5,5
16,0,10,15,11,GP,M,U,LE3,A,3,3,services,health,home,other,4,4,0,yes,no,no,no,no,yes,yes,no,5,5,5,5,5,3
17,0,11,10,10,MS,M,R,LE3,T,0,1,at_home,at_home,other,other,4,1,2,no,no,yes,no,no,no,no,yes,2,5,5,5,5,2
17,2,13,12,10,GP,F,U,LE3,A,3,0,services,other,reputation,other,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
19,2,10,8,12,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,5,4,4
15,0,11,16,14,GP,M,U,LE3,A,3,3,services,health,home,other,4,4,2,yes,no,no,yes,no,no,yes,no,5,5,5,5,5,3
15,0,10,9,15,MS,F,R,GT3,T,1,1,at_home,at_home,other,other,3,1,2,no,no,yes,yes,yes,no,no,yes,2,4,1,4,4,2
17,16,12,14,17,MS,F,R,LE3,A,0,0,other,other,reputation,other,4,4,2,no,no,no,no,no,no,no,yes,1,1,2,5,1,3
19,0,10,11,11,MS,F,U,GT3,A,2,0,other,at_home,reputation,other,2,4,1,yes,yes,no,no,no,yes,no,yes,1,1,2,1,1,3
18,0,6,9,8,GP,M,U,GT3,T,4,4,teacher,teacher,other,father,1,3,0,no,yes,yes,yes,yes,yes,yes,no,2,4,4,3,4,4
15,0,9,13,19,MS,M,R,LE3,T,1,1,at_home,at_home,other,other,4,1,2,no,no,yes,yes,yes,no,no,yes,2,5,5,5,5,5
18,0,16,9,8,GP,F,U,GT3,A,3,3,health,health,reputation,father,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,2,1,1,3
17,0,13,14,17,GP,M,U,LE3,A,3,2,services,health,home,other,4,4,2,yes,no,yes,yes,no,no,yes,no,5,5,5,5,5,3
18,2,8,13,14,MS,M,R,LE3,T,1,1,at_home,at_home,other,other,4,1,2,no,no,yes,no,no,no,no,yes,2,5,5,5,5,5
18,0,11,12,16,MS,F,R,GT3,A,0,0,at_home,at_home,course,other,3,1,2,no,no,no,no,no,no,no,yes,1,1,1,1,2,2
17,0,15,11,15,MS,M,R,LE3,T,1,1,services,services,other,other,4,1,2,no,no,yes,yes,yes,no,no,no,2,5,5,5,5,5
15,6,12,10,13,MS,M,R,LE3,A,0,1,other,other,other,other,4,1,2,no,no,no,no,no,no,no,yes,2,5,5,5,5,3
18,1,17,11,18,MS,M,R,LE3,T,1,1,at_home,at_home,other,other,3,1,2,no,no,yes,no,no,no,no,yes,2,5,5,5,5,2
18,9,13,14,11,MS,M,R,LE3,A,0,1,other,other,other,other,4,1,2,no,no,no,no,no,no,no,yes,2,5,5,5,5,3
16,6,10,10,13,MS,M,R,LE3,A,0,1,services,services,other,other,4,1,2,no,no,yes,yes,no,no,no,no,2,5,5,5,5,5
16,0,14,15,9,GP,F,U,GT3,A,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,4,1,1,4
15,18,9,10,14,MS,M,R,LE3,T,1,4,teacher,teacher,other,mother,3,1,2,no,no,yes,yes,yes,no,no,yes,2,5,5,5,5,5
15,4,10,13,10,GP,M,U,LE3,A,3,3,services,health,reputation,mother,1,4,0,yes,yes,no,yes,no,yes,yes,no,5,1,2,5,1,3
16,4,14,13,11,GP,M,U,LE3,T,4,4,teacher,teacher,other,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,2,4,5,5,5,4
15,0,13,11,13,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,1,1,4
18,12,12,10,8,GP,M,U,LE3,A,4,4,teacher,teacher,reputation,father,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,5,3,4
18,0,11,13,16,GP,F,U,LE3,A,3,3,services,health,reputation,mother,1,4,0,yes,yes,no,no,no,yes,yes,no,5,3,2,1,1,3
15,5,8,12,15,GP,F,U,GT3,A,3,0,other,other,reputation,other,1,4,0,yes,yes,no,no,no,yes,yes,yes,1,1,2,1,1,3
15,2,13,11,11,GP,F,U,GT3,A,3,0,services,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,5,3,2,1,1,3
17,9,10,7,11,GP,F,U,GT3,A,3,0,services,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,5,3,2,1,1,3
15,0,15,9,17,GP,F,U,GT3,A,4,3,teacher,health,reputation,father,1,4,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,3
16,3,17,12,13,GP,M,U,GT3,T,4,4,teacher,teacher,home,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,4,3,4,4
16,6,14,9,11,GP,F,U,GT3,A,3,3,health,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,4,3,2,1,1,3
17,6,9,13,8,GP,F,U,LE3,A,3,0,services,other,reputation,other,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
16,0,10,16,17,GP,F,U,GT3,A,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,4,1,1,2
16,2,15,16,17,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,4,1,3,2
18,0,10,9,14,GP,M,U,LE3,A,4,4,teacher,health,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,5,5,5,5,4
17,5,13,8,11,GP,F,U,LE3,A,3,3,services,health,reputation,father,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
15,6,11,11,12,MS,F,R,GT3,T,0,0,at_home,at_home,course,other,3,1,1,no,no,no,no,no,no,no,yes,1,2,1,1,2,2
17,10,16,11,9,GP,F,U,GT3,A,4,3,teacher,teacher,reputation,father,1,4,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,3
16,6,14,9,12,GP,F,U,LE3,A,3,3,services,health,reputation,mother,1,4,0,yes,yes,no,no,no,yes,yes,no,5,1,2,1,1,3
17,0,9,12,13,GP,M,U,LE3,A,3,2,services,services,other,other,4,4,2,no,no,yes,yes,no,no,yes,no,5,5,5,5,5,3
17,4,8,10,11,MS,F,R,GT3,A,0,0,at_home,at_home,reputation,other,2,4,1,yes,no,no,no,no,yes,no,yes,1,1,2,1,1,3
