age,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health
15,-3.99680288865056e-15,14,14,14,GP,F,U,GT3,T,4,4,health,health,other,other,1,3,3,yes,yes,yes,no,no,yes,yes,yes,3,2,2,1,2,5
16,-3.99680288865056e-15,11,13,13,GP,F,U,GT3,A,0,3,other,at_home,home,father,1,2,0,yes,yes,yes,no,no,yes,yes,no,4,1,2,1,2,2
16,-3.5527136788005e-15,13,12,13,GP,F,U,LE3,A,2,2,other,other,home,mother,4,2,0,yes,no,no,no,yes,yes,yes,no,5,1,4,1,4,3
15,2,14,14,14,GP,F,U,GT3,T,4,4,health,health,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,3,4,2,2,2
15,-4.44089209850063e-15,14,14,15,GP,F,U,GT3,A,0,2,other,teacher,home,other,4,3,2,yes,yes,no,no,no,no,yes,yes,2,5,2,5,1,3
16,2,13,14,14,GP,F,R,GT3,A,3,0,services,health,reputation,mother,3,4,2,yes,yes,yes,yes,no,yes,no,no,3,1,2,1,1,4
17,2,8,8,7,GP,M,R,GT3,T,3,3,services,at_home,course,mother,3,1,3,yes,yes,yes,yes,no,no,yes,no,2,5,5,5,5,5
16,-3.99680288865056e-15,12,13,14,GP,M,U,LE3,T,0,4,teacher,teacher,course,mother,4,4,0,no,no,no,yes,yes,yes,yes,no,4,5,1,2,3,5
15,8,11,12,12,GP,M,U,LE3,A,0,2,other,other,home,other,3,1,0,yes,yes,no,no,no,no,yes,no,4,2,2,2,2,5
15,2,15,15,15,GP,M,U,GT3,T,4,4,services,teacher,reputation,father,2,4,0,yes,yes,no,yes,no,yes,yes,no,2,3,1,1,1,5
16,4,12,12,12,GP,M,U,GT3,A,0,2,other,other,home,mother,1,1,3,yes,no,yes,no,no,yes,yes,no,5,4,2,3,4,5
16,14,10,11,11,MS,F,U,LE3,A,0,0,at_home,at_home,home,father,2,1,2,yes,yes,yes,yes,yes,no,no,no,2,5,1,4,2,2
15,4,10,9,9,MS,M,U,LE3,A,0,4,health,health,other,father,3,1,1,yes,no,yes,no,yes,no,no,no,2,5,5,3,4,5
15,-4.44089209850063e-15,13,12,12,GP,M,U,GT3,A,0,4,health,health,home,father,4,3,3,yes,yes,no,no,yes,yes,yes,no,3,1,4,4,3,5
15,-4.44089209850063e-15,13,12,13,GP,M,U,LE3,A,0,3,other,services,other,mother,1,1,2,yes,no,no,no,yes,yes,yes,yes,3,1,4,4,5,1
15,8,15,15,16,GP,F,U,GT3,T,4,4,health,health,reputation,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,2,2,4,1,5
16,-2.22044604925031e-15,17,16,16,GP,M,R,GT3,T,4,4,health,teacher,other,father,2,2,2,yes,yes,no,yes,yes,yes,no,no,2,4,4,2,4,2
16,-3.5527136788005e-15,10,10,16,GP,M,U,GT3,T,1,1,services,services,other,mother,4,4,3,yes,no,no,yes,no,no,no,yes,5,5,5,5,5,2
16,-4.44089209850063e-15,13,13,10,GP,F,U,LE3,A,1,0,other,services,reputation,father,1,4,0,yes,no,no,yes,yes,yes,yes,no,2,4,3,1,1,1
15,-4.44089209850063e-15,13,12,12,GP,M,U,LE3,T,4,3,health,health,reputation,father,2,2,0,yes,no,yes,yes,yes,yes,yes,no,2,4,4,4,4,2
16,-3.99680288865056e-15,10,9,10,GP,F,U,LE3,A,3,0,services,at_home,home,other,4,4,0,yes,yes,yes,yes,no,yes,yes,no,4,1,2,3,1,2
15,6,15,15,15,GP,F,R,LE3,T,0,1,other,other,reputation,other,2,4,0,no,yes,no,no,no,yes,no,no,3,1,2,3,3,3
16,2,13,11,11,GP,M,U,LE3,T,0,0,services,other,reputation,other,2,4,0,no,yes,no,yes,no,yes,yes,no,4,1,2,1,1,3
15,2,13,11,11,GP,F,R,GT3,T,0,1,other,health,reputation,other,2,2,2,yes,no,yes,no,no,yes,no,yes,3,4,4,4,4,4
16,4,11,11,11,GP,M,U,GT3,A,0,3,services,health,home,mother,1,3,0,yes,yes,yes,no,no,yes,yes,no,4,3,4,2,4,2
15,-4.44089209850063e-15,11,11,11,GP,M,U,LE3,T,0,3,teacher,teacher,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,2
16,0.999999999999998,13,13,13,GP,F,U,LE3,T,2,2,other,other,reputation,other,4,4,0,no,no,no,no,yes,yes,yes,yes,1,2,1,1,3,3
16,14,12,11,11,GP,F,U,GT3,A,4,4,health,teacher,reputation,other,4,3,2,yes,yes,no,no,yes,yes,no,no,2,2,4,2,4,3
15,-5.32907051820075e-15,11,11,12,GP,M,U,GT3,T,0,3,health,services,home,father,1,3,3,yes,no,yes,no,no,yes,yes,yes,3,2,2,4,5,3
15,2,13,12,13,GP,M,R,LE3,A,2,3,services,services,reputation,father,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,1,3,3,3,4,4
15,2,13,12,12,GP,F,U,GT3,T,0,1,at_home,at_home,home,father,1,2,3,no,yes,no,no,no,yes,yes,no,4,3,2,2,3,2
16,6,13,11,11,GP,F,U,LE3,A,2,2,at_home,other,course,mother,4,2,2,yes,yes,no,no,yes,yes,no,no,4,3,4,2,2,2
16,6,9,9,10,GP,M,U,LE3,A,4,4,teacher,health,home,mother,4,4,0,yes,yes,yes,no,yes,yes,no,no,1,1,4,5,5,5
16,-3.99680288865056e-15,12,13,12,GP,F,U,LE3,A,0,1,other,at_home,home,father,4,2,3,yes,yes,yes,no,yes,yes,no,no,3,1,3,4,3,2
15,4,13,13,13,GP,F,R,GT3,T,1,0,at_home,health,home,mother,2,4,3,yes,yes,yes,yes,yes,yes,no,no,1,1,2,3,1,3
16,-3.5527136788005e-15,13,12,12,GP,F,U,GT3,A,2,2,other,other,course,mother,4,2,2,yes,yes,no,no,no,yes,no,yes,4,5,5,1,1,5
16,4,12,13,13,GP,M,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,no,no,yes,no,yes,yes,no,1,4,4,5,2,1
15,-3.5527136788005e-15,16,16,16,GP,F,U,LE3,A,3,4,services,teacher,home,mother,1,2,2,yes,yes,yes,yes,yes,yes,yes,no,2,4,4,3,1,1
15,10,10,10,10,GP,F,U,LE3,A,3,0,health,health,reputation,father,1,4,2,yes,yes,yes,no,yes,yes,no,no,2,1,3,1,1,4
15,8,12,10,11,GP,M,R,GT3,T,4,0,teacher,teacher,home,other,4,4,3,no,no,yes,yes,yes,yes,no,yes,1,2,5,5,5,2
15,4,13,14,14,GP,M,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,2,5,1,5,5,5
16,4,11,11,11,GP,F,U,GT3,T,3,3,services,health,reputation,father,2,4,3,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,4,1,2
15,10,18,17,18,GP,M,U,LE3,T,0,0,teacher,teacher,course,mother,3,4,1,no,no,no,yes,yes,yes,yes,no,3,5,2,1,5,3
16,6,16,14,14,GP,M,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,no,yes,yes,no,5,4,1,4,2,5
17,14,12,11,11,MS,M,R,GT3,T,1,0,health,other,course,other,3,1,1,no,no,yes,yes,yes,no,yes,no,3,4,5,4,4,5
16,2,14,12,13,GP,F,U,LE3,T,4,4,health,health,reputation,other,1,3,0,yes,yes,yes,yes,yes,yes,yes,yes,1,2,2,4,2,5
15,-5.32907051820075e-15,10,11,11,GP,F,U,LE3,A,3,0,other,health,home,mother,1,2,2,yes,no,yes,yes,yes,yes,yes,yes,5,3,2,1,1,1
19,4.44089209850063e-16,9,10,11,GP,M,U,GT3,A,0,0,at_home,at_home,other,other,1,2,2,yes,yes,yes,no,no,no,no,yes,2,3,2,2,4,3
15,-6.66133814775094e-15,10,11,12,GP,F,R,GT3,A,4,4,teacher,teacher,other,other,4,3,0,no,yes,no,no,no,yes,yes,yes,4,2,2,4,2,5
