Method,x,mean,se,dataset
aurf,10,0.587099636837858,0.0129969537801209,bc
pca,10,0.0168081494057725,0.00127386855432063,bc
ae,10,0.483034777892717,0.0426135332344386,bc
vae,10,0.283817431529236,0.035317136221128,bc
tvae,10,0.420119567193018,0.0148561452707261,bc
ttvae,10,0.553562033732587,0.0327104264673127,bc
aurf,5,0.638046895117154,0.0101140014294672,bc
pca,5,0.0170911148839842,0.00117202222727856,bc
ae,5,0.775223712818998,0.0322532835869812,bc
vae,5,0.22870259151302,0.0288464287270405,bc
tvae,5,0.43045489782662,0.0206022548825726,bc
ttvae,5,0.609829949946198,0.0228517336105272,bc
aurf,3.33333333333333,0.672258618289674,0.0170540752470732,bc
pca,3.33333333333333,0.0169213355970572,0.00145390295174478,bc
ae,3.33333333333333,0.826192770703235,0.0607002415142166,bc
vae,3.33333333333333,0.228596646038836,0.0174228189474715,bc
tvae,3.33333333333333,0.439355388018823,0.0239278130310193,bc
ttvae,3.33333333333333,0.600618937362601,0.0383765035054337,bc
aurf,2.5,0.689504063236749,0.00962481905303887,bc
pca,2.5,0.0169779286926995,0.00168728011884534,bc
ae,2.5,0.852654377986446,0.0580678459079162,bc
vae,2.5,0.222112246528787,0.0451982100996693,bc
tvae,2.5,0.421083392925015,0.0202221366159956,bc
ttvae,2.5,0.617737896404175,0.0346818970327222,bc
aurf,2,0.69249502563248,0.0067853084522548,bc
pca,2,0,0,bc
ae,2,0.856216148012705,0.062582436676544,bc
vae,2,0.20200074938489,0.0287835226794931,bc
tvae,2,0.415014286820112,0.0227443327977796,bc
ttvae,2,0.615842810374341,0.015621761873325,bc
aurf,1.66666666666667,0.692070900070877,0.00934996022850295,bc
pca,1.66666666666667,0,0,bc
ae,1.66666666666667,0.854872703839328,0.0676173527128105,bc
vae,1.66666666666667,0.208399257855835,0.0281983296149201,bc
tvae,1.66666666666667,0.42355452817926,0.0245415566429753,bc
ttvae,1.66666666666667,0.633799209271901,0.0162939814300567,bc
aurf,1.42857142857143,0.698721107783107,0.00489820327807323,bc
pca,1.42857142857143,0,0,bc
