age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
16.82403,2.3258722,2.1718862,1.4599876,1.9157414,0.21490332,3.8702512,3.0939584,2.8096313,1.5162226,2.16013,3.5229175,3.828764,11.217503,10.870963,11.950103,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,no,no,yes,yes,yes
16.341919,3.6943173,3.4265344,1.1931527,2.0478644,0.032197393,4.2076864,3.4435785,2.9915419,1.427219,2.4542382,4.03942,2.5242016,12.926361,12.951677,13.298005,GP,M,U,LE3,T,teacher,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.90514,2.0069256,2.0956414,1.577858,2.0815763,0.19402203,3.7540216,3.0161622,2.9854326,1.2549821,1.9967257,3.3622036,5.23484,11.800871,11.447571,11.811528,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,no,yes,yes,no
16.387062,3.3898458,3.1569784,1.2147392,1.4764276,0.06031751,4.187568,3.574487,3.3459506,1.5257719,3.0343492,4.1818676,2.7646828,12.348768,12.324198,12.122015,GP,M,U,LE3,T,services,other,home,mother,no,no,no,yes,yes,yes,yes,no
16.723024,3.1686945,2.8768146,1.3879884,2.114211,0.101677254,3.971639,3.2148266,2.8607159,1.5421349,2.3447092,3.6690307,4.303017,11.681646,11.973909,12.319949,GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,no
16.590988,2.9496703,2.583733,1.2820119,2.3318882,0.028092703,3.8280447,2.8490653,2.9013042,1.1491013,1.7934474,3.4047527,3.239196,12.539354,13.21236,13.339401,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.621044,3.0642607,2.8851638,1.405385,1.8160946,0.20925114,3.9461305,3.3421993,3.187372,2.04076,2.941246,3.9726827,4.6666,10.860137,11.289995,11.565875,GP,M,U,LE3,T,services,services,home,mother,no,yes,no,yes,yes,yes,yes,no
16.491863,3.3115144,2.819593,1.2714748,2.0782132,0.023113962,4.1090326,3.1365392,3.2459848,1.2596986,2.1919303,3.5967093,1.9647028,12.2410965,12.782829,12.883258,GP,F,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.979664,2.6487684,2.4704323,1.6354742,1.7462091,0.5669333,3.803213,3.3622777,3.2638113,2.3674376,3.1442804,3.8250918,5.595238,9.979561,10.345096,10.39066,GP,M,U,LE3,T,services,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.545685,3.4988458,3.232079,1.2457185,1.8008484,0.11706616,4.1750255,3.6299844,3.202502,2.018698,2.965461,4.077928,3.9930315,12.3635845,12.174232,11.800699,GP,M,U,LE3,T,teacher,services,home,mother,no,yes,no,yes,yes,yes,yes,no
16.656445,3.2439377,2.8863661,1.4325476,2.2279491,0.10298188,3.8565538,3.1254637,2.8477383,1.5631618,2.2990928,3.6403282,4.4229674,11.640521,11.744259,12.036035,GP,M,U,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.748077,2.3396451,2.1863098,1.4415596,2.1928535,0.0702824,3.7976832,2.9607377,3.119717,1.1898876,1.9654942,3.223535,4.931584,11.779297,11.574262,12.7334,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.39747,2.8262599,2.5828552,1.3470256,1.7144256,0.044573147,4.0822554,3.0811572,3.204617,1.1923043,2.2935696,3.7949176,1.8721495,12.359789,12.367006,12.945211,GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.622917,2.9220703,2.7183244,1.4129496,2.316995,0.082890086,3.8339798,3.047327,3.0447717,1.3453645,2.039595,3.4474053,4.045293,11.529793,12.252238,12.507883,GP,F,U,GT3,T,services,other,course,mother,no,yes,no,yes,yes,yes,yes,yes
16.70462,2.9456232,2.5903547,1.4500724,2.2435596,0.08433286,3.9043956,3.1058586,2.9816604,1.394244,2.2914672,3.493666,5.0688987,11.638504,12.027287,12.333442,GP,F,U,GT3,T,other,other,reputation,mother,no,yes,no,no,yes,yes,yes,no
16.39407,3.2342315,2.9582949,1.3554535,1.8852487,0.0658468,4.020393,3.348622,3.0281045,1.4483142,2.6363096,3.8857741,3.2780495,12.36416,12.263193,12.79483,GP,M,U,LE3,T,services,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.483444,3.2847762,2.78436,1.2873334,2.2060888,0.016301753,3.9912045,3.0528543,2.971896,1.196734,2.1037216,3.5091624,3.4777837,12.259327,12.670017,13.303676,GP,F,U,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
17.01382,2.0444448,2.0178394,1.5913551,2.1656587,0.11872207,3.8222847,2.9721649,3.1669054,1.1709892,1.9150267,3.318916,4.71087,11.6104355,11.711972,11.804128,GP,F,R,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.505161,3.1066458,2.7644217,1.2411666,2.1050224,0.05915566,3.9954453,3.0288463,2.8974252,1.2910206,1.9760661,3.5807343,3.6723237,11.970515,12.2119255,13.158173,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,yes
16.90963,2.5612097,2.4092312,1.6763072,1.9460732,0.48887092,3.7606225,3.1837814,3.1138265,2.0682788,2.7834768,3.6019037,6.249423,10.307316,10.788838,11.1017,GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.703876,3.0653489,2.8076024,1.4945109,2.119432,0.16240732,3.7732177,3.11763,3.0291326,1.7125599,2.5160956,3.6143968,4.9888453,11.258954,11.545165,11.714197,GP,F,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.803337,2.3808925,2.2798352,1.4974033,2.1362891,0.14989927,3.7716916,2.8867273,3.1210282,1.3609666,2.037458,3.3341203,4.57755,11.5143175,11.541815,12.015552,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,yes
16.729542,3.1485958,2.7853613,1.4528165,2.3131616,0.14462215,3.795165,3.1842499,2.9403167,1.6239429,2.3813107,3.5035043,6.172476,11.440366,11.825732,12.27299,GP,F,U,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.822266,2.991082,2.6819198,1.4997895,2.1262062,0.17776759,3.800285,3.114739,2.921586,1.6510406,2.3789806,3.5984929,5.6172366,10.968125,11.303886,11.483746,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.59388,3.3983762,3.063381,1.371642,2.067141,0.10116432,4.030844,3.3703637,3.1459527,1.7538116,2.6931214,3.9046693,4.147379,11.561191,11.653509,11.921725,GP,M,U,LE3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.694422,2.7125964,2.4577765,1.5155821,2.2071629,0.06401287,3.77512,2.9681032,3.1437175,1.2674499,1.9890198,3.3000464,3.5221863,11.271957,11.925286,12.211448,MS,F,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.689222,3.0960147,2.693592,1.2395914,2.530418,0.012249013,3.8291066,2.9228482,2.9882498,1.1111382,1.8879933,3.4455428,3.4031932,12.6044655,12.961158,13.173943,GP,F,U,GT3,T,services,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.959908,2.7184825,2.5471814,1.588938,2.1371143,0.28180236,3.7070925,3.1077135,2.8029509,1.7679298,2.3921611,3.498988,5.0732822,11.234918,11.436302,11.722886,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,no
16.86434,1.6676402,1.6891365,1.5395501,1.337641,0.10219957,4.3265676,3.3562403,3.2039483,1.182092,2.3317509,3.9068358,0.78390557,10.5521345,10.369484,11.898687,MS,M,R,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no
16.573856,2.5197723,2.177541,1.2983327,2.372507,0.017485093,3.921596,2.956005,3.073698,1.0523902,1.6392696,3.26304,3.5452027,12.665588,12.807862,13.689424,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.815094,2.9593794,2.8107455,1.4347786,1.6112211,0.1250147,4.1441374,3.6416333,3.5789485,1.888722,3.2620134,3.9865756,1.8480682,10.253306,10.629904,10.35398,MS,M,U,LE3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.783676,2.011581,1.9508653,1.3516937,1.7115151,0.058850415,4.105793,3.1917489,3.2092144,1.1156147,1.968206,3.6544628,2.125889,12.105472,11.880761,12.898021,GP,F,U,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no
16.616829,2.7557108,2.3997402,1.4215963,2.07478,0.051825017,3.897443,3.0565257,3.001636,1.2176383,2.0905771,3.3570058,4.065058,12.029173,12.060166,12.860537,GP,F,U,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no
16.375593,3.4829898,2.9918642,1.2822074,2.1843426,0.035701793,3.9693592,3.0589683,2.8461635,1.3324187,2.120747,3.6020074,3.7108936,12.084169,12.714398,13.056417,GP,F,U,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
17.02932,2.4181802,2.0598974,1.6269944,1.5440773,0.5876194,3.9027472,3.3929284,3.3663855,2.1793041,3.2476037,3.9811103,4.322846,9.696981,9.996144,9.837063,GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no
17.20575,2.3077197,1.9454492,1.5914078,1.429731,0.65760636,4.092206,3.5197258,3.4645493,2.3101041,3.5270202,4.126405,3.8526173,9.595158,9.406503,9.684181,GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.570501,2.9729016,2.654192,1.3313937,2.2644536,0.04616947,3.8197982,3.0716805,3.106187,1.2361748,2.0080976,3.4385302,4.5396886,12.043411,12.109451,12.512611,GP,F,U,GT3,T,services,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.738703,2.8995752,2.5791633,1.5264077,1.8759787,0.26890695,3.8492565,3.3050156,3.1265976,1.7578839,2.72703,3.71948,5.0365977,11.126739,11.369353,11.532114,GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.485178,3.5430455,3.2516847,1.2792902,1.9792495,0.08857018,4.0423975,3.4237893,2.8996334,1.7959139,2.6786437,3.9231613,4.2298994,12.284405,12.366137,12.317491,GP,M,U,GT3,T,teacher,services,home,mother,no,yes,no,yes,yes,yes,yes,no
16.63425,2.6981316,2.530101,1.3545128,2.0415795,0.04662735,3.9086614,2.9295108,3.0032213,1.2480435,2.1072998,3.5917997,3.5051088,12.2505455,12.054194,12.516588,GP,F,U,GT3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,no
16.58087,3.444184,3.1970434,1.2984511,2.0017796,0.09042038,3.9214184,3.2834,3.143958,1.6759098,2.6018023,3.8843398,3.669987,11.857907,11.84392,12.003644,GP,M,U,GT3,T,services,services,home,mother,no,yes,no,yes,yes,yes,yes,no
16.495117,3.1265118,2.9494238,1.2919501,2.1134374,0.05236969,4.1195097,3.0408442,3.1972404,1.3800844,2.2708325,3.747536,3.1375608,11.357834,11.690672,12.442667,GP,F,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.600935,2.8534782,2.532411,1.4558077,1.7416003,0.15669703,3.9685,3.3141544,3.2597866,1.5777676,2.7713003,3.860206,3.1403575,11.153571,11.06798,11.521192,GP,M,U,GT3,T,other,other,course,mother,no,no,no,yes,yes,yes,yes,no
16.434933,3.4972079,3.1754227,1.2179534,1.8427076,0.053058177,4.1616383,3.4905818,3.360294,1.4961519,2.7592907,4.11718,2.5186725,12.215177,12.3125105,12.698957,GP,M,U,LE3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
17.06208,2.6667175,2.5022194,1.7406106,1.9995787,0.5832597,3.7988768,3.2892685,3.1019886,2.3964114,2.9024258,3.646749,6.373379,10.094875,10.245895,10.495773,GP,M,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.585022,3.2578502,2.8306856,1.348131,2.2228813,0.07235989,3.9258184,3.1111846,2.994454,1.4262791,2.343169,3.6631446,4.365073,11.647528,12.028596,12.85975,GP,F,U,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.682003,2.795177,2.5256176,1.4515216,1.960103,0.1293754,3.94859,3.1537793,3.1764565,1.4535106,2.3737602,3.5226681,4.6878777,11.271026,11.941276,12.155802,GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.901262,2.310294,2.1691053,1.4613116,2.0940678,0.19598383,3.7729704,3.0117497,2.901774,1.4128822,2.0265992,3.4463127,4.957986,10.991658,11.465176,12.262618,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,yes
16.983297,2.485718,2.3346858,1.6164536,2.305337,0.17885,3.5940824,2.9281635,2.9425125,1.424099,2.130002,3.3891618,5.542838,11.164742,11.501883,11.613489,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,yes
16.715569,2.2506359,2.1996608,1.7428926,1.9528954,0.10460421,3.8668406,3.0434837,3.1453822,1.1476749,1.7588258,3.2500625,2.1688285,11.335502,11.59004,11.888167,MS,F,R,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
